match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,0,1,Trent Boult,Ajinkya Rahane,wide,Boult starts with the inswinger; but he slides it well down leg and is called as a wide,2026-05-04 13:09:34.491447
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,0,1,Trent Boult,Ajinkya Rahane,no run,on a good length and a hint of nip back into the right-hander - Rahane shuffles across and defends it to the on-side,2026-05-04 13:09:34.491723
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,0,2,Trent Boult,Ajinkya Rahane,no run,on a good length and just outside off - Rahane leans across and defends it with an open face to backward point,2026-05-04 13:09:34.491944
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,0,3,Trent Boult,Ajinkya Rahane,wide,fuller length delivery and well wide of off; past Rahane's swish; but it's past the tramlines and is called as a wide,2026-05-04 13:09:34.492142
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,0,3,Trent Boult,Ajinkya Rahane,SIX,crunched; on a good length and just outside off; it's right in the slot and Rahane brings his wrists into play; whips it over wide mid-on for a maximum,2026-05-04 13:09:34.492347
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,0,4,Trent Boult,Ajinkya Rahane,no run,fuller length delivery outside off - Rahane presses half-forward and stabs it to mid-off,2026-05-04 13:09:34.492538
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,0,5,Trent Boult,Ajinkya Rahane,2 runs,nicely played; the inswinger; but it's on the pads and it's clipped behind square on the on-side; was racing away until Dhir's diving effort in the deep; pulls it back and keeps them down to a couple,2026-05-04 13:09:34.492758
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,0,6,Trent Boult,Ajinkya Rahane,no run,fuller length delivery outside off - Rahane leans across and push-drives it to mid-off,2026-05-04 13:09:34.492947
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,1,1,Hardik Pandya,Finn Allen,no run,fuller length delivery around off - Allen leans across and defends it back at the bowler,2026-05-04 13:09:34.493141
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,1,2,Hardik Pandya,Finn Allen,no run,fraction fuller and just outside off - Allen prods forward and drives it back at the bowler. Pandya bends down low on the followthrough and makes the stop,2026-05-04 13:09:34.493333
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,1,3,Hardik Pandya,Finn Allen,no run,short of a good length and just outside off - Allen stays back on the whippy drive; can't place it into the gap though; straight to the fielder at mid-off,2026-05-04 13:09:34.493521
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,1,4,Hardik Pandya,Finn Allen,FOUR,streaky and four; short of a good length and just outside off - Allen swings across the line; gets a thick inside edge and the ball runs away behind square on the on-side for a boundary,2026-05-04 13:09:34.493740
02_MIvsKKR,May 04,13:07:56,Wankhede Stadium,1,5,Hardik Pandya,Finn Allen,no run,on a good length and just outside off - punched off the back-foot to mid-off,2026-05-04 13:09:34.493940
