match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,0,1,Jofra Archer,Sanju Samson,no run,138.6kph; Samson backs away a bit to drive with hard hands. The full ball shapes in a bit and the batter ends up inside-edging it towards silly mid-on,2026-05-04 13:10:19.970441
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,0,2,Jofra Archer,Sanju Samson,leg byes,1 run; 140.1kph; another inswinger; pad-lined; Samson fails to make contact with his flick. The ball dribbles towards square leg off his pad and CSK get off the mark,2026-05-04 13:10:19.972750
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,0,3,Jofra Archer,Ruturaj Gaikwad,1 run,Ruturaj Gaikwad shuffles a bit; closes the bat-face to gently nudge this length ball towards midwicket,2026-05-04 13:10:19.972992
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,0,4,Jofra Archer,Sanju Samson,no run,beaten! Pitched up delivery outside off; not much feet movement from Samson who looks to drive through the covers. The ball whizzes past the outside edge,2026-05-04 13:10:19.973193
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,0,5,Jofra Archer,Sanju Samson,FOUR,edge and four! Full again around off; Samson - with cemented feet - drives hard. Gets a fat outside edge that goes between the keeper and the short third man fielder. Races away to the third man fence. No slip; but don't think it would have gone to first slip,2026-05-04 13:10:19.973386
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,0,6,Jofra Archer,Sanju Samson,1 run,139.6kph; decks in from a short of a good length; Samson turns it to backward square leg off the inner part of the bat,2026-05-04 13:10:19.973572
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,1,1,Nandre Burger,Sanju Samson,1 run,over the wicket; length ball on off; Samson plays with soft hands to tap it towards point,2026-05-04 13:10:19.973837
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,1,2,Nandre Burger,Ruturaj Gaikwad,no run,140.5kph; fullish ball on off; defensively pushed to cover-point,2026-05-04 13:10:19.974103
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,1,3,Nandre Burger,Ruturaj Gaikwad,leg byes,FOUR; 141.6kph; Burger errs with his line. Fraction short; hint of inswing; the line is too straight though. Gaikwad misses the glance and the ball runs away to the fine leg fence off the thigh,2026-05-04 13:10:19.974375
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,1,4,Nandre Burger,Ruturaj Gaikwad,no run,138.9kph; nips in a shade from a length; beats Gaikwad's defence on the inside edge and hits him on the pad,2026-05-04 13:10:19.974630
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,1,5,Nandre Burger,Ruturaj Gaikwad,wide,139.1kph; wayward from Burger. Inswinger alright but the full ball is down leg; Gaikwad swings and misses,2026-05-04 13:10:19.975945
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,1,5,Nandre Burger,Ruturaj Gaikwad,1 run,yes-no-yes. On a length and around off; nips in a bit; Gaikwad plays with soft hands. The ball dribbles gently towards the keeper off the inside edge and Samson calls his partner through for a quick single,2026-05-04 13:10:19.976147
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,1,6,Nandre Burger,Sanju Samson,out Bowled!! Knocked him over! The off-stump has been removed. Cracking delivery from Nandre Burger and he's rightly pumped. Jumps and punches the air in delight. 140.2kph,just a fraction fuller than a good length and he gets it to move away from the right-hander. Samson shapes to play across the line and misses it altogether as he doesn't account for the movement. The ball crashes into the off-stump and Samson departs for a low score on his debut for CSK. Sanju Samson b Nandre Burger 6(7) [4s-1],2026-05-04 13:10:19.976348
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,2,1,Jofra Archer,Ruturaj Gaikwad,no run,Gaikwad is half-forward to push-drive and inside-edges this length ball to the right of the bowler,2026-05-04 13:10:19.976537
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,2,2,Jofra Archer,Ruturaj Gaikwad,no run,fuller outside off; driven crisply off the front foot but he can't find the gap through the covers,2026-05-04 13:10:19.976749
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,2,3,Jofra Archer,Ruturaj Gaikwad,no run,full on off; knocked to mid-on,2026-05-04 13:10:19.976936
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,2,4,Jofra Archer,Ruturaj Gaikwad,no run,Gaikwad exposes all his stumps by backing away now. Jofra Archer targets the stumps from a short of length and that's been chopped to backward point off the under-edge. Four dots in a row,2026-05-04 13:10:19.977124
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,2,5,Jofra Archer,Ruturaj Gaikwad,FOUR,overpitched outside off and Ruturaj Gaikwad latches onto it. The CSK captain leans forward and caresses the drive through cover-point. First boundary for Gaikwad and that should get him going,2026-05-04 13:10:19.977329
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,2,6,Jofra Archer,Ruturaj Gaikwad,wide,137kph; inswinger that further seams down leg; Gaikwad heaves and misses. Dhruv Jurel dives to his left to make a good stop; saves four there,2026-05-04 13:10:19.977524
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,2,6,Jofra Archer,Ruturaj Gaikwad,out Bowled!! Gone! CSK lose both their openers cheaply. It's full,quick and on the stumps at 143.3kph; Gaikwad backs away to access the off-side. Moves a tad too much and misses a straight ball. Hears the death rattle and walks back to the dressing room. CSK rocked early. Ruturaj Gaikwad b Jofra Archer 6(11) [4s-1],2026-05-04 13:10:19.977753
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,3,1,Nandre Burger,Ayush Mhatre,out Caught by Dhruv Jurel!! Burger is celebrating,the umpire is unmoved and RR have reviewed it. Head-high bouncer from Burger. Gets big on the batter who pulls awkwardly. No room on offer as well. It's close to the gloves. Let's see what UltraEdge says. Big spike on UltraEdge when the ball is near the right thumb. So; it's off the glove. Successful review and Mohit Krishnadas has to overturn his decision. Ayush Mhatre departs for a golden duck and CSK are in a spot of bother. Ayush Mhatre c Dhruv Jurel b Nandre Burger 0(1),2026-05-04 13:10:19.978022
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,3,2,Nandre Burger,Sarfaraz Khan,no run,143.7kph; length ball on off; defended into off. No hat-trick for Burger,2026-05-04 13:10:19.978260
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,3,3,Nandre Burger,Sarfaraz Khan,no run,139.8kph; nip-backer; Sarfaraz Khan hangs back in the crease and is surprised by the inward movement. Gets beaten on the inside edge and is struck outside the line of the off-stump,2026-05-04 13:10:19.978532
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,3,4,Nandre Burger,Sarfaraz Khan,FOUR,Sarfaraz Khan gets off the mark with a confident pull shot! Short ball; hip-high; Sarfaraz spots the length early; swivels and pulls over midwicket,2026-05-04 13:10:19.979133
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,3,5,Nandre Burger,Sarfaraz Khan,SIX,wow! Sarfaraz Khan gives the charge to the bowler. Dances down the pitch; moves leg-side in the process and swings across the line to flick this length ball over backward square leg. The ball has the wings to go over the boundary rope,2026-05-04 13:10:19.980575
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,3,6,Nandre Burger,Sarfaraz Khan,wide,there's still some inward shape for Burger; the line is down leg though. Sarfaraz flicks and misses,2026-05-04 13:10:19.981830
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,3,6,Nandre Burger,Sarfaraz Khan,no run,RR appeal; turned down by the umpire and RR decide against the review. Another superb delivery from Burger. Pacy length ball; Sarfaraz Khan ends up playing outside the line of it as he's stuck in the crease. The ball beats the inside edge; hits the pad before going into the keeper's mitts. Ball-tracking shows it to be going over the off-stump,2026-05-04 13:10:19.982271
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,4,1,Brijesh Sharma,Matthew Short,no run,full ball; pushed back to the bowler,2026-05-04 13:10:19.982573
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,4,2,Brijesh Sharma,Matthew Short,wide,inswinger down leg; Short flicks and misses,2026-05-04 13:10:19.982848
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,4,2,Brijesh Sharma,Matthew Short,no run,117.2kph; full on off; Short pushes to cover,2026-05-04 13:10:19.983091
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,4,3,Brijesh Sharma,Matthew Short,no run,132.6kph; width on offer; Short cuts hard but straight to backward point,2026-05-04 13:10:19.983381
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,4,4,Brijesh Sharma,Matthew Short,no run,pace-off delivery; Short gets forward and pushes to cover-point,2026-05-04 13:10:19.983508
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,4,5,Brijesh Sharma,Matthew Short,1 run,short of length; Short pulls to deep backward square leg,2026-05-04 13:10:19.983616
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,4,6,Brijesh Sharma,Sarfaraz Khan,FOUR,130.6kph; short ball down leg; Sarfaraz Khan goes after it with a pull shot. Hits him high on the bat and bottom hand comes off the handle. But he's hit it well wide of the man at 45. Sarfaraz has come out all guns blazing,2026-05-04 13:10:19.983753
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,5,1,Sandeep Sharma,Matthew Short,1 run,102.6kph; Sandeep starts with a slower ball on the pads; Short flicks to backward square leg,2026-05-04 13:10:19.983866
03_RRvsCSK,May 04,13:07:56,Barsapara Cricket Stadium,5,2,Sandeep Sharma,Sarfaraz Khan,1 run,120.4kph; good length on the stumps; Sarfaraz Khan turns it to square leg,2026-05-04 13:10:19.983982
