match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,0,1,Arshdeep Singh,Sai Sudharsan,1 run,starts with a length delivery outside off; Sai Sudharsan steers it down to third man for a single to get off the mark,2026-05-04 13:11:12.229490
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,0,2,Arshdeep Singh,Shubman Gill,1 run,Gill off the mark straightaway too. Tucks the inswinger to deep square leg,2026-05-04 13:11:12.229740
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,0,3,Arshdeep Singh,Sai Sudharsan,wide,Arshdeep looks to swing the ball away from the left-hander. Starts from well outside off and goes past the tramline. Wided,2026-05-04 13:11:12.229943
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,0,3,Arshdeep Singh,Sai Sudharsan,FOUR,poor delivery and Arshdeep pays the price. Sprays it down the leg; Sai Sudharsan glances it fine past fine leg fielder. Raced away for four,2026-05-04 13:11:12.230141
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,0,4,Arshdeep Singh,Sai Sudharsan,no run,much better from Arshdeep. Attacks the stumps with a good length delivery. Sai Sudharsan stands tall and tucks it to mid-wicket,2026-05-04 13:11:12.230343
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,0,5,Arshdeep Singh,Sai Sudharsan,1 run,in the channel outside off; Sai Sudharsan dabs it past diving short third man fielder; who got a hand on it. Couldn't stop it cleanly and the duo scamper for a run,2026-05-04 13:11:12.230562
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,0,6,Arshdeep Singh,Shubman Gill,1 run,quick single to finish. Gill drops it in front of cover and keeps the strike,2026-05-04 13:11:12.231550
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,1,1,Xavier Bartlett,Shubman Gill,no run,good length delivery on middle; Bartlett loses his footing as he lands near the popping crease. Gill pushes it to mid-on,2026-05-04 13:11:12.231789
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,1,2,Xavier Bartlett,Shubman Gill,FOUR,fuller length delivery on middle; Gill leans on the front foot and clips it through mid-wicket. Mid-on has no chance of stopping that,2026-05-04 13:11:12.232001
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,1,3,Xavier Bartlett,Shubman Gill,FOUR,back-to-back boundaries for Gill. Comes down the ground and pumps it over mid-on. Doesn't time it well; but gets enough bat to clear the in-field,2026-05-04 13:11:12.232242
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,1,4,Xavier Bartlett,Shubman Gill,1 run,short of a good length and just outside off; pushed into the gap wide of cover-point for a single,2026-05-04 13:11:12.232491
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,1,5,Xavier Bartlett,Sai Sudharsan,1 run,on a good length and at the stumps; nudged into the gap wide of mid-wicket for a single,2026-05-04 13:11:12.232742
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,1,6,Xavier Bartlett,Shubman Gill,FOUR,beautifully played; a leg-stump half-volley and Gill doesn't miss out - leans across; waits on the ball and then clips the on-drive into the gap wide of mid-on; played with a straight bat and beat the diving fielder at mid-on,2026-05-04 13:11:12.232999
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,2,1,Arshdeep Singh,Sai Sudharsan,FOUR,crunched; banged in short by Arshdeep - Sudharsan picks the length early; swivels across and then hammers the pull over mid-wicket for a boundary,2026-05-04 13:11:12.233256
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,2,2,Arshdeep Singh,Sai Sudharsan,no run,Arshdeep drags the length back outside off - steered with an open face; to the right of backward point. A slight fumble; but they decide against a single,2026-05-04 13:11:12.233501
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,2,3,Arshdeep Singh,Sai Sudharsan,1 run,on a good length and just outside off - Sai Sudharsan lets the ball come and places the push into the gap past cover-point,2026-05-04 13:11:12.233756
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,2,4,Arshdeep Singh,Shubman Gill,wide,Arshdeep shortens the length and spills one down leg; past Gill's flick and is called as a wide,2026-05-04 13:11:12.233980
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,2,4,Arshdeep Singh,Shubman Gill,FOUR,top-edge and four; banged in short as Shubman came down the pitch; he swings across the line; gets a fat top-edge and the ball flies over the keeper's head,2026-05-04 13:11:12.234165
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,2,5,Arshdeep Singh,Shubman Gill,no run,on a good length and just outside off - Gill leans into a crisp drive; but he can't beat mid-off who slides and makes the stop,2026-05-04 13:11:12.234380
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,2,6,Arshdeep Singh,Shubman Gill,2 runs,short of a length and angling into the pads; clipped backward of square on the on-side and they come back for the second,2026-05-04 13:11:12.234549
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,3,1,Marco Jansen,Sai Sudharsan,1 run,tad too straight from Jansen; on the pads and it's nudged behind square on the on-side for a single,2026-05-04 13:11:12.234843
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,3,2,Marco Jansen,Shubman Gill,1 run,Jansen shortens the length on middle; worked in front of square on the on-side for a single,2026-05-04 13:11:12.235566
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,3,3,Marco Jansen,Sai Sudharsan,no run,an attempted cheeky dab; but Sai Sudharsan's nearly undone by Jansen's extra bounce - banged in short and angling back into the left-hander; Sai Sudharsan arched back on the open-faced dab; but the ball kept cominbg back; pinged the glove and lobbed wide of the keeper,2026-05-04 13:11:12.236041
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,3,4,Marco Jansen,Sai Sudharsan,out Caught by Shreyas Iyer!! There's the wicket Punjab were looking forward to. Follows the short ball with a full one now - Sai Sudharsan is camping on the back-foot and isn't in a great position to play the drive. The bat turns on impact and he ends up skewing it in the air,right down mid-off's throat - Shreyas Iyer with a simple catch and the Titans have lost their first wicket. Sai Sudharsan c Shreyas Iyer b Marco Jansen 13(11) [4s-2],2026-05-04 13:11:12.236486
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,3,5,Marco Jansen,Jos Buttler,no run,fuller length delivery on the pads; Buttler shuffles across and turns it to the on-side,2026-05-04 13:11:12.236800
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,3,6,Marco Jansen,Jos Buttler,no run,on a good length and just outside off - Buttler leans across and defends it to the off-side,2026-05-04 13:11:12.236998
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,4,1,Vijaykumar Vyshak,Shubman Gill,no run,short of a good length and just outside off - an open faced dab to backward point,2026-05-04 13:11:12.237200
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,4,2,Vijaykumar Vyshak,Shubman Gill,1 run,very full from Vyshak; almost a low full-toss and Gill toe-ends the drive past cover,2026-05-04 13:11:12.237435
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,4,3,Vijaykumar Vyshak,Jos Buttler,FOUR,classy; that should give him plenty of confidence - back of a length and well wide of off; Buttler stands tall and then punches it into the gap wide of cover; runs away across the fast outfield,2026-05-04 13:11:12.237869
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,4,4,Vijaykumar Vyshak,Jos Buttler,1 run,short of a good length and at the stumps; clipped backward of square on the on-side for a single,2026-05-04 13:11:12.238709
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,4,5,Vijaykumar Vyshak,Shubman Gill,no run,a half-appeal for caught behind; short of a good length and angling back into the right-hander. Gill was shaping for the half-arm jab and is beaten on the inside edge. Prabhsimran Singh dives to his left and makes the stop,2026-05-04 13:11:12.239006
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,4,6,Vijaykumar Vyshak,Shubman Gill,FOUR,uppish and four; back of a length and at the stumps - Gill runs down the pitch; makes room and then cuts it up and over backward point; bounces away to the ropes,2026-05-04 13:11:12.239505
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,5,1,Marco Jansen,Jos Buttler,1 run,Jansen hits the deck hard on back of a length; tucked to vacant mid-wicket for a run,2026-05-04 13:11:12.239719
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,5,2,Marco Jansen,Shubman Gill,1 run,Gill makes room early. Jansen spots it and dishes in a slower delivery outside leg-stump. Pushed to mid-off,2026-05-04 13:11:12.239847
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,5,3,Marco Jansen,Jos Buttler,no run,yorker on leg-stump. Buttler squeezes it out back to Jansen,2026-05-04 13:11:12.239985
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,5,4,Marco Jansen,Jos Buttler,FOUR,good effort in the deep by Nehal; but can't hold onto the ball. Slips under him and rolls to the fence. It was short and wide to be cut. Buttler gets on top of the bounce and cuts it to the left of the fielder at deep point,2026-05-04 13:11:12.240098
04_PKvsGT,May 04,13:07:56,Maharaja Yadavindra Singh International Cricket Stadium,5,5,Marco Jansen,Jos Buttler,no run,Jansen attacks the stumps with a length delivery. Pushed to the right of Jansen,2026-05-04 13:11:12.240205
