match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,1,Mukesh Kumar,Mitchell Marsh,1 run,fuller length delivery outside off; Marsh leans across and push-drives it to the right of cover. A diving stop; but they can't prevent the single,2026-05-04 13:11:59.713473
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,2,Mukesh Kumar,Rishabh Pant,no run,fuller length delivery and angling onto the pads; Pant was shaping to flick and missed; flicked the pad and KL Rahul does well to make a diving stop,2026-05-04 13:11:59.714331
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,3,Mukesh Kumar,Rishabh Pant,FOUR,beautifully played; overpitched and at the stumps; Pant leans across; presents the full face of the bat and then caresses the drive back past the bowler for a boundary,2026-05-04 13:11:59.714616
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,4,Mukesh Kumar,Rishabh Pant,no run,on a good length and just outside off - Pant presses across defensively,2026-05-04 13:11:59.715004
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,5,Mukesh Kumar,Rishabh Pant,wide,Mukesh shortens the length and pushes one across the left-hander; left alone and it's past the tramline; called as a wide,2026-05-04 13:11:59.715322
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,5,Mukesh Kumar,Rishabh Pant,no run,a cheeky lap and Pant nearly got an inside edge on the shot - shuffled right across on the lap and missed it completely. Could've looked foolish had he edged it,2026-05-04 13:11:59.715628
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,6,Mukesh Kumar,Rishabh Pant,no run,nicely bowled; on a good length and shaping away from outside off; draws Pant into a loose push and beat him on the outside edge,2026-05-04 13:11:59.715831
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,1,Lungi Ngidi,Mitchell Marsh,FOUR,lovely shot; length ball outside off - Mitchell Marsh stands tall and then punches it into the gap past cover-point; races away to the square boundary,2026-05-04 13:11:59.715976
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,2,Lungi Ngidi,Mitchell Marsh,no run,on a good length and just outside off - Marsh gets right behind the line in defence,2026-05-04 13:11:59.716112
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,3,Lungi Ngidi,Mitchell Marsh,FOUR,cracking shot; width on offer once again - Marsh stands tall and then hammers the drive off the back-foot; places it in front of square on the off-side for a boundary,2026-05-04 13:11:59.716253
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,4,Lungi Ngidi,Mitchell Marsh,1 run,on a good length and at the stumps; Marsh gets right behind the line in defence,2026-05-04 13:11:59.716386
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,5,Lungi Ngidi,Rishabh Pant,no run,on a good length and at the stumps; defended back at the bowler,2026-05-04 13:11:59.716523
05_LSGvsDC,May 04,13:07:56,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,6,Lungi Ngidi,Rishabh Pant,1 run,back of a length and just outside off - Pant plays with an angled bat and runs it behind square on the off-side for a single,2026-05-04 13:11:59.716682
