match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
06_KKRvsSH,May 04,13:07:56,Eden Gardens,0,1,Vaibhav Arora,Travis Head,no run,bit of swing for Vaibhav. Pitches around middle and leg; nips away; Head has a look and lets it pass,2026-05-04 13:12:47.726837
06_KKRvsSH,May 04,13:07:56,Eden Gardens,0,2,Vaibhav Arora,Travis Head,no run,uhhh! Swing and bounce this time. Shortens the length; lands it around leg and seams away; Head has a loose waft and is beaten on the outside-edge. Good carry through to Raghuvanshi,2026-05-04 13:12:47.727076
06_KKRvsSH,May 04,13:07:56,Eden Gardens,0,3,Vaibhav Arora,Travis Head,no run,once again goes past the outside-edge. Back of a length; in the channel around off; Head stays rooted to the crease and has a tentative poke; lucky not to edge it. Vaibhav left with his hands on his head..,2026-05-04 13:12:47.727282
06_KKRvsSH,May 04,13:07:56,Eden Gardens,0,4,Vaibhav Arora,Travis Head,1 run,slanting away from the left-hander; Head throws his bat and slashes it towards deep backward point,2026-05-04 13:12:47.727476
06_KKRvsSH,May 04,13:07:56,Eden Gardens,0,5,Vaibhav Arora,Abhishek Sharma,1 run,back of a length close to off; Abhishek stands tall and knocks it to point; slight fumble by Anukul and it allows Abhishek to get off the mark,2026-05-04 13:12:47.727698
06_KKRvsSH,May 04,13:07:56,Eden Gardens,0,6,Vaibhav Arora,Travis Head,FOUR,Head ends the over with a boundary. Vaibhav became predictable with his length. Head was waiting for the shortish length; goes on one leg and whips it in front of square; beats mid-wicket and the ball races away,2026-05-04 13:12:47.727896
06_KKRvsSH,May 04,13:07:56,Eden Gardens,1,1,Blessing Muzarabani,Abhishek Sharma,1 run,fullish delivery on leg; Abhishek flicks in front of square and Rinku keeps it to a single,2026-05-04 13:12:47.728085
06_KKRvsSH,May 04,13:07:56,Eden Gardens,1,2,Blessing Muzarabani,Travis Head,FOUR,that's a gimme from Muzarabani. Short and angling across; ample width on offer and Head is not missing out; cracks it in front of square and the ball pierces the packed off-side ring. Not off the middle but enough for it to race away,2026-05-04 13:12:47.728278
06_KKRvsSH,May 04,13:07:56,Eden Gardens,1,3,Blessing Muzarabani,Travis Head,FOUR,hat-trick of fours for Head. Once again Muzarabani offers space for Head to free his hands; he goes up and over the off-side field; clears the inner ring and there's no stopping that,2026-05-04 13:12:47.728476
06_KKRvsSH,May 04,13:07:56,Eden Gardens,1,4,Blessing Muzarabani,Travis Head,1 run,slower ball at the stumps; Head waits and guides it to deep backward point,2026-05-04 13:12:47.728704
06_KKRvsSH,May 04,13:07:56,Eden Gardens,1,5,Blessing Muzarabani,Abhishek Sharma,no run,short of length close to off; Abhishek gets behind the line and defends it back,2026-05-04 13:12:47.728906
06_KKRvsSH,May 04,13:07:56,Eden Gardens,1,6,Blessing Muzarabani,Abhishek Sharma,SIX,there he goes. First six of the night. And it comes off Abhishek's willow. Short delivery and it comes on nicely; Abhishek hangs back and nails the pull in front of square. He took on the longer square boundary and cleared it with ease,2026-05-04 13:12:47.729107
06_KKRvsSH,May 04,13:07:56,Eden Gardens,2,1,Vaibhav Arora,Travis Head,FOUR,Rahane does not bother to chase. Angled across; but Head stays leg-side and gives himself the room to open his hands; thrashes it through extra cover and another mistimed shot that races across the turf,2026-05-04 13:12:47.729305
06_KKRvsSH,May 04,13:07:56,Eden Gardens,2,2,Vaibhav Arora,Travis Head,no run,very full delivery on off; Head makes a bit of room and squeezes the drive to extra cover,2026-05-04 13:12:47.729498
06_KKRvsSH,May 04,13:07:56,Eden Gardens,2,3,Vaibhav Arora,Travis Head,SIX,high and all the way! Sunrisers are on the charge. Vaibhav angles it in; lands it right in Head's arc and there's no missing out; lofted through the line and sends it sailing over the sightscreen,2026-05-04 13:12:47.729731
06_KKRvsSH,May 04,13:07:56,Eden Gardens,2,4,Vaibhav Arora,Travis Head,SIX,back to back sixes. This is a poor delivery. Vaibhav tries to target the pads but offers a freebie down leg; Head backs away and whips it backward of square leg. 65 meter six..,2026-05-04 13:12:47.729930
06_KKRvsSH,May 04,13:07:56,Eden Gardens,2,5,Vaibhav Arora,Travis Head,FOUR,now through the off-side. Vaibhav is leaking on both the sides. The attempted yorker goes wrong - full toss outside off; Head reaches and opens the bat face to slice it over backward point. No one in the deep to stop that..,2026-05-04 13:12:47.730134
06_KKRvsSH,May 04,13:07:56,Eden Gardens,2,6,Vaibhav Arora,Travis Head,wide,tries to get away with a bouncer; but too short and too high; Head can't connect with the ramp and the square leg umpire signals a wide for height. How much will the extra ball cost?,2026-05-04 13:12:47.730330
06_KKRvsSH,May 04,13:07:56,Eden Gardens,2,6,Vaibhav Arora,Travis Head,no run,that's better. Short and follows a backing away Head; cramps him for room and the upper cut can't be met; the ball flies over the top-edge. Big over - 21 runs,2026-05-04 13:12:47.730524
06_KKRvsSH,May 04,13:07:56,Eden Gardens,3,1,Sunil Narine,Abhishek Sharma,no run,tossed up around off; Abhishek gently knocks it back to Narine,2026-05-04 13:12:47.730728
06_KKRvsSH,May 04,13:07:56,Eden Gardens,3,2,Sunil Narine,Abhishek Sharma,no run,keeps it around leg; not much room on offer; Abhishek stays leg-side and knocks it to cover,2026-05-04 13:12:47.730916
06_KKRvsSH,May 04,13:07:56,Eden Gardens,3,3,Sunil Narine,Abhishek Sharma,1 run,flighted and drifting across leg; Abhishek nudges it through mid-wicket,2026-05-04 13:12:47.731111
06_KKRvsSH,May 04,13:07:56,Eden Gardens,3,4,Sunil Narine,Travis Head,no run,same line for Head - down leg and no room; Head misses the flick and the ball deflects off the pad to short fine,2026-05-04 13:12:47.731303
06_KKRvsSH,May 04,13:07:56,Eden Gardens,3,5,Sunil Narine,Travis Head,2 runs,dropped! Tough chance and Rahane can't hang on. He gets fingertips. Head comes down the track; stays leg-side and looks to go down the ground; but the ball spins away and catches the outer half; skies over extra cover and Rahane backtracks; puts in the dive but can't cling on,2026-05-04 13:12:47.731522
06_KKRvsSH,May 04,13:07:56,Eden Gardens,3,6,Sunil Narine,Travis Head,no run,flatter delivery at the stumps; Head stays back and eases it to extra cover,2026-05-04 13:12:47.731668
06_KKRvsSH,May 04,13:07:56,Eden Gardens,4,1,Varun Chakaravarthy,Abhishek Sharma,SIX,he's greeted with a six. Flighted delivery on leg; Abhishek stays leg-side and has the space to extend his hands; clean swing of the bat and the ball sails over long-on,2026-05-04 13:12:47.731936
06_KKRvsSH,May 04,13:07:56,Eden Gardens,4,2,Varun Chakaravarthy,Abhishek Sharma,no run,seam-up quick delivery; Abhishek opens the bat face and guides it to short third,2026-05-04 13:12:47.732182
06_KKRvsSH,May 04,13:07:56,Eden Gardens,4,3,Varun Chakaravarthy,Abhishek Sharma,SIX,six more.. Chakaravarthy goes fast and short; 108.8ks and the ball skids on; Abhishek is waiting on the back foot - nails the pull flat and all the way over long-on. Pressure on Chakaravarthy..,2026-05-04 13:12:47.732426
06_KKRvsSH,May 04,13:07:56,Eden Gardens,4,4,Varun Chakaravarthy,Abhishek Sharma,FOUR,now a boundary. Overpitched outside off and Abhishek does not miss out; he bends the back knee and pumps it over extra cover; one bounce and over the ropes,2026-05-04 13:12:47.732683
06_KKRvsSH,May 04,13:07:56,Eden Gardens,4,5,Varun Chakaravarthy,Abhishek Sharma,wide,tries to keep it away from Abhishek's range and sprays it outside off; wide called,2026-05-04 13:12:47.732923
06_KKRvsSH,May 04,13:07:56,Eden Gardens,4,5,Varun Chakaravarthy,Abhishek Sharma,FOUR,nicely done! Abhishek shuffles across expecting Chakaravarthy to bowl outside off; the length is short and he does not overhit the cut; opens the bat face and splits the two fielders in the point region with precision,2026-05-04 13:12:47.733060
06_KKRvsSH,May 04,13:07:56,Eden Gardens,4,6,Varun Chakaravarthy,Abhishek Sharma,FOUR,massive over - 25 runs. Almost a repeat of the previous boundary. Short and outside off; Abhishek moves across and opens the bat face; slices the cut square and the fielders don't bother to chase it,2026-05-04 13:12:47.733181
06_KKRvsSH,May 04,13:07:56,Eden Gardens,5,1,Kartik Tyagi,Travis Head,FOUR,not off the middle but in the gap and four more.. Back of a length delivery; Head makes room and does not quite time the cut; but he hits it in front of square and wide of extra cover. And once the ball passes the infield at Eden then there's no point chasing it,2026-05-04 13:12:47.733299
06_KKRvsSH,May 04,13:07:56,Eden Gardens,5,2,Kartik Tyagi,Travis Head,wide,full and outside off; Head tries his best to reach but can't; wide signalled,2026-05-04 13:12:47.733415
06_KKRvsSH,May 04,13:07:56,Eden Gardens,5,2,Kartik Tyagi,Travis Head,SIX,this is what happens when you come within his range. Kartik goes for an off-pace delivery; 117ks off-cutter but comes on nicely; Head had the width and he pumps it flat over deep extra cover. This is absolute carnage..,2026-05-04 13:12:47.733528
06_KKRvsSH,May 04,13:07:56,Eden Gardens,5,3,Kartik Tyagi,Travis Head,no run,that's more like - 145.8ks back of a length delivery; right at Head and he defends it to the off-side,2026-05-04 13:12:47.733653
06_KKRvsSH,May 04,13:07:56,Eden Gardens,5,4,Kartik Tyagi,Travis Head,out Caught by Cameron Green!! Finally Eden Garden finds its voice. Loud cheer as Green hangs on. The partnership has been broken. Kartik is pumped. Much needed wicket for the home side. 142.2ks back of a length delivery,angled across the left-hander; Head tries to fetch the flat-batted shot and loses his grip; the bottom hand comes off the bat handle; he gets the shot off the cue-end and the ball goes straight up; Green backtracks from mid-on and hangs on safely. A nice little cameo from Head comes to an end. Travis Head c Cameron Green b Kartik Tyagi 46(21) [4s-6 6s-3],2026-05-04 13:12:47.733775
06_KKRvsSH,May 04,13:07:56,Eden Gardens,5,5,Kartik Tyagi,Ishan Kishan,1 run,low full toss on off; Kishan drives to extra cover and a half stop allows the pair to cross over comfortably,2026-05-04 13:12:47.733885
06_KKRvsSH,May 04,13:07:56,Eden Gardens,5,6,Kartik Tyagi,Abhishek Sharma,1 run,147ks full and angled across; Abhishek opens the bat face and guides it towards deep backward point,2026-05-04 13:12:47.733996
06_KKRvsSH,May 04,13:07:56,Eden Gardens,6,1,Sunil Narine,Abhishek Sharma,1 run,87.9ks slower and drifting across; Abhishek knocks it wide of cover and crosses over,2026-05-04 13:12:47.734104
06_KKRvsSH,May 04,13:07:56,Eden Gardens,6,2,Sunil Narine,Ishan Kishan,1 run,92.4ks flatter and at the stumps; Kishan moves across and clips it to deep mid-wicket,2026-05-04 13:12:47.734211
06_KKRvsSH,May 04,13:07:56,Eden Gardens,6,3,Sunil Narine,Abhishek Sharma,FOUR,bad delivery and put away. Very small margin for error. 90ks short of length and angling away; Abhishek had the width and he flays it over extra cover. There's a valiant dive in the deep by Anukul but he's nowhere close to stopping that,2026-05-04 13:12:47.734325
06_KKRvsSH,May 04,13:07:56,Eden Gardens,6,4,Sunil Narine,Abhishek Sharma,no run,slower and the ball stops a bit; Abhishek is early into the push and checks his shot; angles it to backward point,2026-05-04 13:12:47.734434
06_KKRvsSH,May 04,13:07:56,Eden Gardens,6,5,Sunil Narine,Abhishek Sharma,SIX,once again Narine misses his line and is made to pay. 94.6ks short and around leg; Abhishek swivels around in the crease and pulls it high towards deep square leg. He gets the distance as well..,2026-05-04 13:12:47.734545
06_KKRvsSH,May 04,13:07:56,Eden Gardens,6,6,Sunil Narine,Abhishek Sharma,2 runs,short and drifting away; Abhishek opens the bat face and slices it backward of point; couple more,2026-05-04 13:12:47.734665
06_KKRvsSH,May 04,13:07:56,Eden Gardens,7,1,Kartik Tyagi,Ishan Kishan,no run,143.3ks good length ball angled across; Kishan throws his bat and is beaten on the outside-edge. Not much bounce on this delivery as it barely carries to Raghuvanshi,2026-05-04 13:12:47.734773
06_KKRvsSH,May 04,13:07:56,Eden Gardens,7,2,Kartik Tyagi,Ishan Kishan,FOUR,the off-pace delivery is not working for Kartik. He went for runs against Head as well. 117.3ks slower ball bowled into the surface; sits up nicely and Kishan nails the pull in front of square; splits the two fielders in the deep perfectly,2026-05-04 13:12:47.734941
06_KKRvsSH,May 04,13:07:56,Eden Gardens,7,3,Kartik Tyagi,Ishan Kishan,FOUR,nicely done! 146.2ks very full and outside off; close to yorker length; Kishan bends down and reaches it; squeezes it to the right of backward point and beats the diving fielder,2026-05-04 13:12:47.735063
06_KKRvsSH,May 04,13:07:56,Eden Gardens,7,4,Kartik Tyagi,Ishan Kishan,FOUR,hat-trick of fours. This was touch and go. Full pitcher around off; Kishan wanted to go over mid-off as the fielder was inside the ring; does not quite middle it but gets enough to evade the leaping fielder,2026-05-04 13:12:47.735175
06_KKRvsSH,May 04,13:07:56,Eden Gardens,7,5,Kartik Tyagi,Ishan Kishan,no run,118ks slower short of length delivery; Kishan looks to pull and chops it onto the pads; luckily the ball drops dead near his feet instead of rolling back onto the stumps,2026-05-04 13:12:47.735282
06_KKRvsSH,May 04,13:07:56,Eden Gardens,7,6,Kartik Tyagi,Ishan Kishan,no run,145.1ks back of a length angled across; Kishan tries to run it down to third man and is beaten o the outside-edge,2026-05-04 13:12:47.735389
06_KKRvsSH,May 04,13:07:56,Eden Gardens,8,1,Blessing Muzarabani,Abhishek Sharma,1 run,starts with a slower ball - 110.1ks leg-lined delivery; Abhishek clips it over the mid-wicket region,2026-05-04 13:12:47.735497
