match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,0,1,Arshdeep Singh,Sanju Samson,wide,Arshdeep shortens the length and pushes one down the leg-side as Samson walked at the bowler; past the flick and is called as a wide,2026-05-04 13:13:37.843579
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,0,1,Arshdeep Singh,Sanju Samson,no run,the inswinger from Arshdeep - Samson leans across; covers the line and gets a thick inside edge to mid-wicket,2026-05-04 13:13:37.844420
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,0,2,Arshdeep Singh,Sanju Samson,3 runs,nicely played; short of a good length and angling into the right-hander - Samson leans across; lets the ball come and then tucks it sweetly past square leg. Long chase for Shashank in the deep and he does well to prevent the boundary,2026-05-04 13:13:37.845038
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,0,3,Arshdeep Singh,Ruturaj Gaikwad,no run,on a good length and at the stumps - Ruturaj prods across and turns it onto the on-side,2026-05-04 13:13:37.846997
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,0,4,Arshdeep Singh,Ruturaj Gaikwad,1 run,fraction fuller and just outside off - Gaikwad leans across into an open-faced dab; behind square on the off-side for a single,2026-05-04 13:13:37.847240
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,0,5,Arshdeep Singh,Sanju Samson,no run,beauty; short of a good length and pushed across the right-hander; a hint of bounce and Samson is beaten on the poke; beaten by the angle,2026-05-04 13:13:37.847480
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,0,6,Arshdeep Singh,Sanju Samson,no run,short of a good length and around off; Samson leans across and defends it to the on-side,2026-05-04 13:13:37.847723
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,1,1,Xavier Bartlett,Ruturaj Gaikwad,FOUR,nicely played; on a good length and wide ofd off; friendly start from Bartlett and Ruturaj pushes it into the gap wide of cover; runs away across the fast outfield,2026-05-04 13:13:37.847942
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,1,2,Xavier Bartlett,Ruturaj Gaikwad,no run,short of a good length and just outside off - Gaikwad hops across defensively,2026-05-04 13:13:37.848138
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,1,3,Xavier Bartlett,Ruturaj Gaikwad,1 run,tad fuller and wider of off; eased into the gap wide of cover for a single,2026-05-04 13:13:37.848349
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,1,4,Xavier Bartlett,Sanju Samson,no run,beaten; on a good length and shaping away from outside off; draws Samson into the drive and he's beaten on the outside edge,2026-05-04 13:13:37.848579
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,1,5,Xavier Bartlett,Sanju Samson,FOUR,thumped; on a good length and well wide of off - Samson stands tall and then drives it on the rise; was in the air and in the gap wide of mid-off,2026-05-04 13:13:37.849210
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,1,6,Xavier Bartlett,Sanju Samson,out Caught by Prabhsimran Singh!! Edged and caught! Second failure in a row and Chepauk has been silenced. On a good length and nipping away from off,Samson backed away on the drive; doens't cover for the movement and gets a thin edge through to the keeper. A simple catch and Prabhsimran Singh doesn't miss out. Sanju Samson c Prabhsimran Singh b Xavier Bartlett 7(7) [4s-1],2026-05-04 13:13:37.849425
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,2,1,Marco Jansen,Ruturaj Gaikwad,FOUR,cracking shot; back of a length and well wide of off - Gaikwad stands tall and then punches it into the gap wide of cover-point; beats the fielder sliding across in the deep,2026-05-04 13:13:37.849628
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,2,2,Marco Jansen,Ruturaj Gaikwad,1 run,short of a good length and at the stumps; nudged with soft hands towards mid-wicket,2026-05-04 13:13:37.849867
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,2,3,Marco Jansen,Ayush Mhatre,no run,short of a good length and at the stumps; Mhatre prods across defensively,2026-05-04 13:13:37.850062
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,2,4,Marco Jansen,Ayush Mhatre,no run,change of pace from Jansen - slower ball at 119 kmph; Mhatre prods half-forward and inside edges halves it back at the bowler,2026-05-04 13:13:37.850256
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,2,5,Marco Jansen,Ayush Mhatre,5 wides,Jansen loses his line and spills one down leg - the swing takes it further away and Prabhsimran Singh can only palm it away; runs away to the ropes for extra wides,2026-05-04 13:13:37.850463
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,2,5,Marco Jansen,Ayush Mhatre,no run,short of a good length and well wide of off; stabbed away from his body and Mhatre picks out cover,2026-05-04 13:13:37.850663
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,2,6,Marco Jansen,Ayush Mhatre,no run,fuller length delivery outside off - Mhatre clears his front-leg on the drive and finds mid-off; on the bounce to the fielder,2026-05-04 13:13:37.850852
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,3,1,Xavier Bartlett,Ruturaj Gaikwad,1 run,short of a length and at the stumps; tucked past square leg for a single,2026-05-04 13:13:37.851038
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,3,2,Xavier Bartlett,Ayush Mhatre,FOUR,an agricultural heave and Mhatre gets off the mark with a boundary; pitched up by Bartlett - Mhatre gets his left leg out of the way and heaves it over mid-on; came off the inner half; but clears the fielder in the ring with ease,2026-05-04 13:13:37.851231
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,3,3,Xavier Bartlett,Ayush Mhatre,FOUR,much better from Mhatre - too full and too straight from Bartlett; Mhatre lets the ball come; held his shape and then whipped it over mid-wicket for a boundary,2026-05-04 13:13:37.851422
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,3,4,Xavier Bartlett,Ayush Mhatre,FOUR,a miscue; but Mhatre has three fours in a row - Bartlett dragged the length back and Mhatre wasn't in a great position on the pull; slightly muscled and he clears square leg with ease; one bounce and over the ropes,2026-05-04 13:13:37.851615
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,3,5,Xavier Bartlett,Ayush Mhatre,2 runs,back of a length and just outside off - Mhatre swivels across and then clubs the pull wide of mid-on - Arshdeep gets across to his left at long-on; puts in a clumsy slide and makes the stop,2026-05-04 13:13:37.851818
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,3,6,Xavier Bartlett,Ayush Mhatre,no run,fuller length delivery outside off; an open-faced drive; but straight to the fielder at backward point; 15 off the over,2026-05-04 13:13:37.852014
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,4,1,Vijaykumar Vyshak,Ruturaj Gaikwad,1 run,short of a good length and angling back into the right-hander; dabbed backward of square on the off-side for a single,2026-05-04 13:13:37.852206
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,4,2,Vijaykumar Vyshak,Ayush Mhatre,no run,on a good length and angling back into the right-hander; Mhatre swings across the line and misses. Comes off the pad and rolls to the off-side,2026-05-04 13:13:37.852396
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,4,3,Vijaykumar Vyshak,Ayush Mhatre,SIX,slugged; back of a length and at the stumps; looked like the slower off-cutter from Vyshak. Mhatre gets his left leg out of the way and then hoists it high over wide long-on; sailed over the ropes for a maximum,2026-05-04 13:13:37.852549
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,4,4,Vijaykumar Vyshak,Ayush Mhatre,2 runs,on a good length and at the stumps; Mhatre swings through the line and places it wide of mid-wicket; the fielder in the deep gets across and keeps them down to a couple,2026-05-04 13:13:37.852755
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,4,5,Vijaykumar Vyshak,Ayush Mhatre,no run,on a good length and just outside off - Mhatre stays leg-sided and then slogs across the line; misses and the ball bounces through to the keeper,2026-05-04 13:13:37.852868
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,4,6,Vijaykumar Vyshak,Ayush Mhatre,1 run,short of a good length and at the stumps - Mhatre swivels across and pulls it past square leg for a single,2026-05-04 13:13:37.852980
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,5,1,Arshdeep Singh,Ayush Mhatre,no run,fuller length delivery on off; Mhatre goes hard on the slog and gets a thick inside edge to mid-wicket,2026-05-04 13:13:37.853177
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,5,2,Arshdeep Singh,Ayush Mhatre,wide,back of a length and angling well down leg; past Mhatre's pull and has been wided,2026-05-04 13:13:37.853418
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,5,2,Arshdeep Singh,Ayush Mhatre,FOUR,drilled; tad too full from Arshdeep; it's right in the slot and he bludgeons it straight of mid-off; bounces away to the ropes,2026-05-04 13:13:37.853669
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,5,3,Arshdeep Singh,Ayush Mhatre,1 run,the inswinging yorker; Mhatre squeezes it in front of mid-off for a quick single,2026-05-04 13:13:37.853916
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,5,4,Arshdeep Singh,Ruturaj Gaikwad,1 run,on a good length and just outside off; steered square on the off-side for a single,2026-05-04 13:13:37.854167
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,5,5,Arshdeep Singh,Ayush Mhatre,no run,yorker length delivery outside off - Mhatre jams the bat down and gets an inside edge onto the on-side,2026-05-04 13:13:37.854413
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,5,6,Arshdeep Singh,Ayush Mhatre,1 run,Arshdeep keeps it very full and on off; jammed in front of mid-on and they're off for a quick single,2026-05-04 13:13:37.854689
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,6,1,Marco Jansen,Ayush Mhatre,SIX,massive; banged in short and Mhatre takes on Jansen - stays on the front-foot; swivels across and then hammers the pull over square leg; went sailing a long way into the stands,2026-05-04 13:13:37.854820
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,6,2,Marco Jansen,Ayush Mhatre,no run,a heave and a miss; fuller length delivery and shaping across the right-hander; Mhatre's feet doesn't move as he swung across the line and missed,2026-05-04 13:13:37.854936
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,6,3,Marco Jansen,Ayush Mhatre,2 runs,fraction fuller and just outside off; hit slightly high on Mhatre's bat as he looked to drive. He finds the gap wide of cover though and comes back for the second,2026-05-04 13:13:37.855050
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,6,4,Marco Jansen,Ayush Mhatre,no run,on a good length and angling into the right-hander; turned onto the on-side,2026-05-04 13:13:37.855159
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,6,5,Marco Jansen,Ayush Mhatre,SIX,plenty of height and Mhatre has the distance as well; pitched up anbd angling into the right-hander; was a floaty slower ball; but it's right in the slot and Mhatre heaves it over wide mid-on - drops over the ropes for a maximum,2026-05-04 13:13:37.855274
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,6,6,Marco Jansen,Ayush Mhatre,no run,Jansen goes full and just outside off - Mhatre jams the bat down and toe-ends it to the off-side,2026-05-04 13:13:37.855383
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,7,1,Yuzvendra Chahal,Ruturaj Gaikwad,1 run,tossed up on middle; Gaikwad gets down low and sweeps it backward of square on the on-side for a run,2026-05-04 13:13:37.855494
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,7,2,Yuzvendra Chahal,Ayush Mhatre,1 run,tossed up on middle and leg; chipped down to long-on for a single,2026-05-04 13:13:37.855604
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,7,3,Yuzvendra Chahal,Ruturaj Gaikwad,1 run,fraction short and at the stumps; Gaikwad goes back and whips it down to long-on for a single,2026-05-04 13:13:37.855734
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,7,4,Yuzvendra Chahal,Ayush Mhatre,1 run,Chahal slows down the pace around off; punched off the back-foot to deep cover,2026-05-04 13:13:37.855836
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,7,5,Yuzvendra Chahal,Ruturaj Gaikwad,1 run,floaty delivery outside off - driven down to long-off for a single,2026-05-04 13:13:37.855937
07_CSKvsPK,May 04,13:07:56,MA Chidambaram Stadium,7,6,Yuzvendra Chahal,Ayush Mhatre,1 run,Chahal slows down the pace on off - Mhatre backs away and cuts it square on the off-side for a single,2026-05-04 13:13:37.856035
