match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,0,1,Mukesh Kumar,Ryan Rickelton,FOUR,nicely played; good start from Rickelton; on a good length and at the stumps; no swing for Mukesh either - Rickelton leans across; lets the ball come and then worked it into the gap wide of mid-on for a boundary,2026-05-04 13:14:25.348159
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,0,2,Mukesh Kumar,Ryan Rickelton,no run,good comeback from Mukesh; on a good length and well wide of off; Rickelton leans across and plays away from his body; beaten on the outside edge,2026-05-04 13:14:25.348411
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,0,3,Mukesh Kumar,Ryan Rickelton,no run,fuller length delivery outside off - Rickelton prods across and finds cover with the drive,2026-05-04 13:14:25.348806
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,0,4,Mukesh Kumar,Ryan Rickelton,FOUR,too straight from Mukesh; on the pads and it's whipped away nonchalantly; places it behind square on the on-side and the ball runs away to the ropes,2026-05-04 13:14:25.349097
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,0,5,Mukesh Kumar,Ryan Rickelton,no run,fuller length delivery outside off - driven to the right of cover-point where Nissanka makes a diving stop. A slight fumble; but they decide against a run,2026-05-04 13:14:25.349322
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,0,6,Mukesh Kumar,Ryan Rickelton,on a good length and just outside off - Rickelton leans into the drive and finds the fielder at cover-point,on a good length and just outside off - Rickelton leans into the drive and finds the fielder at cover-point,2026-05-04 13:14:25.349548
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,1,1,Lungi Ngidi,Rohit Sharma,FOUR,edged and four; short of a good length and just outside off - Rohit comes down the pitch; gets a thick edge on the push and finds the gap behind point,2026-05-04 13:14:25.349841
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,1,2,Lungi Ngidi,Rohit Sharma,no run,extra bounce for Ngidi; surprised Rohit as it climbed onto it - he was staying back and is hit high on the bat,2026-05-04 13:14:25.350070
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,1,3,Lungi Ngidi,Rohit Sharma,FOUR,lovely; overpitched and at the pads; Rohit gets inside the line and then whips it behind square on the on-side for a boundary,2026-05-04 13:14:25.350298
08_DCvsMI,May 04,13:07:56,Arun Jaitley Stadium,1,4,Lungi Ngidi,Rohit Sharma,1 run,short of a good length and just outside off - dropped with soft hands towards cover-point for a single,2026-05-04 13:14:25.350487
