match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,0,1,Mohammed Siraj,Yashasvi Jaiswal,1 run,to deep square leg; starts with a leg-side length ball; clipped past square leg and RR are away,2026-05-04 13:15:17.184624
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,0,2,Mohammed Siraj,Vaibhav Sooryavanshi,FOUR,that's a gift of a length ball on the pads from Siraj. Vaibhav didn't have to do much with no fine leg in place; just glanced it fine and he is away with a first ball four,2026-05-04 13:15:17.184805
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,0,3,Mohammed Siraj,Vaibhav Sooryavanshi,no run,short of length delivery on the stumps; Vaibhav looks to flick; misses; gets hit on the pad. Pitched outside leg for LBW,2026-05-04 13:15:17.185011
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,0,4,Mohammed Siraj,Vaibhav Sooryavanshi,FOUR,second gift of the over. Short of a length down the leg-side. The coach won't be happy with that line from his senior pro when there is no protection at fine leg. Vaibhav gets inside the line and pulls this really fine and collects his second boundary,2026-05-04 13:15:17.185308
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,0,5,Mohammed Siraj,Vaibhav Sooryavanshi,1 run,full and bit of shape back in; Vaibhav drives to long-on,2026-05-04 13:15:17.185549
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,0,6,Mohammed Siraj,Yashasvi Jaiswal,no run,short of length delivery just outside off stump; Jaiswal looks to cut; cut off with a slide at cover-point,2026-05-04 13:15:17.185806
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,1,1,Kagiso Rabada,Vaibhav Sooryavanshi,1 run,short of length delivery outside off stump; Vaibhav dabs to third man,2026-05-04 13:15:17.186036
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,1,2,Kagiso Rabada,Yashasvi Jaiswal,1 run,short of length on the pads; tucked through backward square leg. Over to you; Vaibhav says Jaiswal,2026-05-04 13:15:17.186263
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,1,3,Kagiso Rabada,Vaibhav Sooryavanshi,no run,short of length just outside off stump; Vaibhav defends off the back foot towards cover-point,2026-05-04 13:15:17.186491
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,1,4,Kagiso Rabada,Vaibhav Sooryavanshi,wide,just as you thought they were bowling hard lengths; Kagiso Rabada looks for swing and bowls full down the leg-side. Very lucky that Vaibhav didn't tickle this fine,2026-05-04 13:15:17.186623
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,1,4,Kagiso Rabada,Vaibhav Sooryavanshi,no run,full and on the stumps; Vaibhav mistimes the drive to mid-on,2026-05-04 13:15:17.186763
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,1,5,Kagiso Rabada,Vaibhav Sooryavanshi,FOUR,uppish and safe! Didn't time this loft really well as the bat turned in his hands. Not quite full not quite short so Vaibhav couldn't get under the ball properly. Luckily for him he managed to clear mid-off and the ball ran away to the fence,2026-05-04 13:15:17.186881
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,1,6,Kagiso Rabada,Vaibhav Sooryavanshi,no run,short of length delivery; punchy back foot defence to the off-side,2026-05-04 13:15:17.186992
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,2,1,Mohammed Siraj,Yashasvi Jaiswal,SIX,every time they have overpitched it's been a literal free-hit for these batters. Siraj will be kicking himself for offering a slot ball with some width outside off stump; Jaiswal says thank you very much and lofts over cover for a maximum,2026-05-04 13:15:17.187212
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,2,2,Mohammed Siraj,Yashasvi Jaiswal,FOUR,that is the third boundary Siraj has conceded by spraying the ball down the leg-side. This time it's short of length and down the leg-side. There is short fine leg this time but it still is a freebie and Jaiswal took toll,2026-05-04 13:15:17.187330
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,2,3,Mohammed Siraj,Yashasvi Jaiswal,wide,gets away with another spray past the leg-side. Fine nudge would have been another four,2026-05-04 13:15:17.187439
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,2,3,Mohammed Siraj,Yashasvi Jaiswal,no run,the short of length delivery on the stumps; Jaiswal defends,2026-05-04 13:15:17.187550
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,2,4,Mohammed Siraj,Yashasvi Jaiswal,FOUR,mistimed but it is still good enough to clear the infield. Not a bad ball. Short of a length just outside off stump; Jaiswal went for the loft through the line over mid-off. Backed himself to clear the infield; bat turned in his hands on impact but he got away with it,2026-05-04 13:15:17.187683
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,2,5,Mohammed Siraj,Yashasvi Jaiswal,no run,will go down as a chance but a toughie for Buttler! Short of a length delivery on the leg stump; Jaiswal got inside the line to whip it away fine past short fine leg; ball took the under edge and flew low to the right. Buttler did dive full length and get his right to it but it didn't stick. Could have been taken,2026-05-04 13:15:17.187790
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,2,6,Mohammed Siraj,Yashasvi Jaiswal,no run,blocked from the crease,2026-05-04 13:15:17.187898
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,3,1,Kagiso Rabada,Vaibhav Sooryavanshi,no run,yorker just outside off stump; Vaibhav digs it out to mid-wicket,2026-05-04 13:15:17.188002
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,3,2,Kagiso Rabada,Vaibhav Sooryavanshi,wide,nice steepler but too much height for me says the square leg ump and KG has a polite enquiry about it,2026-05-04 13:15:17.188104
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,3,2,Kagiso Rabada,Vaibhav Sooryavanshi,FOUR,lovely! The way he delayed the shot by opening the bat face to get it over point was commendable. Short of a length delivery outside off stump; Vaibhav wanted to get under it. Was pace off from KG; so Vaibhav had to wait that extra bit and he managed to slice it over the infield for four,2026-05-04 13:15:17.188210
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,3,3,Kagiso Rabada,Vaibhav Sooryavanshi,1 run,direct-hit from Rashid could have been curtains. Vaibhav just took off after driving this length delivery straight to mid-off. Rashid took aim at the bowler's end but missed,2026-05-04 13:15:17.188313
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,3,4,Kagiso Rabada,Yashasvi Jaiswal,no run,148kph from KG and Jaiswal is beaten on the dab. He wanted to steer this short of length delivery to third man but got beaten for pace,2026-05-04 13:15:17.188415
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,3,5,Kagiso Rabada,Yashasvi Jaiswal,no run,now pace off; Jaiswal waits and defends,2026-05-04 13:15:17.188518
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,3,6,Kagiso Rabada,Yashasvi Jaiswal,SIX,that's handsome! The shot of the game so far. 145.5kph short delivery and Jaiswal didn't care one bit. Just rocked back; swivelled on the pull and turned his back on the ball after making contact in the followthrough because he knew that was easily clearing mid-wicket,2026-05-04 13:15:17.188620
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,4,1,Ashok Sharma,Vaibhav Sooryavanshi,FOUR,dropped but this is even tougher than the previous one. 147.4kph short of length delivery; Vaibhav threw everything at it so the outside edge was thick and went towards first slip. Buttler dived full length and got his left hand to it; parried it wide of short third man. Oh dear; Siraj has rolled over the ball trying to stop the boundary with the slide. Looks like he's hurt his groin area. Physio takes him on the sidelines for some treatment,2026-05-04 13:15:17.188767
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,4,2,Ashok Sharma,Vaibhav Sooryavanshi,SIX,audacious. This is a express bowler so he was hanging back to upper cut it and give the ball direction over backward point. The timing was so good and this was delivered around 149kph so it took the ball all the way,2026-05-04 13:15:17.188873
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,4,3,Ashok Sharma,Vaibhav Sooryavanshi,1 run,149.6kph short of length delivery; Vaibhav taps it to mid-off,2026-05-04 13:15:17.188977
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,4,4,Ashok Sharma,Yashasvi Jaiswal,no run,nasty bouncer that forces Jaiswal to sway out to avoid getting hit by the ball. Belated attempt to ramp the ball but missed the ball,2026-05-04 13:15:17.189081
09_GTvsRR,May 04,13:07:56,Narendra Modi Stadium,4,5,Ashok Sharma,Yashasvi Jaiswal,2 runs,drags this wide of mid-wicket and he gets two,2026-05-04 13:15:17.189182
