match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,0,1,Mohammed Shami,Travis Head,no run,a gentle loosener and a near run-out - fuller length delivery and on the pads and Head was beaten on the flick. Rolled to the right of the keeper - Rishabh Pant dived across to make the stop and Head was haring for a quick single; has to scramble back in time,2026-05-04 13:16:06.831044
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,0,2,Mohammed Shami,Travis Head,no run,short of a good length and at the stumps; turned to the on-side,2026-05-04 13:16:06.831271
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,0,3,Mohammed Shami,Travis Head,no run,fuller length short of length on the pads; Head cleared his left leg and gets an inside edge to the on -side,2026-05-04 13:16:06.831470
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,0,4,Mohammed Shami,Travis Head,1 run,on a good length and just outside off - Head plays away from hid body and gets an inside edge onto the pad; rolls to the off-side,2026-05-04 13:16:06.831675
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,0,5,Mohammed Shami,Abhishek Sharma,no run,full and swinging into the left-hander; Abhishek leans across and jams it to the on-side,2026-05-04 13:16:06.831864
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,0,6,Mohammed Shami,Abhishek Sharma,out Caught by Manimaran Siddharth!! Edged and caught! The slower ball outside off and Abhishek went hard on the drive,gets a thick edge and the ball loops to the right of short third. Siddarth dives across; gets both hands under and holds on with ease. Shami has a good match-up against Abhishek and he's sent him packing once again. Abhishek Sharma c Manimaran Siddharth b Mohammed Shami 0(2),2026-05-04 13:16:06.832068
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,1,1,Digvesh Singh Rathi,Travis Head,FOUR,a long hop from Digvesh; dragged short and down leg - Head clears his left leg and then whips it behind square on the on-side; runs away to the ropes,2026-05-04 13:16:06.832267
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,1,2,Digvesh Singh Rathi,Travis Head,1 run,Digvesh tosses one on middle and leg; worked down to long-on for a single,2026-05-04 13:16:06.832460
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,1,3,Digvesh Singh Rathi,Ishan Kishan,no run,pushed through on middle; Ishan goes back in defence,2026-05-04 13:16:06.832660
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,1,4,Digvesh Singh Rathi,Ishan Kishan,no run,dragged short and wide of off; Ishan chops it hard and straight to the fielder at cover-point,2026-05-04 13:16:06.832875
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,1,5,Digvesh Singh Rathi,Ishan Kishan,1 run,flighted delivery outside off - driven down to long-off for a single,2026-05-04 13:16:06.833073
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,1,6,Digvesh Singh Rathi,Travis Head,1 run,fraction short and just outside off - punched down to long-off for a single,2026-05-04 13:16:06.833260
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,2,1,Mohammed Shami,Travis Head,out Caught by Aiden Markram!! Another slower ball and Shami finds himself on a hat-trick. The cutter from the wily speedster,angled across the left-hander and undid Head completely with the lack of pace - the left-hander is through with the shot early; tries to check it at the last moment and spoons it in the air towards mid-off. Markram dives forward and completes a simple catch. Travis Head c Aiden Markram b Mohammed Shami 7(8) [4s-1],2026-05-04 13:16:06.833459
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,2,2,Mohammed Shami,Liam Livingstone,no run,short of a good length and angling across the right-hander; left alone,2026-05-04 13:16:06.833656
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,2,3,Mohammed Shami,Liam Livingstone,wide,fuller length delivery and angling down leg; past Livingstone's flick and is called as a wide,2026-05-04 13:16:06.833858
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,2,3,Mohammed Shami,Liam Livingstone,no run,short of a good length and angling across the left-hander; Livingstone watches it closely; lifts his bat and lets it go,2026-05-04 13:16:06.834077
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,2,4,Mohammed Shami,Liam Livingstone,no run,Shami shortens the length outside off.; Livingstone plays close to the body and defends it,2026-05-04 13:16:06.834308
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,2,5,Mohammed Shami,Liam Livingstone,no run,on a length and just outside off - punched with a straight bat to cover,2026-05-04 13:16:06.834551
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,2,6,Mohammed Shami,Liam Livingstone,1 run,back of a length and just outside off - steered backward of square on the off-side for a single,2026-05-04 13:16:06.835357
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,3,1,Prince Yadav,Liam Livingstone,no run,short of a good length and just outside off - Livingstone stands tall and punches it to backward point,2026-05-04 13:16:06.835982
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,3,2,Prince Yadav,Liam Livingstone,1 run,short of a good length and at the stumps; punched in front of mid-on and he's off for a quick single - Digvesh is quick on the ball and has a shy at the bowler's end; making Livingstone scramble,2026-05-04 13:16:06.836460
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,3,3,Prince Yadav,Ishan Kishan,out Bowled!! Cleaned up! This is mighty fine bowling from LSG once again. They had DC in a pickle the other night,they've SRH in a hole now. Abhishek; Head and now Ishan Kishan; all gone. Pitched up and nipping back into the left-hander; drew Ishan Kishan into an ambitious drive; the late swing is his undoing as the ball bursts through the bat-pad gap and knocks out the off-stump from its perch. Ishan Kishan b Prince Yadav 1(4),2026-05-04 13:16:06.836718
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,3,4,Prince Yadav,Heinrich Klaasen,no run,short of a good length and shaping away from outside off; Klaasen plays inside the line and lets it go,2026-05-04 13:16:06.836910
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,3,5,Prince Yadav,Heinrich Klaasen,no run,short of a good length and holding its line outside off; left alone,2026-05-04 13:16:06.837095
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,3,6,Prince Yadav,Heinrich Klaasen,no run,on a good length and just outside off - a half-forward Klaasen defends it to the off-side,2026-05-04 13:16:06.837280
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,4,1,Mohammed Shami,Liam Livingstone,no run,short of a good length and at the pads; whipped uppishly and straight to the fielder at mid-wicket,2026-05-04 13:16:06.837469
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,4,2,Mohammed Shami,Liam Livingstone,no run,change of pace and he nearly had another wicket; rolled his fingers across the seam and gets it to cut back into the right-hander - beats Livingstone completely; he's early into the drive and the ball goes past the inside edge,2026-05-04 13:16:06.837672
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,4,3,Mohammed Shami,Liam Livingstone,2 runs,leading edge and Livingstone gets away; pitched up and holding its line around off; Livingstone was early into the flick; closed the face of the bat and the leading edge popped up in the air; right through the gap between cover-point and backward point,2026-05-04 13:16:06.837919
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,4,4,Mohammed Shami,Liam Livingstone,no run,short of a good length and angling back into the right-hander - Livingstone swipes across the line and misses; off his body and rolled to the off-side,2026-05-04 13:16:06.838126
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,4,5,Mohammed Shami,Liam Livingstone,2 runs,fuller length delivery outside off - Livingstone goes hard on the drive and loses his shape completely; skews it off the outer half and clears cover; comes back for the second,2026-05-04 13:16:06.838252
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,4,6,Mohammed Shami,Liam Livingstone,no run,short of a good length and just outside off - Livingstone walks forward and dabs it to backward point,2026-05-04 13:16:06.838472
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,5,1,Manimaran Siddharth,Heinrich Klaasen,no run,flighted delivery on middle and leg; turned to the on-side,2026-05-04 13:16:06.838728
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,5,2,Manimaran Siddharth,Heinrich Klaasen,no run,fraction short and on off; punched off the back-foot to cover,2026-05-04 13:16:06.838864
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,5,3,Manimaran Siddharth,Heinrich Klaasen,1 run,Siddharth tosses one just outside off - Klaasen stays back and punches it to long-off for a single,2026-05-04 13:16:06.838992
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,5,4,Manimaran Siddharth,Liam Livingstone,no run,Siddharth slides one around off; Livingstone gets half-forward as he defended,2026-05-04 13:16:06.839094
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,5,5,Manimaran Siddharth,Liam Livingstone,SIX,thumped; Livingstone has had enough of blocking; comes down the pitch; doesn't get very close to the ball and that allows him to free his arms - sends it high and deep into the stands at long-on,2026-05-04 13:16:06.839204
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,5,6,Manimaran Siddharth,Liam Livingstone,no run,pushed through by Siddharth; driven back at the bowler,2026-05-04 13:16:06.839308
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,6,1,Avesh Khan,Heinrich Klaasen,no run,short of a good length and just outside off - Klaasen plays close to his body and runs it to backward point,2026-05-04 13:16:06.839412
10_SHvsLSG,May 04,13:07:56,Rajiv Gandhi International Stadium,6,2,Avesh Khan,Heinrich Klaasen,1 run,banged in short and just outside off - Klaasen swivels across and pulls it through mid-wicket for a single,2026-05-04 13:16:06.839534
