match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,0,1,Khaleel Ahmed,Phil Salt,no run,fuller length delivery on off; Salt leans across and inside edge halves it to muid-on,2026-05-04 13:16:56.546271
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,0,2,Khaleel Ahmed,Phil Salt,no run,beaten; on a good length and shaping across the right-hander; Salt plays loosely and away from his body; beaten on the outside edge,2026-05-04 13:16:56.546613
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,0,3,Khaleel Ahmed,Phil Salt,3 runs,clattered; fuller length delivery and pushed across the right-hander; Salt's feet hardly moved as he threw the bat on the drive; sliced it high and over backward point. The ball plugs in front of the ropes and it's pulled back; saving a run,2026-05-04 13:16:56.546890
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,0,4,Khaleel Ahmed,Virat Kohli,no run,on a good length anbd just outside off - Kohli plays with soft hands and drops it wide of cover; he set-off for a quick single and has to hurry back,2026-05-04 13:16:56.547115
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,0,5,Khaleel Ahmed,Virat Kohli,2 runs,a leading edge and Kohli has enough to clear Dube at mid-on. Pitched up and slanting across the right-hander; Kohli was early into the wristy flick; closed the face of the bat and the ball popped up,2026-05-04 13:16:56.547392
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,0,6,Khaleel Ahmed,Virat Kohli,no run,beaten; fuller length delivery and shaping away from wide of off; draws Kohli into a loose drive and the swing takes it past the shot,2026-05-04 13:16:56.547595
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,1,1,Matt Henry,Phil Salt,1 run,on a good length and just outside off - dabbed onto the off-side where the fielder fumbles and allows a single,2026-05-04 13:16:56.547805
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,1,2,Matt Henry,Virat Kohli,1 run,short of a good length and angling across the right-hander; dabbed behind point where the fielder fumbles and allows a single,2026-05-04 13:16:56.548000
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,1,3,Matt Henry,Phil Salt,1 run,fuller length delivery outside off; Salt swipes across the line; gets a thick edge and the ball goes on the bounce to third man,2026-05-04 13:16:56.548189
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,1,4,Matt Henry,Virat Kohli,2 runs,nicely played; on a length and angling into the right-hander; Kohli lets the ball come and wristily flicks it over square leg. Noor runs to his left; slides and keeps them down to a couple,2026-05-04 13:16:56.548398
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,1,5,Matt Henry,Virat Kohli,1 run,on a good length and just outside off - Kohli charges dowan the pitch and mistimes the drive; to the left of mid-on for a run,2026-05-04 13:16:56.548586
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,1,6,Matt Henry,Phil Salt,no run,fuller length delivery outside off - drilled hard and straight to the fielder at mid-off,2026-05-04 13:16:56.548813
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,2,1,Khaleel Ahmed,Virat Kohli,1 run,short of a good length and just outside off - Kohli swivels across and drags it towards mid-wicket; off for a quick single,2026-05-04 13:16:56.549077
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,2,2,Khaleel Ahmed,Phil Salt,1 run,a thick edge; but the ball flies wide of backward point. On a length and pushed across the right-hander - Salt went hard and the bottom-hand came off on impact,2026-05-04 13:16:56.549283
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,2,3,Khaleel Ahmed,Virat Kohli,2 runs,a chance and Dube has let-off Virat Kohli; went very high and over mid-on; Dube seemed to have it covered as he ran back from mid-on; got to the ball and it then popped out of his grasp. On a good length and pushed across the right-hander; Kohli swung and got it right off the bottom of the bat,2026-05-04 13:16:56.549486
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,2,4,Khaleel Ahmed,Virat Kohli,leg byes,1 run; fuller length delivery and on the pads; Kohli was shaping to whip and missed; off the pad and rolled to the on-side,2026-05-04 13:16:56.549692
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,2,5,Khaleel Ahmed,Phil Salt,1 run,tad fuller and angling across the right-hander - Salt goes hard on the cross-batted swipe and mistimed it in front of mid-off; scrambles across for a quick single,2026-05-04 13:16:56.549886
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,2,6,Khaleel Ahmed,Virat Kohli,no run,fuller length delivery and angling across the right-hander - Kohli swings across the line and misses; bounces through to the keeper,2026-05-04 13:16:56.550075
11_RCBvsCSK,May 04,13:07:56,M.Chinnaswamy Stadium,3,1,Matt Henry,Phil Salt,1 run,another mistimed slog and the ball once again plugs in front of the ropes - fuller length delivery on off and Salt got under the length; a lot of height and not the distance. Bounces and stops in front of the rope and they get only a single,2026-05-04 13:16:56.550269
