match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
12_KKRvsPK,May 04,13:29:25,Eden Gardens,0,1,Arshdeep Singh,Ajinkya Rahane,1 run,soft LBW check but too optimistic from Arshdeep. Ball swung too much and was going down the leg-side. The ump wasn't interested. Rahane looked to flick this length delivery behind square and got hit on the pad,2026-05-04 13:29:44.238741
12_KKRvsPK,May 04,13:29:25,Eden Gardens,0,2,Arshdeep Singh,Finn Allen,1 run,that's a very good first ball to Finn Allen. Swung away and opened up the batter. Because it was only around 129kph; Allen could adjust and fend to cover with soft hands,2026-05-04 13:29:44.239034
12_KKRvsPK,May 04,13:29:25,Eden Gardens,0,3,Arshdeep Singh,Ajinkya Rahane,FOUR,that's guided and Jinks manages to guide it between slip and short third who is pretty fine as well. Let this full delivery come to bat; opened the face slightly to send it off the outer half of the bat and it raced away to the fence for the first boundary of the game,2026-05-04 13:29:44.239332
12_KKRvsPK,May 04,13:29:25,Eden Gardens,0,4,Arshdeep Singh,Ajinkya Rahane,1 run,swinging away outside off stump; Rahane dabs past point,2026-05-04 13:29:44.239629
12_KKRvsPK,May 04,13:29:25,Eden Gardens,0,5,Arshdeep Singh,Finn Allen,FOUR,hands on head for Arshdeep Singh as he targetting the inswinging leg stump yorker. Allen manages to dig it out off the inside edge and it goes between the legs to the fine leg fence. Went as a low full toss and Allen got lucky there,2026-05-04 13:29:44.239950
12_KKRvsPK,May 04,13:29:25,Eden Gardens,0,6,Arshdeep Singh,Finn Allen,1 run,full toss again; Allen mistimes the drive. Mid-off cuts it off to the left,2026-05-04 13:29:44.240249
12_KKRvsPK,May 04,13:29:25,Eden Gardens,1,1,Xavier Bartlett,Finn Allen,no run,very close to a nick. That swings away from the right-hander and beats the outside edge through to the keeper. Allen was looking to swing through the line over the in-field. Missed the edge by a whisker,2026-05-04 13:29:44.240487
12_KKRvsPK,May 04,13:29:25,Eden Gardens,1,2,Xavier Bartlett,Finn Allen,no run,comedy of errors! Firstly the batter moved a long way across to scoop; missed and the ball hit the body to float towards the keeper. Finn Allen thought he could sneak a bye without knowing where the ball was. Prabhsimran Singh ran forward and had a shy at the stumps but the bowler got in the way of the throw and it hit him,2026-05-04 13:29:44.240755
12_KKRvsPK,May 04,13:29:25,Eden Gardens,1,3,Xavier Bartlett,Finn Allen,no run,beaten! Swinging away outside off stump; Allen is struggling against the swinging ball it was bizarre to not see a slip first ball,2026-05-04 13:29:44.240989
12_KKRvsPK,May 04,13:29:25,Eden Gardens,1,4,Xavier Bartlett,Finn Allen,out Caught by Prabhsimran Singh!! Finds the edge this time and the struggle ends. All Xavier Bartlett was doing this entire over was bowl short of a length and take it away from Allen. The NZ batter only wanted to belt every ball down the ground. This time he tries to loft a fullish ball through the line,gets an outside edge and it goes straight to Prabhsimran Singh. Finn Allen c Prabhsimran Singh b Xavier Bartlett 6(7) [4s-1],2026-05-04 13:29:44.241218
