match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,0,1,Deepak Chahar,Yashasvi Jaiswal,FOUR,belted straightaway! Expectedly Deepak Chahar goes for the away-swinger to the LHB but he dropped it way too short so Jaiswal rocked back to smash the pull through mid-wicket,2026-05-04 13:30:23.180574
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,0,2,Deepak Chahar,Yashasvi Jaiswal,SIX,now he smacks it over the top. Deepak Chahar bowls fuller while trying to swing it away. Jaiswal clears the front leg out of the way and muscles it over mid-wicket for the first maximum of the day. DC straightaway asks the captain for a man at deep mid-wicket,2026-05-04 13:30:23.180849
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,0,3,Deepak Chahar,Yashasvi Jaiswal,FOUR,sliced away over point and this is a sensational start! Full and moving away; Jaiswal stayed leg-side of this ball to access the off-side. Man in the ring jumped but it was too high for a catch,2026-05-04 13:30:23.181036
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,0,4,Deepak Chahar,Yashasvi Jaiswal,no run,flicked and he finds the man at mid-wicket. Full and on the leg stump; Jaiswal mistimes the shot and finds the fielder,2026-05-04 13:30:23.181195
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,0,5,Deepak Chahar,Yashasvi Jaiswal,FOUR,it's a low full toss and these gifts will be accepted gleefully. Jaiswal says thank you very much and belts it over the top and hits it straight down the ground. Few bounces and into the fence,2026-05-04 13:30:23.181334
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,0,6,Deepak Chahar,Yashasvi Jaiswal,FOUR,that is a poor ball right in the slot; another gift and Jaiswal lines up for a big cover drive and picks the gap perfectly for four more. 22 runs off the first over,2026-05-04 13:30:23.181477
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,1,1,Jasprit Bumrah,Vaibhav Sooryavanshi,SIX,doesn't matter if you are Bumrah. If it's in the slot; I am whacking it into the stands. Bumrah misses the mark and offers slot; Vaibhav with his lovely backlift; flicks it with style over wide long-on and Jasprit Bumrah just smiles and walks back to his mark,2026-05-04 13:30:23.181613
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,1,2,Jasprit Bumrah,Vaibhav Sooryavanshi,1 run,slower delivery on the leg stump; Vaibhav flicks to mid-wicket,2026-05-04 13:30:23.181790
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,1,3,Jasprit Bumrah,Yashasvi Jaiswal,1 run,round the to Jaiswal; flicked through deep square leg,2026-05-04 13:30:23.181983
13_RRvsMI,May 04,13:29:25,Barsapara Cricket Stadium,1,4,Jasprit Bumrah,Vaibhav Sooryavanshi,SIX,the clarity he has at the crease is amazing to watch. Shortish slower delivery down the leg-side. Vaibhav rocks back and swivels while pulling this high and deep into the stands beyond backward square leg,2026-05-04 13:30:23.182119
