match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,0,1,Mukesh Kumar,Sai Sudharsan,FOUR,lovely; short of a good length and at the pads; Sai Sudharsan leans across; lets the ball come and then clips it past mid-wicket for a boundary,2026-05-04 13:31:14.588580
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,0,2,Mukesh Kumar,Sai Sudharsan,1 run,short of a good length and well wide of off; slapped away down to third man for a single,2026-05-04 13:31:14.588968
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,0,3,Mukesh Kumar,Shubman Gill,FOUR,beautifully played; short of a good length and just outside off - Gill stays on the back-foot and then powers the drive past backward point; races away to the square boundary,2026-05-04 13:31:14.589171
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,0,4,Mukesh Kumar,Shubman Gill,1 run,Mukesh shortens the length outside off - Gill stays on the back-foot and drops it wide of cover for a single,2026-05-04 13:31:14.589504
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,0,5,Mukesh Kumar,Sai Sudharsan,1 run,on a good length and just outside off - nudged off the back-foot past mid-wicket for a single,2026-05-04 13:31:14.589841
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,0,6,Mukesh Kumar,Shubman Gill,no run,short of a good length and at the stumps; a soft leading edge back at the bowler - 11 off the over,2026-05-04 13:31:14.590065
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,1,1,Lungi Ngidi,Sai Sudharsan,FOUR,creamed; overpitched and wide of off - Sudharsan leans across; lets the ball come and then caresses the drive past cover; runs away across the fast outfield,2026-05-04 13:31:14.590266
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,1,2,Lungi Ngidi,Sai Sudharsan,1 run,fuller length delivery on the pads; clipped into the gap past square leg for a single,2026-05-04 13:31:14.590466
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,1,3,Lungi Ngidi,Shubman Gill,no run,short of a good length and well wide of off; punched off the back-foot to cover,2026-05-04 13:31:14.590680
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,1,4,Lungi Ngidi,Shubman Gill,no run,tad fuller and just outside off; Gill presses across and checks the drive; back at the bowler,2026-05-04 13:31:14.590883
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,1,5,Lungi Ngidi,Shubman Gill,1 run,short of a length and angling into the right-hander; tucked off his body past square leg,2026-05-04 13:31:14.591070
14_DCvsGT,May 04,13:29:25,Arun Jaitley Stadium,1,6,Lungi Ngidi,Sai Sudharsan,1 run,the slower ball on off; Sudharsan drops it onto the on-side and is off for a quick single,2026-05-04 13:31:14.591259
