match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,0,1,Mohammed Shami,Ajinkya Rahane,1 run,138.4ks fuller and hint of away swing; Rahane stays rooted to the crease and opens the bat face; guides it down to third man and gets off the mark,2026-05-04 13:32:09.130129
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,0,2,Mohammed Shami,Finn Allen,no run,140.4ks shortens the length and swings away; Allen has a loose waft and is beaten on the outside-edge,2026-05-04 13:32:09.130440
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,0,3,Mohammed Shami,Finn Allen,no run,139.3ks fuller and shaping away; Allen's feet don't move and he looks to drive; again beaten on the outside-edge. Pant dives to his right to glove the ball. Plenty of swing for Shami..,2026-05-04 13:32:09.130749
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,0,4,Mohammed Shami,Finn Allen,no run,uhhh! Shami is swinging it both ways. This is the inswinger; Allen charges down and looks to loft through the line; the ball beats the inside-edge this time,2026-05-04 13:32:09.131027
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,0,5,Mohammed Shami,Finn Allen,1 run,140ks back of a length and swinging away; Allen aims to punch and gets a thick outside-edge to third man,2026-05-04 13:32:09.131269
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,0,6,Mohammed Shami,Ajinkya Rahane,FOUR,shot! 137ks full pitcher around off; right in the slot; and Rahane drives through the line. He hits it uppishly and evades the outstretched left hand of Shami,2026-05-04 13:32:09.131515
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,1,1,Prince Yadav,Finn Allen,wide,138ks delivery straying down leg; too far for Allen to connect with the glance and the ball keeps swirling as it goes behind; Pant moves across and gets into the tangle; manages to get a glove and stop,2026-05-04 13:32:09.131819
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,1,1,Prince Yadav,Finn Allen,FOUR,not convincing but Allen has his first boundary. 136.3ks back of a length angled in; Allen uses the angle and whips it backward of square. The ball races away..,2026-05-04 13:32:09.132095
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,1,2,Prince Yadav,Finn Allen,FOUR,back to back fours. Same region and again not off the middle. Fraction short around off; Allen drags it off the inner half and beats short fine to the left,2026-05-04 13:32:09.132366
15_KKRvsLSG,May 04,13:29:25,Eden Gardens,1,3,Prince Yadav,Finn Allen,no run,136.9ks low full toss on off; Allen drives and picks out extra cover,2026-05-04 13:32:09.132598
