match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,0,1,Jofra Archer,Phil Salt,out Caught by Dhruv Jurel!! What a start for RR. Jofra Archer is bang on with the length. Hits the deck hard and gets it at an awkward height for Salt,who gets tangled. Takes his eyes off and the ball takes the leading edge an pops straight to Jurel. Philip Salt couldn't avoid it as the line was right at his body. Has to make a long way back to the pavillion. Phil Salt c Dhruv Jurel b Jofra Archer 0(1),2026-05-04 13:32:58.678349
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,0,2,Jofra Archer,Devdutt Padikkal,no run,beats the outside edge. Length delivery angling away outside off; Padikkal plays away from his body and gets beaten,2026-05-04 13:32:58.678571
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,0,3,Jofra Archer,Devdutt Padikkal,FOUR,this was more of an edge. Opens the bat face and steers it wide of second slip. Was in the air and runs down to third man fence for four,2026-05-04 13:32:58.678790
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,0,4,Jofra Archer,Devdutt Padikkal,FOUR,this is convincing from Padikkal. Short of a length delivery outside off; Padikkal gets under the ball and cuts it over point. Few bounces and over the fence,2026-05-04 13:32:58.678990
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,0,5,Jofra Archer,Devdutt Padikkal,1 run,angled in at the pads; Padikkal gets across and tucks it down to fine leg for a run,2026-05-04 13:32:58.679189
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,0,6,Jofra Archer,Virat Kohli,FOUR,edged and flies past diving keeper. Was bowled at 144.3ks on a back of a length. Kohli pokes at it away from his body and the thick edge flies to the right of Jurel's reach. Not sure why Parag removed first slip. Would have gone straight to the slip fielder,2026-05-04 13:32:58.679388
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,1,1,Nandre Burger,Devdutt Padikkal,FOUR,Nandre Burger is greeted with a boundary. Just a fraction short and width on offer. Padikkal is in great form to miss out on that. Hops across and cuts it through point region,2026-05-04 13:32:58.679588
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,1,2,Nandre Burger,Devdutt Padikkal,1 run,angling in at the body; Padikkal shuffles and clips it to vacant mid-wicket region,2026-05-04 13:32:58.679895
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,1,3,Nandre Burger,Virat Kohli,no run,144.6ks length delivery that swings across Kohli. Beats the outside edge through to the keeper,2026-05-04 13:32:58.680093
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,1,4,Nandre Burger,Virat Kohli,FOUR,this is bread and butter for Kohli. On middle and Kohli whips it off his pads. Great use of wrists to pick the ball up towards fine leg fence,2026-05-04 13:32:58.680291
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,1,5,Nandre Burger,Virat Kohli,5 wides,poor from Burger. Sprayed down leg and the ball moves further down to make it hard for Jurel. Dives to his left; but can't stop cleanly,2026-05-04 13:32:58.680483
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,1,5,Nandre Burger,Virat Kohli,byes,FOUR; was there bat on that? The umpire signals byes. This cut Kohli in half. Shaped into the right-hander and goes through bat-pad gap. Flew past the off-stump and the keeper had no chance,2026-05-04 13:32:58.680686
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,1,6,Nandre Burger,Virat Kohli,1 run,good length delivery outside off; bunted towards cover for a quick single`,2026-05-04 13:32:58.680990
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,2,1,Jofra Archer,Virat Kohli,FOUR,gets it through. Smart from Virat. Waits for the ball and uses the pace to pick the gap behind square on the off-side. No third man and the ball runs away in a hurry despite a diving effort from backward point,2026-05-04 13:32:58.681189
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,2,2,Jofra Archer,Virat Kohli,no run,good length delivery on off; Kohli gets right behind the line and defends it back to Jofra Archer,2026-05-04 13:32:58.681384
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,2,3,Jofra Archer,Virat Kohli,FOUR,another edge and another boundary for RCB. Short on middle; Kohli looks to pull. The ball takes the inside edge and runs down fine. Beats fine leg comfortably for four,2026-05-04 13:32:58.681583
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,2,4,Jofra Archer,Virat Kohli,FOUR,repeat of the first ball. The class of Kohli on display. Sees the width and allows the ball to come to the bat. Guides it past short third man and collects four more,2026-05-04 13:32:58.681805
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,2,5,Jofra Archer,Virat Kohli,1 run,knocked to covers for a quick single to a length delivery outside off,2026-05-04 13:32:58.681995
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,2,6,Jofra Archer,Devdutt Padikkal,out Caught by Shimron Hetmyer!! It's high and it is taken brilliantly. Was in the air for a long long time,Shimron Hetmyer; runs to his right and has to dive forward to hang onto the catch as it was swirling in the air. Padikkal wasn't in a great position to hit this. The ball bounces tad extra and takes the leading edge of Padikkal; who looked to whip it on the on-side. Second wicket for Jofra Archer. Devdutt Padikkal c Shimron Hetmyer b Jofra Archer 14(7) [4s-3],2026-05-04 13:32:58.682200
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,3,1,Sandeep Sharma,Virat Kohli,1 run,pushed towards mid-on for a run,2026-05-04 13:32:58.682389
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,3,2,Sandeep Sharma,Rajat Patidar,no run,good length delivery on off; defended back to Sandeep,2026-05-04 13:32:58.682577
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,3,3,Sandeep Sharma,Rajat Patidar,no run,angled in on middle and leg; Patidar's bat turns as he tucks it to mid-wicket,2026-05-04 13:32:58.682776
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,3,4,Sandeep Sharma,Rajat Patidar,1 run,good length delivery on middle; bunted down to long-on,2026-05-04 13:32:58.682961
16_RRvsRCB,May 04,13:29:25,Barsapara Cricket Stadium,3,5,Sandeep Sharma,Virat Kohli,FOUR,inside out and over mid-off. Kohli makes room and hits it up and over. Wasn't an easy shot as the length was on the shortish side. Kohli still hits it with a straight bat,2026-05-04 13:32:58.683154
