match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,1,Arshdeep Singh,Abhishek Sharma,wide,starts with a wide down leg; Abhishek Sharma flicks and misses. No swing on that occasion,2026-05-04 13:33:48.608772
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,1,Arshdeep Singh,Abhishek Sharma,FOUR,outswinger from Arshdeep but it's short and wide. Abhishek Sharma pounces. The left-handed batter stays back; clears his front leg and flays it over the covers,2026-05-04 13:33:48.609690
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,2,Arshdeep Singh,Abhishek Sharma,1 run,full delivery that swings away a bit; Abhishek Sharma gets forward and pushes towards cover for a quick single,2026-05-04 13:33:48.610732
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,3,Arshdeep Singh,Travis Head,wide,132.3kph; fuller than a length; but the line is down leg,2026-05-04 13:33:48.611505
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,3,Arshdeep Singh,Travis Head,no run,132.7kph; Head moves leg-side and opens the bat-face to guide this length ball to the right of backward point. The fielder (Stoinis) makes a sliding stop and scores a direct-hit at the striker's end,2026-05-04 13:33:48.611795
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,4,Arshdeep Singh,Travis Head,no run,diving stop from Stoinis now. Pace off on a short of length; Head waits and cuts off the back foot. Backward point dives to his left to make a fine stop,2026-05-04 13:33:48.612037
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,5,Arshdeep Singh,Travis Head,no run,wobble seam on a length outside off; Head slashes and misses,2026-05-04 13:33:48.612187
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,6,Arshdeep Singh,Travis Head,2 runs,136.1kph; on a length and around off; Head stays leg-side and drives through backward point. The bottom hand comes off the handle but he gets off the mark with a couple of runs,2026-05-04 13:33:48.612462
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,1,Xavier Bartlett,Abhishek Sharma,FOUR,134.3kph; Xavier Bartlett greeted with a boundary. Pitched up delivery; no swing and gets punished. It's right in the slot for Abhishek Sharma who drills it between the bowler and the non-striker,2026-05-04 13:33:48.612808
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,2,Xavier Bartlett,Abhishek Sharma,byes,shortened length; pace off as well; Abhishek Sharma looks to heave across the line and is early into his shot. The ball goes under his blade; the keeper fails to stop it and the batters take a single via byes,2026-05-04 13:33:48.612970
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,3,Xavier Bartlett,Travis Head,1 run,131.3kph; good length delivery; no room on offer; Head stays back to scythes it to deep point,2026-05-04 13:33:48.613120
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,4,Xavier Bartlett,Abhishek Sharma,no run,126.1kph; slow; full and well outside off. Flirting with the tramline and Abhishek Sharma shoulders arms. Not wided,2026-05-04 13:33:48.613297
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,5,Xavier Bartlett,Abhishek Sharma,FOUR,just over mid-off! Slow; full and outside off; Abhishek Sharma walks across and swings hard to thump it over mid-off. Shreyas moves across and leaps to his left but it's out of his reach,2026-05-04 13:33:48.613587
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,6,Xavier Bartlett,Abhishek Sharma,1 run,134kph; back of a length; Abhishek Sharma heaves it to midwicket's right off the inner half of the bat where Arshdeep makes a diving stop,2026-05-04 13:33:48.614260
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,1,Arshdeep Singh,Abhishek Sharma,FOUR,stand and deliver! 134.5kph; dug in short outside off. Abhishek Sharma spots the length early. Stands tall; waits for it; fetches it from outside off and slams the pull over midwicket,2026-05-04 13:33:48.614571
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,2,Arshdeep Singh,Abhishek Sharma,FOUR,even better! Length ball outside off; Abhishek Sharma picks the change of pace and swings hard to smash it over mid-on. One bounce and into the fence. Arshdeep watches in disbelief,2026-05-04 13:33:48.615188
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,3,Arshdeep Singh,Abhishek Sharma,wide,Arshdeep tries to bowl outside the hitting arc of the batter. Errs with his line as bowls the outswinger well outside off. Left alone,2026-05-04 13:33:48.615461
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,3,Arshdeep Singh,Abhishek Sharma,no run,133.7kph; another outswinger outside off; this time Abhishek shuffles and shoulders arms and hence not wided,2026-05-04 13:33:48.615668
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,4,Arshdeep Singh,Abhishek Sharma,wide,Abhishek advances down the pitch and leaves it alone as the ball curls away outside off. Arshdeep isn't happy with the call and has a chat with the umpire as well,2026-05-04 13:33:48.615876
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,4,Arshdeep Singh,Abhishek Sharma,wide,third wide of the over. This is miles outside off as Arshdeep tries to bowl a slower one,2026-05-04 13:33:48.616075
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,4,Arshdeep Singh,Abhishek Sharma,wide,slower ball bouncer; Abhishek Sharma ignores it as it goes over his head. Another wide!,2026-05-04 13:33:48.616275
17_PKvsSH,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,4,Arshdeep Singh,Abhishek Sharma,SIX,shot of the day so far! 120kph; slower ball on a short of a good length. The line is straighter and Abhishek Sharma sees that coming. Solid base as he stands tall and then clobbers it downtown to hit the first six of the match,2026-05-04 13:33:48.616469
