match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,1,Mohammed Siraj,Aiden Markram,no run,solid start from Siraj. Markram gets behind the line to a back of a length and defends it to the off-side,2026-05-04 13:35:31.385802
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,2,Mohammed Siraj,Aiden Markram,no run,not much swing on offer. Siraj pushes the length tad fuller outside off. Markram pushes the drive towards mid-off,2026-05-04 13:35:31.385985
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,3,Mohammed Siraj,Aiden Markram,2 runs,first runs for Markram. Siraj goes too straight on a good length. Markram shuffles across and clips it to deep square leg. Prasidh runs across; slides and keeps it down to a brace,2026-05-04 13:35:31.386107
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,4,Mohammed Siraj,Aiden Markram,leg byes,1 run; Markram looks to whip it to the on-side. The ball misses the bat and is hit high on the back thigh. Rolls towards point for a leg-bye,2026-05-04 13:35:31.386224
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,5,Mohammed Siraj,Mitchell Marsh,1 run,Siraj attacks the stumps with a fuller length delivery on middle. Marsh tucks it to deep square leg. Single to get off the mark,2026-05-04 13:35:31.386345
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,6,Mohammed Siraj,Aiden Markram,no run,132.5ks peach of a delivery from Siraj to finish the over. Gets the ball to shape away just enough to beat the outside edge. Markram was looking to drive on the up; plays it away from his body and the ball misses the edge by a whisker,2026-05-04 13:35:31.386498
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,1,Kagiso Rabada,Mitchell Marsh,SIX,Rabada greeted with a top shot. Marsh just held his pose after thumping it to long-on. Was on a fullish length on middle; Marsh stands tall and goes through the line to pick up six,2026-05-04 13:35:31.386752
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,2,Kagiso Rabada,Mitchell Marsh,FOUR,streaky boundary for Marsh. Gets a thick inside edge that flies past the stumps and into the fence for four. Marsh has a big smile on his face,2026-05-04 13:35:31.386917
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,3,Kagiso Rabada,Mitchell Marsh,out Caught by Shubman Gill!! Rabada has the last laugh. Hits the deck on a good length outside off,Marsh was looking to go over the in-field. The ball stopped a fraction. Marsh's bat turns as he looks to go over mid-off. Gill the fielder; settles under the ball and takes it cleanly. LSG lose their first wicket. Mitchell Marsh c Shubman Gill b Kagiso Rabada 11(4) [4s-1 6s-1],2026-05-04 13:35:31.387066
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,4,Kagiso Rabada,Rishabh Pant,FOUR,what a way to open the account. Skips down the track and smokes it over mid-off. Was a tad fuller from Rabada; which made it easy for Pant to pick the length. Pant is up and running,2026-05-04 13:35:31.387214
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,5,Kagiso Rabada,Rishabh Pant,1 run,Pant slashes past backward point. Gets across for a single,2026-05-04 13:35:31.387353
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,6,Kagiso Rabada,Aiden Markram,FOUR,too straight from Rabada. Markram gets inside the line and uses the pace of the ball to flick it fine. Rabada goes for 19 in his first over; but gets the big wicket of Marsh,2026-05-04 13:35:31.387491
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,1,Mohammed Siraj,Rishabh Pant,FOUR,beautiful from Pant. Half-volley outside off; Pant leans on the front foot and creams the drive through covers. All along the carpet for four,2026-05-04 13:35:31.387691
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,2,Mohammed Siraj,Rishabh Pant,no run,Pant tries to be cheeky. Siraj sees it and follows him with a good length delivery outside off. Pant loses balance and fails to get bat on ball. The ball rolls to the on-side off the thigh pad,2026-05-04 13:35:31.387957
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,3,Mohammed Siraj,Rishabh Pant,1 run,good length delivery outside off; Pant taps it to the off-side and picks a run,2026-05-04 13:35:31.388223
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,4,Mohammed Siraj,Aiden Markram,1 run,back of a length delivery on middle; bunted down to long-on,2026-05-04 13:35:31.388499
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,5,Mohammed Siraj,Rishabh Pant,no run,short delivery angling across Pant. He was looking to pull initially; but pulls out of the shot at the last minute. The ball rolls back to Siraj off the inside edge,2026-05-04 13:35:31.388780
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,6,Mohammed Siraj,Rishabh Pant,1 run,another short delivery from Siraj. Pant gets on top of the bounce and rolls his wrists to keep the pull down. Short fine leg fielder has a shy at the non-striker's end. He misses and Pant makes it to the other end in time,2026-05-04 13:35:31.389110
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,1,Kagiso Rabada,Rishabh Pant,no run,back of a length delivery on the pads; Pant looks to hoick it to the on-side. Misses and is hit on the thigh pad,2026-05-04 13:35:31.389566
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,2,Kagiso Rabada,Rishabh Pant,SIX,that's hit flat and hard. A harmless short delivery from Rabada. Pant sits on the back foot and smokes the pull over deep mid-wicket,2026-05-04 13:35:31.390090
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,3,Kagiso Rabada,Rishabh Pant,1 run,now looks to slog the length delivery. Gets a thick inside edge to the on-side,2026-05-04 13:35:31.390230
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,4,Kagiso Rabada,Aiden Markram,FOUR,full and on the pads. Lovely pick up shot from Markram. Looked so good and easy. His head was the key; kept it so still at the point of contact. Few bounces and over mid-wicket fence,2026-05-04 13:35:31.390903
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,5,Kagiso Rabada,Aiden Markram,no run,attempts the flick again and misses. Was on the pads on a good length,2026-05-04 13:35:31.391213
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,6,Kagiso Rabada,Aiden Markram,FOUR,through the on-side. Rabada is leaking runs. Too straight and is picked up from Markram yet again. This time it was more of the inside half of the bat; but the result is the same. Races away towards deep square leg fence,2026-05-04 13:35:31.391602
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,4,1,Mohammed Siraj,Rishabh Pant,out Caught by Rahul Tewatia!! Pant's short stay ends as he tries to loft one on the off-side. The length wasn't there,yet Pant tries to go over the top. He ends up miscuing terribly. The ball swirls towards cover region and Tewatia the man; settles under it and takes a well judged catch to his left. Gill persisted with Siraj for the third over and he has given them the much needed breakthrough. Rishabh Pant c Rahul Tewatia b Mohammed Siraj 18(11) [4s-2 6s-1],2026-05-04 13:35:31.392029
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,4,2,Mohammed Siraj,Ayush Badoni,leg byes 1 run,good length delivery on middle; Badoni misses the tuck and the ball rolls to the on-side,2026-05-04 13:35:31.392367
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,4,3,Mohammed Siraj,Aiden Markram,no run,good length delivery on off and middle; Markram mistimes the tuck to the on-side,2026-05-04 13:35:31.392580
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,4,4,Mohammed Siraj,Aiden Markram,1 run,another good length delivery outside off; Markram knocks it in front of mid-off for a quick single,2026-05-04 13:35:31.392908
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,4,5,Mohammed Siraj,Ayush Badoni,no run,good length delivery on middle; defended back to Siraj,2026-05-04 13:35:31.393096
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,4,6,Mohammed Siraj,Ayush Badoni,wide,banged in short above the head. Badoni goes for the pull and misses. Called wide. Siraj wanted to review; but Gill decides against it,2026-05-04 13:35:31.393284
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,4,6,Mohammed Siraj,Ayush Badoni,no run,toush shorter outside off; Badoni cuts it late to backward point,2026-05-04 13:35:31.393477
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,5,1,Ashok Sharma,Aiden Markram,no run,back of a length delivery outside off; Markram stands tall and punches it to the off-side,2026-05-04 13:35:31.393724
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,5,2,Ashok Sharma,Aiden Markram,SIX,in the slot and pays the price. Markram presents the full face of the bat and nails it over long-on. Held the pose after hitting as Markram enjoys the shot,2026-05-04 13:35:31.393857
19_LSGvsGT,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,5,3,Ashok Sharma,Aiden Markram,no run,Markram opens the bat face and cuts it to the off-side,2026-05-04 13:35:31.393969
