match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,0,1,Trent Boult,Phil Salt,1 run,a direct hit at the bowler's end; but Salt was scrambling and he beats the throw with ease; was the inswinger and he pushed it in front of mid-on,2026-05-04 13:36:23.144744
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,0,2,Trent Boult,Virat Kohli,no run,half-a-shout for LBW; but the ball was swinging and would've probably swung down leg; looked high as well. Nipped back in and Virat Kohli played all around the line,2026-05-04 13:36:23.145215
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,0,3,Trent Boult,Virat Kohli,SIX,beautifully played; the magical wrists of Kohli in play here - the inswinger and he spotted it early; leans across and the whips it over square leg; sails over the ropes for the first six of the night,2026-05-04 13:36:23.146159
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,0,4,Trent Boult,Virat Kohli,1 run,Boult keeps it full and at the stumps - Kohli comes down the pitch and drags a thick inside edge; behind square on the on-side for a single,2026-05-04 13:36:23.146557
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,0,5,Trent Boult,Phil Salt,FOUR,clattered; short of a good length and just outside off - Salt backs away; opens up the off-side and then hammers the cut past cover,2026-05-04 13:36:23.147250
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,0,6,Trent Boult,Phil Salt,1 run,Boult shortens the length outside off - tad too close and Salt chops it to the left of cover-point for a single,2026-05-04 13:36:23.148194
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,1,1,Hardik Pandya,Phil Salt,no run,short of a good length and well wide of off; Salt is early into the pull and toe-ends it to mid-off,2026-05-04 13:36:23.149959
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,1,2,Hardik Pandya,Phil Salt,2 runs,uppish and safe; fuller length delivery on off - Salt shuffled across and then chipped it in the air; in the gap wide of mid-on ad he's back for the second,2026-05-04 13:36:23.150291
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,1,3,Hardik Pandya,Phil Salt,FOUR,drilled; too full and too wide from Hardik; Salt leans across into the drive and finds the gap wide of cover; runs away to the ropes in a hurry,2026-05-04 13:36:23.150593
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,1,4,Hardik Pandya,Phil Salt,wide,full and down leg; past Salt's whip and it's called as a wide,2026-05-04 13:36:23.150996
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,1,4,Hardik Pandya,Phil Salt,1 run,on a good length and just outside off - Salt presses across and pokes it to the left of cover; off for a quick single,2026-05-04 13:36:23.151311
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,1,5,Hardik Pandya,Virat Kohli,no run,tad fuller and wider of off; Kohli lunges forward and plays the push-drive to mid-off,2026-05-04 13:36:23.151614
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,1,6,Hardik Pandya,Virat Kohli,1 run,Hardik drags the length back as Kohli came down the pitch; dropped wide of cover-point for a single,2026-05-04 13:36:23.151811
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,2,1,Trent Boult,Virat Kohli,FOUR,thumped; Kohli comes down the pitch; makes room and then lifts it effortlessly over mid-off - almost went all the way; bouncing right in front of the ropes,2026-05-04 13:36:23.152051
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,2,2,Trent Boult,Virat Kohli,1 run,Boult shortens the length around off; Kohli makes room and stabs it to the off-side for a single,2026-05-04 13:36:23.152265
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,2,3,Trent Boult,Phil Salt,no run,short of a length and at the stumps - Salt shuffles across on the pull and is struck high on the thigh-pad,2026-05-04 13:36:23.152499
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,2,4,Trent Boult,Phil Salt,SIX,smashed; back of a length and at the stumps - Salt picks the length early; swivels across and then hammers the pull over square leg for a maximum,2026-05-04 13:36:23.152690
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,2,5,Trent Boult,Phil Salt,no run,low full-toss outside off - Salt went hard on the slog and dragged a thick inside edge to mid-wicket,2026-05-04 13:36:23.152882
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,2,6,Trent Boult,Phil Salt,no run,the bouncer from Boult; high and past Salt's pull; through to the keeper. He's looking for a wide; but it's deemed as a fair delivery,2026-05-04 13:36:23.153013
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,3,1,Jasprit Bumrah,Virat Kohli,no run,full-toss from Bumrah as he saw Kohli coming down the pitch; past the whip and strikes him high on the pad,2026-05-04 13:36:23.153140
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,3,2,Jasprit Bumrah,Virat Kohli,FOUR,top-edge and four; the slower short ball from Bumrah - Kohli waits and waits; then goes hard on the cut; gets a fat top-edge that flies over Boult at short third,2026-05-04 13:36:23.153282
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,3,3,Jasprit Bumrah,Virat Kohli,1 run,a big shout for LBW; but this was heading down leg; fuller length delivery on the pads and Kohli was beaten on the flick; came off the inside edge before crashing into the pad,2026-05-04 13:36:23.153548
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,3,4,Jasprit Bumrah,Phil Salt,2 runs,another slower short ball outside off - Salt gets on top of the bounce and then swats it wide of mid-wicket; back for the second,2026-05-04 13:36:23.153802
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,3,5,Jasprit Bumrah,Phil Salt,1 run,yorker length delivery on middle and leg; squeezed in front of mid-on for a quick single,2026-05-04 13:36:23.154000
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,3,6,Jasprit Bumrah,Virat Kohli,2 runs,yorker length delivery outside the leg-stump - Kohli plays with an open face and slices it to backward point's right; a slight misfield and they're back for the second,2026-05-04 13:36:23.154276
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,4,1,Mitchell Santner,Phil Salt,SIX,clubbed; dragged short by Santner; down leg and Salt rocks back on the pull; gets enough for the ball to fall over the ropes,2026-05-04 13:36:23.154574
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,4,2,Mitchell Santner,Phil Salt,SIX,massive; tad too full now - Salt gets his left leg out of the way and then swipes it high and over wide long-on; went deep into the 2nd tier for a 89m hit,2026-05-04 13:36:23.154897
20_MIvsRCB,May 04,13:29:25,Wankhede Stadium,4,3,Mitchell Santner,Phil Salt,SIX,make it three in a row; Santner drags the length back; but it sits up for the right-hander - Salt spots the length; rocks back and hammers it over square leg for a maximum,2026-05-04 13:36:23.155197
