match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,0,1,Jofra Archer,Abhishek Sharma,out Caught by Ravi Bishnoi!! This has been the problem with Abhishek Sharma in recent times. He has been throwing his wicket away in his quest to get going on the first ball. Advances down the wicket to have a go at Jofra Archer and slashes away from his body against this short ball. A thick top edge is induced towards third man and Bishnoi in the deep completes a safe catch. Not a great start for Sunrisers who have lost a wicket off the first ball. That's the sixth wicket of the season for Archer. Does the job again for the Rajasthan Royals. Abhishek Sharma c Ravi Bishnoi b Jofra Archer 0(1),out Caught by Ravi Bishnoi!! This has been the problem with Abhishek Sharma in recent times. He has been throwing his wicket away in his quest to get going on the first ball. Advances down the wicket to have a go at Jofra Archer and slashes away from his body against this short ball. A thick top edge is induced towards third man and Bishnoi in the deep completes a safe catch. Not a great start for Sunrisers who have lost a wicket off the first ball. That's the sixth wicket of the season for Archer. Does the job again for the Rajasthan Royals. Abhishek Sharma c Ravi Bishnoi b Jofra Archer 0(1),2026-05-04 13:37:14.672986
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,0,2,Jofra Archer,Ishan Kishan,no run,back of a length outside off; shaping away from the batter; Ishan Kishan has a look and lets it through to the keeper,2026-05-04 13:37:14.673118
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,0,3,Jofra Archer,Ishan Kishan,no run,defended into the off-side by Ishan Kishan,2026-05-04 13:37:14.673229
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,0,4,Jofra Archer,Ishan Kishan,2 runs,drifting on the pads; Ishan Kishan flicks this over mid-wicket for a couple of runs. That was in the air for a while; but landed beyond the circle,2026-05-04 13:37:14.673335
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,0,5,Jofra Archer,Ishan Kishan,no run,short and quick outside off; some extra pace and bounce as it was bowled at 146 clicks; Ishan Kishan gets surprised due to the pace and bounce; gets it off the splice of his at towards point,2026-05-04 13:37:14.673461
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,0,6,Jofra Archer,Ishan Kishan,no run,good length delivery around off; Ishan Kishan knocks it into the off-side from within the crease. A superb over by Jofra Archer who concedes only a couple of runs in his opening over; apart from Sharma's wicket on the first ball,2026-05-04 13:37:14.673629
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,1,1,Nandre Burger,Travis Head,no run,short and quick on leg; some nice pace and bounce; Travis Head looks to tuck it away; it clips his thigh pad and rolls towards the on-side. Kishan wanted a single; but was sent back by Head,2026-05-04 13:37:14.673774
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,1,2,Nandre Burger,Travis Head,no run,fraction short around off; Travis Head taps it into the off-side,2026-05-04 13:37:14.673879
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,1,3,Nandre Burger,Travis Head,no run,short and quick around middle and leg; shapes back in sharply; Travis Head has a swing and a miss,2026-05-04 13:37:14.674013
21_SHvsRR,May 04,13:29:25,Rajiv Gandhi International Stadium,1,4,Nandre Burger,Travis Head,FOUR,good shot! Back of a length delivery around off; Travis Head makes room and smashes it over covers to open his account,2026-05-04 13:37:14.674163
