match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,0,1,Vaibhav Arora,Sanju Samson,FOUR,runs straightaway for Sanju. Lovely touch. Gets the width outside off; Samson hangs on the back foot and guides it wide of backward point. There is no protection in the deep and Sanju gets his first boundary,2026-05-04 13:38:06.849995
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,0,2,Vaibhav Arora,Sanju Samson,FOUR,there you go. Sanju gets going with back-to-back boundaries. Poor delivery from Vaibhav Arora. Short and wide outside off. Samson rocks on the back foot and cuts it through point. Raced away,2026-05-04 13:38:06.850234
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,0,3,Vaibhav Arora,Sanju Samson,FOUR,make that hat-trick of fours. Not the way Samson would like; but he will still take it. This one bounced a tad extra outside off. Samson gets a thick edge that flies over the slip. Couple of bounces and into the third man fence,2026-05-04 13:38:06.850438
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,0,4,Vaibhav Arora,Sanju Samson,1 run,good length delivery outside off; Samson taps it to deep point and gets to the other end,2026-05-04 13:38:06.850632
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,0,5,Vaibhav Arora,Ruturaj Gaikwad,1 run,not much swing on offer for the pacer. Vaibhav Arora hits the good length outside off; Gaikwad drops it to point and gets off the mark with a single,2026-05-04 13:38:06.850950
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,0,6,Vaibhav Arora,Sanju Samson,no run,in the channel outside off; Samson gets behind the line of the ball and defends it to mid-off,2026-05-04 13:38:06.851169
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,1,1,Cameron Green,Ruturaj Gaikwad,2 wides,sprayed well down leg. The keeper can't hang onto the ball despite the dive to his left. Batters cross over for an extra run,2026-05-04 13:38:06.851369
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,1,1,Cameron Green,Sanju Samson,1 run,fullish in length outside off; Samson square drives it to deep point,2026-05-04 13:38:06.851562
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,1,2,Cameron Green,Ruturaj Gaikwad,FOUR,edged and just past Varun at short third man. Hint of shape away from the right-hander. Gaikwad reaches out for the ball and gets a thick edge on the drive. Flies to the left of diving fielder,2026-05-04 13:38:06.851782
22_CSKvsKKR,May 04,13:29:25,MA Chidambaram Stadium,1,3,Cameron Green,Ruturaj Gaikwad,1 run,half-volley outside off; driven down to mid-off. The fielder dives to his right and keeps it down to a single,2026-05-04 13:38:06.851971
