match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,0,1,Bhuvneshwar Kumar,Mitchell Marsh,no run,length outside off and hint of away movement; Marsh hangs back and plays it to the off side,2026-05-04 13:38:58.471622
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,0,2,Bhuvneshwar Kumar,Mitchell Marsh,FOUR,oh outside edge and it has flown past the diving Padikkal at wide-ish first slip. On a length and moving away; Marsh plays away from the body and edges it. Gets off the mark with a streaky boundary,2026-05-04 13:38:58.471874
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,0,3,Bhuvneshwar Kumar,Mitchell Marsh,2 runs,on a good length outside off; Marsh punched past cover to sweeper cover for a couple,2026-05-04 13:38:58.472160
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,0,4,Bhuvneshwar Kumar,Mitchell Marsh,1 run,full and angling in; Marsh walks across and pushes it to mid-wicket,2026-05-04 13:38:58.472407
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,0,5,Bhuvneshwar Kumar,Aiden Markram,1 run,full and outside off; Markram drives it to sweeper cover,2026-05-04 13:38:58.472678
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,0,6,Bhuvneshwar Kumar,Mitchell Marsh,1 run,there's protection in the deep for Bhuvneshwar Kumar. Overpitched and outside off; Marsh creams it to sweeper cover; just a single,2026-05-04 13:38:58.472954
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,1,1,Josh Hazlewood,Mitchell Marsh,no run,he beats him first ball; back of a length and shaping away outside off; he's getting some good bounce here; Marsh is beaten all ends up,2026-05-04 13:38:58.473117
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,1,2,Josh Hazlewood,Mitchell Marsh,1 run,straying on the pads; Marsh works it away to deep square leg,2026-05-04 13:38:58.473262
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,1,3,Josh Hazlewood,Aiden Markram,1 run,right on the money; back of a length and around off stump; Markram taps it to gully,2026-05-04 13:38:58.473401
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,1,4,Josh Hazlewood,Mitchell Marsh,1 run,swinging into the pads; Marsh works it to mid-wicket; quiet over so far,2026-05-04 13:38:58.473595
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,1,5,Josh Hazlewood,Aiden Markram,1 run,slightly short and outside off; Markram punches it square of the wicket,2026-05-04 13:38:58.473817
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,1,6,Josh Hazlewood,Mitchell Marsh,1 run,he's found the outside edge again; in the channel just outside off; Marsh is squared up and the outside edge just falls short of short third man; Markram calls for a quick single and they make it comfortably in the end,2026-05-04 13:38:58.474013
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,2,1,Bhuvneshwar Kumar,Mitchell Marsh,no run,back of a length and outside off; Marsh walks down the track and defends it to covers,2026-05-04 13:38:58.474206
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,2,2,Bhuvneshwar Kumar,Mitchell Marsh,no run,on a length and angling in; no room for Marsh and he pushes it back to the bowler,2026-05-04 13:38:58.474403
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,2,3,Bhuvneshwar Kumar,Mitchell Marsh,1 run,angling into the pads; Marsh tucks it away to mid-wicket; this is a good start from the RCB bowlers,2026-05-04 13:38:58.474593
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,2,4,Bhuvneshwar Kumar,Aiden Markram,1 run,full blooded drive and Bhuvi has hurt himself as he bent low to stop that; full and on outside off; Markram drilled it down on the track and Bhuvi got some hand to it,2026-05-04 13:38:58.474823
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,2,5,Bhuvneshwar Kumar,Mitchell Marsh,no run,back of a length and around off stump; no width; Marsh defends it to the off side,2026-05-04 13:38:58.475021
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,2,6,Bhuvneshwar Kumar,Mitchell Marsh,SIX,that's on the roof; monster hit from Marsh; knuckle ball from Bhuvi; short and Marsh had enough time in the world to hang back and launch it over deep mid-wicket; replacement ball is on the way. A 102m hit,2026-05-04 13:38:58.475229
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,3,1,Rasikh Salam Dar,Aiden Markram,1 run,back of a length and angling in; Markram is standing way outside the crease and pushes it to mid-off,2026-05-04 13:38:58.475423
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,3,2,Rasikh Salam Dar,Mitchell Marsh,1 run,in the channel just outside off; Marsh taps it to cover,2026-05-04 13:38:58.475614
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,3,3,Rasikh Salam Dar,Aiden Markram,SIX,straight back past long on; on a length and angling in; Markram just picks it and launches it through the line over long-on,2026-05-04 13:38:58.475834
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,3,4,Rasikh Salam Dar,Aiden Markram,1 run,angling in from outside off; Markram pushes it to mid-on,2026-05-04 13:38:58.476049
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,3,5,Rasikh Salam Dar,Mitchell Marsh,1 run,slower off cutter; Marsh didn't pick it and the ball goes off the inside half of the bat to mid-wicket,2026-05-04 13:38:58.477328
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,3,6,Rasikh Salam Dar,Aiden Markram,out Caught by Devdutt Padikkal!! What a way to get out,it was a full-toss outside leg stump; Markram was looking to flick it through the leg side; but the bat face closed and he ended up getting a leading edge to cover; Dar strikes in his first over. Aiden Markram c Devdutt Padikkal b Rasikh Salam Dar 12(8) [6s-1],2026-05-04 13:38:58.478107
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,4,1,Josh Hazlewood,Mitchell Marsh,1 run,this one hurried onto him; back of a length and angling in; Marsh was shaping in for the pull; but the ball goes off the inside edge to square leg,2026-05-04 13:38:58.478783
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,4,2,Josh Hazlewood,Rishabh Pant,no run,he goes for the wild slog and misses it completely; another pacy delivery just outside off; Pant was bit late into the shot,2026-05-04 13:38:58.478993
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,4,3,Josh Hazlewood,Rishabh Pant,no run,once again goes for the across the line shot and he's taken a blow on the body; banged in short and on the stump; Pant was beaten by the extra pace,2026-05-04 13:38:58.479194
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,4,4,Josh Hazlewood,Rishabh Pant,no run,short and outside off; Pant goes for the wild heave across the line and the ball goes off the inside edge towards the keeper; he's not able to connect anything here. In fact; replays show that it hit the left elbow,2026-05-04 13:38:58.479389
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,4,5,Josh Hazlewood,Nicholas Pooran,no run,on an length and angling across the left hander; perfect test match length; Pooran defends it off the front foot,2026-05-04 13:38:58.479577
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,4,6,Josh Hazlewood,Nicholas Pooran,no run,in the channel just outside off; teasing line; Pooran leaves it alone at the last minute; this is excellent from Hazlewood; giving nothing away,2026-05-04 13:38:58.479783
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,5,1,Rasikh Salam Dar,Mitchell Marsh,no run,back of a length and slower outside off; Marsh is struggling to pick it as he punches it straight to the fielder at cover,2026-05-04 13:38:58.479973
23_RCBvsLSG,May 04,13:29:25,M.Chinnaswamy Stadium,5,2,Rasikh Salam Dar,Mitchell Marsh,1 run,full and tailing in; Marsh drives it down to long-off,2026-05-04 13:38:58.480161
