match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,0,1,Arshdeep Singh,Ryan Rickelton,no run,swing on offer for Arshdeep. Shapes away past the poke from Rickelton. Just away from the outside edge through to the keeper,2026-05-04 13:39:46.869234
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,0,2,Arshdeep Singh,Ryan Rickelton,no run,outswinger outside off; Rickelton waits for the ball and plays it late. Dabs it down to short third man,2026-05-04 13:39:46.869519
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,0,3,Arshdeep Singh,Ryan Rickelton,no run,peach of a delivery from Arshdeep. The seam presentation was so good. Swings away and beats the outside edge of Rickelton; who looks to defend on the front foot,2026-05-04 13:39:46.869880
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,0,4,Arshdeep Singh,Ryan Rickelton,no run,make that another play and miss. Rickelton goes for the drive; the ball swings further away from outside off and makes it hard to get bat on ball. Past the outside edge for the third time this over,2026-05-04 13:39:46.870146
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,0,5,Arshdeep Singh,Ryan Rickelton,no run,finally Rickelton gets good amount of bat on ball. Presses forward and defends it to cover,2026-05-04 13:39:46.870402
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,0,6,Arshdeep Singh,Ryan Rickelton,1 run,excellent first over from Arshdeep. Rickelton stays inside the line of the ball and steers it down to third man for a single. Gets off the mark,2026-05-04 13:39:46.870676
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,1,1,Marco Jansen,Ryan Rickelton,1 run,just a hint of swing from Jansen. Rickelton drops it in front of mid-off for a quick single,2026-05-04 13:39:46.870874
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,1,2,Marco Jansen,Quinton de Kock,SIX,what a way to get off the mark from QDK. Reaches out for the wide delivery outside off and goes through the line. Pumps it over cover and it goes all the way,2026-05-04 13:39:46.871067
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,1,3,Marco Jansen,Quinton de Kock,leg byes,FOUR; more runs. Sprayed down the line. Quinton de Kock misses the tuck and the ball clips the pad and runs down to fine leg fence for four leg-byes,2026-05-04 13:39:46.871261
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,1,4,Marco Jansen,Quinton de Kock,no run,good length delivery on middle and off. Defended solidly off the front foot,2026-05-04 13:39:46.871448
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,1,5,Marco Jansen,Quinton de Kock,no run,excellent delivery from Jansen. Hits the turf and nips back in sharply to beat the inside edge of the bat. Goes through bat-pad gap and flies over the stumps,2026-05-04 13:39:46.871638
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,1,6,Marco Jansen,Quinton de Kock,no run,good length delivery outside off; Quinton de Kock chops the cut to gully,2026-05-04 13:39:46.871855
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,2,1,Arshdeep Singh,Ryan Rickelton,out Caught by Shashank Singh!! 100 wickets for Arshdeep Singh in IPL. Arshdeep has a big smile on his face,he knows this wasn't a great delivery. Sprayed down the leg; Rickelton picks it up off this pads and hits it straight to Shashank Singh at deep square leg. Taken just inside the boundary ropes above his head. Rickelton struck that well but found Shashank perfectly. Ryan Rickelton c Shashank Singh b Arshdeep Singh 2(8),2026-05-04 13:39:46.872063
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,2,2,Arshdeep Singh,Suryakumar Yadav,out Caught by Yuzvendra Chahal!! Two in two. Arshdeep Singh is on a roll. Arshdeep gets the ball to shape away from the right-hander. Suryakumar Yadav goes for the drive straightaway. The swing takes the outside edge and flies to short third man. Chahal the fielder,moves to his left and takes a sharp catch. Punjab fans are dancing in the crowd. Hat-trick ball coming up for Arshdeep Singh. Suryakumar Yadav c Yuzvendra Chahal b Arshdeep Singh 0(1),2026-05-04 13:39:46.872265
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,2,3,Arshdeep Singh,Naman Dhir,no run,attacks the stumps with a length delivery on middle. Naman Dhir tucks it to mid-wicket,2026-05-04 13:39:46.872427
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,2,4,Arshdeep Singh,Naman Dhir,2 runs,Naman Dhir pushes the length delivery outside off to backward point,2026-05-04 13:39:46.872627
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,2,5,Arshdeep Singh,Naman Dhir,no run,good length delivery outside off; Naman Dhir leans on the front foot and drives it to cover,2026-05-04 13:39:46.872948
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,2,6,Arshdeep Singh,Naman Dhir,1 run,hint of shape into the right-hander. Naman Dhir tucks it to mid-wicket and sprints for a quick single. Had to put in a dive to make it to the other end as the throw came in at the bowler's end. Connolly is the fielder; he misses the direct-hit and Naman Dhir makes his ground. Would have been tight had he hit,2026-05-04 13:39:46.873135
24_MIvsPK,May 04,13:29:25,Wankhede Stadium,3,1,Xavier Bartlett,Naman Dhir,no run,Xavier Bartlett starts with a yorker. Naman Dhir digs it out to mid-on,2026-05-04 13:39:46.873261
