match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,0,1,Mohammed Siraj,Tim Seifert,no run,starts off with a good length delivery around off; Tim Seifert knocks it into the off-side,2026-05-04 13:40:38.291031
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,0,2,Mohammed Siraj,Tim Seifert,FOUR,short and wide outside off; Tim Seifert throws the hands at it; slapping it through covers to get going with a boundary. That's a good start to Tim Seifert's IPL 2026 campaign,2026-05-04 13:40:38.291289
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,0,3,Mohammed Siraj,Tim Seifert,1 run,pitched up by the bowler outside off; driven to wide mid-off for a single,2026-05-04 13:40:38.291491
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,0,4,Mohammed Siraj,Ajinkya Rahane,out Caught by Kagiso Rabada!! Ajinkya Rahane is gone for a golden duck! Mohammed Siraj goes full outside off,the ball swings away slightly and Ajinkya Rahane looks to heave across the line. Miscues it completely as he fails to get the timing right. The ball skies up in the air towards long-on; where Rabada completes a safe catch. The KKR captain departs without troubling the scorers. That's a perfect start for the Gujarat Titans. Ajinkya Rahane c Kagiso Rabada b Mohammed Siraj 0(1),2026-05-04 13:40:38.291713
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,0,5,Mohammed Siraj,Angkrish Raghuvanshi,no run,pitched up by the bowler outside off; shaping away from the batter; left alone,2026-05-04 13:40:38.291905
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,0,6,Mohammed Siraj,Angkrish Raghuvanshi,FOUR,Angkrish Raghuvanshi is off the mark with a boundary as well. Fraction short outside off; Angkrish Raghuvanshi cuts it towards backward point on the bounce. Tewatia stationed there tries to grab it; but the ball flicks his fingers are races away to the fence. Looks like he has injured himself in his quest to grab that; he walks off the field along with the physio,2026-05-04 13:40:38.292108
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,1,1,Kagiso Rabada,Tim Seifert,no run,ouch! Kagiso Rabada starts off with a short ball and Tim Seifert looks to fend it; ends up getting hit the body. Shows no signs off pain though,2026-05-04 13:40:38.292308
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,1,2,Kagiso Rabada,Tim Seifert,no run,short and wide outside off; shaping away from the batter; Tim Seifert throws his hands at it; doesn't middle it though,2026-05-04 13:40:38.292498
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,1,3,Kagiso Rabada,Tim Seifert,SIX,short and punished! Picks the length early; rocks back and pulls it over deep mid-wicket for a towering six. That's the first maximum of the evening,2026-05-04 13:40:38.292702
25_GTvsKKR,May 04,13:29:25,Narendra Modi Stadium,1,4,Kagiso Rabada,Tim Seifert,1 run,drifting on the pads; Tim Seifert clips it towards mid-wicket for a single,2026-05-04 13:40:38.292891
