match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,0,1,Auqib Nabi,Phil Salt,1 run,131.9kph; hint of outswing; Salt drives hard through point to get off the mark,2026-05-04 13:41:34.640536
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,0,2,Auqib Nabi,Virat Kohli,wide,130.3kph; short of length shaping down leg; Kohli flicks and misses,2026-05-04 13:41:34.641673
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,0,2,Auqib Nabi,Virat Kohli,1 run,127.7kph; back of a length; nudged to square leg and Kohli opens his account with a single,2026-05-04 13:41:34.642136
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,0,3,Auqib Nabi,Phil Salt,FOUR,first boundary! 137.1kph; Auqib Dar offers width outside off. Quick hands from Salt who stands tall and slashes it to the right of backward point,2026-05-04 13:41:34.642440
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,0,4,Auqib Nabi,Phil Salt,1 run,131.7kph; short of length just outside off; punched to sweeper cover,2026-05-04 13:41:34.642790
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,0,5,Auqib Nabi,Virat Kohli,FOUR,edge and four! 132.6kph; fuller than a good length; curls away a bit and Kohli gets forward to push at it. The outside edge goes well wide of the diving slip fielder. Short third man dives to his left but it is well out of his reach,2026-05-04 13:41:34.643101
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,0,6,Auqib Nabi,Virat Kohli,1 run,132.8kph; pats this length ball to cover does Kohli and keeps the strike,2026-05-04 13:41:34.643346
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,1,1,Mukesh Kumar,Virat Kohli,1 run,135kph; length ball just outside off with a slip in place; Kohli pushes with the swing to sweeper cover,2026-05-04 13:41:34.643541
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,1,2,Mukesh Kumar,Phil Salt,no run,136.4kph; Mukesh hurls fuller and gets it to swing away late. Salt stays leg-side of the ball to drive and gets beaten on the outside edge,2026-05-04 13:41:34.643753
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,1,3,Mukesh Kumar,Phil Salt,1 run,135.9kph; Mukesh pulls his length back; offers width as well; cut to deep point,2026-05-04 13:41:34.643947
26_RCBvsDC,May 04,13:29:25,M.Chinnaswamy Stadium,1,4,Mukesh Kumar,Virat Kohli,FOUR,shot! 132.9kph; Virat Kohli walks down the pitch; leans across; lifts his back leg and elegantly plays an aerial drive over wide mid-off. Hits with the swing and times it sweetly,2026-05-04 13:41:34.644136
