match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,0,1,Matthew Short,Abhishek Sharma,no run,starts bang on with a slider around off stump; Abhishek guides it to backward point,2026-05-04 13:42:28.725454
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,0,2,Matthew Short,Abhishek Sharma,1 run,slightly outside off stump; Abhishek goes back and guides it between cover-point and point for his first runs of the day,2026-05-04 13:42:28.725736
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,0,3,Matthew Short,Travis Head,no run,nothing lose from Matthew Short. Great stuff! Flatter delivery just outside off stump; Head can only cut and find the man at point,2026-05-04 13:42:28.726265
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,0,4,Matthew Short,Travis Head,1 run,hints at moving around in the crease; so Matthew Short fires this full; pushed to mid-on,2026-05-04 13:42:28.726507
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,0,5,Matthew Short,Abhishek Sharma,1 run,flat and on the middle and leg stump; Abhishek pushes it to long-off,2026-05-04 13:42:28.726757
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,0,6,Matthew Short,Travis Head,wide,the first real spray of the over and it's finished down the leg-side. Sanju puts out a soft shout; but it's a wide. One of those appeals you see on the field to distract the ump for the wide but the ump is alert enough,2026-05-04 13:42:28.726984
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,0,6,Matthew Short,Travis Head,no run,slider; cuts and finds cover-point,2026-05-04 13:42:28.727205
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,1,1,Mukesh Choudhary,Abhishek Sharma,SIX,is Mukesh going to continue from where he left here in Uppal a couple of years ago? Make that 33 runs off his last 7 balls at this venue. Abhishek Sharma loves slapping through the off-side and Mukesh Choudhary has fed him a short of length delivery with width. Abhishek says thank you and lofts it over cover,2026-05-04 13:42:28.727428
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,1,2,Mukesh Choudhary,Abhishek Sharma,2 runs,now the overcorrection and bowls fullish on the pads; flicked over mid-wicket but it's cut off in the deep,2026-05-04 13:42:28.727676
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,1,3,Mukesh Choudhary,Abhishek Sharma,1 run,short of length delivery outside off stump; Abhishek guides square of the wicket,2026-05-04 13:42:28.727930
27_SHvsCSK,May 04,13:29:25,Rajiv Gandhi International Stadium,1,4,Mukesh Choudhary,Travis Head,no run,short delivery and Head ducks under it. One for the over called by the ump,2026-05-04 13:42:28.728454
