match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,1,Mohammed Shami,Priyansh Arya,wide,starts off with a wide ball down the leg-side; Arya misses out on his glance,2026-05-04 13:44:11.306611
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,1,Mohammed Shami,Priyansh Arya,no run,tad fuller around off; driven towards cover by Priyansh,2026-05-04 13:44:11.310217
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,2,Mohammed Shami,Priyansh Arya,wide,short and wide outside off; yet another wide ball as it was out of the batter's reach,2026-05-04 13:44:11.310449
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,2,Mohammed Shami,Priyansh Arya,1 run,he's off the mark with a single at mid-on. Nudges it with soft hands and scampers across to the other end,2026-05-04 13:44:11.310673
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,3,Mohammed Shami,Prabhsimran Singh,out Caught by Mitchell Marsh!! Mo Shami! The classical new ball Mohammed Shami dismissal. Full and teasing the batter on the drive with a wobble seam ball. The trap is right there in that wobble. You never know which way it is going to move but the length will lure you to play the big drive. It's a decision of do I stay calm and leave it,or do I go with a positive mindset and look for a boundary. Quite often the batters choose the latter and fall in the trap. The trap of a master new ball bowler. Prabhsimran tried to drive through cover; thick outside edge went straight to Marsh; who is slightly wide at slip. Prabhsimran Singh c Mitchell Marsh b Mohammed Shami 0(1),2026-05-04 13:44:11.310918
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,4,Mohammed Shami,Cooper Connolly,no run,good length delivery outside off stump; Connolly lets it pass,2026-05-04 13:44:11.311131
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,5,Mohammed Shami,Cooper Connolly,no run,the round the wicket angle to the LHB works wonders and he's almost had Connolly caught behind here. Full and angling in; Connolly got sucked into a drive and the ball moved away to beat the bat,2026-05-04 13:44:11.311328
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,0,6,Mohammed Shami,Cooper Connolly,FOUR,strays on the pads and gives the release ball. Connolly accepts the offer and flicks it brilliantly through mid-wicket to open his account. Shami not happy with that last ball,2026-05-04 13:44:11.311525
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,1,Mohsin Khan,Priyansh Arya,SIX,dismissed! Not too short; but he went back in his crease to make this short of length delivery shorter; got under it and slapped the pull flat and well in front of square over mid-wicket,2026-05-04 13:44:11.311741
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,2,Mohsin Khan,Priyansh Arya,1 run,knocked away to square leg,2026-05-04 13:44:11.311931
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,3,Mohsin Khan,Cooper Connolly,no run,short of length delivery moving away outside off stump; Connolly looks to cut and misses,2026-05-04 13:44:11.312118
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,4,Mohsin Khan,Cooper Connolly,no run,shout for LBW but may be just missing leg. Pant thinks hard; was almost about to review with a couple of seconds left and then gestured no that's going down I feel. Fullish and angling in; Connolly misses the flick; ball hit the pad in line with the stumps but the angle from over the wicket was taking it down. No no! Hang on; ball-tracker says three reds. LSG have missed the trick. Mohsin was confident but didn't get support,2026-05-04 13:44:11.312320
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,5,Mohsin Khan,Cooper Connolly,no run,short of length delivery; Connolly defends,2026-05-04 13:44:11.312509
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,1,6,Mohsin Khan,Cooper Connolly,1 run,dropped but a tough chance! Fullish delivery; Connolly looks to drive; mistimes it uppish to the right of the bowler who reacted a bit late in his followthrough. Ball rolls to mid-off after the deflection,2026-05-04 13:44:11.313492
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,1,Mohammed Shami,Cooper Connolly,FOUR,in the airrr; clears mid-off and it escapes for four. Length delivery angling in; Connolly swung hard; didn't connect well and got away with it,2026-05-04 13:44:11.313955
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,2,Mohammed Shami,Cooper Connolly,no run,Mohammed Shami goes over the wicket and angles this away from the LHB; Connolly looks to slash and misses,2026-05-04 13:44:11.314285
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,3,Mohammed Shami,Cooper Connolly,1 run,short of length delivery outside off stump; Connolly drives and it's cut off with the dive at cover,2026-05-04 13:44:11.314558
29_PKvsLSG,May 04,13:29:25,Maharaja Yadavindra Singh International Cricket Stadium,2,4,Mohammed Shami,Priyansh Arya,FOUR,lofted with an angled bat and it goes over backward point. Good length delivery moving away outside off stump; Priyansh stays leg-side and goes with his hands to slice it over the infield,2026-05-04 13:44:11.315012
