match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,0,1,Mohammed Siraj,Quinton de Kock,no run,starts off with a short ball outside off; Quinton de Kock rides the bounce and taps it towards backward point. He was keen for a single; but Malewar wasn't. Sends him back,2026-05-04 13:45:00.791307
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,0,2,Mohammed Siraj,Quinton de Kock,1 run,tad short outside off; Quinton de Kock taps it with soft hands towards short third man and scampers across to the other end,2026-05-04 13:45:00.791528
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,0,3,Mohammed Siraj,Danish Malewar,no run,that's a lovely delivery by Mohammed Siraj. Back of a length delivery outside off; shaping away from the batter; Danish Malewar looks to defend; gets beaten due to the away movement,2026-05-04 13:45:00.791744
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,0,4,Mohammed Siraj,Danish Malewar,1 run,on a length around off; Danish Malewar opens the bat face; steering this through short third man for one,2026-05-04 13:45:00.791938
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,0,5,Mohammed Siraj,Quinton de Kock,no run,good length delivery outside off; Quinton de Kock knocks it towards point from within the crease,2026-05-04 13:45:00.792129
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,0,6,Mohammed Siraj,Quinton de Kock,no run,short and wide outside off; Quinton de Kock slashes away from his body; connects thin air though,2026-05-04 13:45:00.792322
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,1,1,Kagiso Rabada,Danish Malewar,1 run,on a length around off; Danish Malewar opens the bat face; steering this away for another single,2026-05-04 13:45:00.792515
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,1,2,Kagiso Rabada,Quinton de Kock,SIX,that's the kind of form he is in. Can't afford to bowl such looseners against him. Kagiso Rabada fires a full length delivery on middle and leg; Quinton de Kock picks the length early and flicks it over deep mid-wicket for the first maximum of the evening,2026-05-04 13:45:00.792726
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,1,3,Kagiso Rabada,Quinton de Kock,no run,fraction short outside off; too close to the body. Quinton de Kock goes for a cut; gets an inside edge towards Buttler. A good stop by him behind the wickets,2026-05-04 13:45:00.792927
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,1,4,Kagiso Rabada,Quinton de Kock,1 run,pitched up by the bowler outside off; Quinton de Kock drives it towards wide mid-off and scampers across to the other end,2026-05-04 13:45:00.793124
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,1,5,Kagiso Rabada,Danish Malewar,out Lbw!! Kagiso Rabada strikes in his over. That's not a great start for Danish Malewar. He departs early on his MI debut. Kagiso Rabada attacks the stumps with this length delivery. Danish Malewar shuffles across in the crease to play it across the line,but gets beaten for pace. Rapped on the pads and the umpire reckons it would've crashed into the stumps. Looked plumb to the naked eye and the batter doesn't bother reviewing it. Doesn't waste any time and starts walking back to the pavilion. Danish Malewar lbw b Kagiso Rabada 2(4),2026-05-04 13:45:00.793327
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,1,6,Kagiso Rabada,Naman Dhir,1 run,steered towards backward point for a single,2026-05-04 13:45:00.793529
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,2,1,Mohammed Siraj,Naman Dhir,1 run,drifting on the pads; clipped away through the on-side for one,2026-05-04 13:45:00.793731
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,2,2,Mohammed Siraj,Quinton de Kock,1 run,good length delivery around middle and leg; worked through the leg-side,2026-05-04 13:45:00.793935
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,2,3,Mohammed Siraj,Naman Dhir,FOUR,easy pickings for Naman Dhir. This was drifting on the pads and the in-form batter put it away to the fine leg fence with a well-executed flick. No need to run for those. Immediately a short fine leg in place by Siraj,2026-05-04 13:45:00.794130
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,2,4,Mohammed Siraj,Naman Dhir,FOUR,back-to-back boundaries. On a length around off; it shapes back in slightly as Naman Dhir looks to defend it. Off the inside edge past the fielder at short fine leg. There was a fielder in the deep as well; but he was a tad square to cut this down,2026-05-04 13:45:00.794331
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,2,5,Mohammed Siraj,Naman Dhir,no run,on a length outside off; Naman Dhir punches it crisply towards cover. Shahrukh Khan stationed there dives to his left and grabs it with one hand,2026-05-04 13:45:00.794528
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,2,6,Mohammed Siraj,Naman Dhir,no run,10 runs from the over; that's quite productive for MI. This was a length delivery as Naman Dhir nudged it towards mid-wicket,2026-05-04 13:45:00.794771
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,3,1,Kagiso Rabada,Quinton de Kock,no run,good length delivery outside off; Quinton de Kock goes for a drive; gets it off the inside half of his blade towards mid-wicket,2026-05-04 13:45:00.795007
30_GTvsMI,May 04,13:29:25,Narendra Modi Stadium,3,2,Kagiso Rabada,Quinton de Kock,FOUR,cut away! Width on offer outside off; Quinton de Kock throws the kitchen sink at it; carving it away through backward point for four more. Has hit a couple of fine shots against Kagiso Rabada already in this innings,2026-05-04 13:45:00.795295
