match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,0,1,Mukesh Kumar,Abhishek Sharma,2 runs,a gentle loosener from Mukesh; full and at the pads - Abhishek moves across and then clips it off the pads; behind square on the on-side and it needed a big effort from Rizvi to prevent the boundary,2026-05-04 13:45:50.570800
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,0,2,Mukesh Kumar,Abhishek Sharma,1 run,on a good length and a hint of shape away from off; punched on the rise and in the gap square past point for a single,2026-05-04 13:45:50.571030
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,0,3,Mukesh Kumar,Travis Head,no run,short of a good length and just outside off - Head prods across as he defended; hit high on the bat and the ball rolls to the off-side,2026-05-04 13:45:50.571231
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,0,4,Mukesh Kumar,Travis Head,FOUR,nicely played; too full and too straight from Mukesh; on the pads and it's whipped into the gap wide of mid-on - the timing is sweet and the ball runs away to the ropes,2026-05-04 13:45:50.571428
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,0,5,Mukesh Kumar,Travis Head,no run,fuller length delivery outside off - driven straight to the fielder at cover,2026-05-04 13:45:50.571619
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,0,6,Mukesh Kumar,Travis Head,2 runs,short of a good length and well wide of off - Head leans across and then cuts it square behind point; more good work in the deep and they're kept down to a couple,2026-05-04 13:45:50.571855
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,1,1,Nitish Rana,Abhishek Sharma,no run,excellent work from Nissanka at backward point - dropped short and wide of off; cut away to the right of backward point. Nissanka throws himself and makes a one-handed stop,2026-05-04 13:45:50.572057
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,1,2,Nitish Rana,Abhishek Sharma,1 run,slower and just outside off - a mistimed drive in front of point for a single,2026-05-04 13:45:50.572254
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,1,3,Nitish Rana,Travis Head,no run,the slider from Rana - Head backs away and can't beat cover-point with the punch,2026-05-04 13:45:50.572446
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,1,4,Nitish Rana,Travis Head,no run,slower and drifting across the left-hander - Head backs away on the cut and misses,2026-05-04 13:45:50.572637
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,1,5,Nitish Rana,Travis Head,1 run,the seam-up delivery; nips back into the left-hander and catches Head's inside edge on the hack; rolls backward of square on the on-side for a single,2026-05-04 13:45:50.573093
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,1,6,Nitish Rana,Abhishek Sharma,FOUR,clubbed; fraction short and at the stumps - Abhishek rocks back and then musdcles the pull over mid-on; wasn't well timed; but has enough to clear the fielder in the ring,2026-05-04 13:45:50.573294
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,2,1,Mukesh Kumar,Travis Head,2 runs,short of a good length and just outside off - Head swivels across and then hacks it through mid-wicket - the fielder in the deep slides across and keeps them down to a couple,2026-05-04 13:45:50.573483
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,2,2,Mukesh Kumar,Travis Head,FOUR,hammered; tad too short from Mukesh - Head rocks back and then hammers the pull wide of mid-wicket; long chase for Rizvi once again and he comesd second best,2026-05-04 13:45:50.573714
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,2,3,Mukesh Kumar,Travis Head,no run,full and at the stumps; driven back at the bowler - Mukesh gets a hand onto it and makes the stop,2026-05-04 13:45:50.573919
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,2,4,Mukesh Kumar,Travis Head,1 run,full and just outside off - Head goes hard on the drive and gets a single to long-off,2026-05-04 13:45:50.574113
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,2,5,Mukesh Kumar,Abhishek Sharma,no run,banged in short as Abhishek charged down the pitch - a swing and a miss; KL thinks about a caught behind appeal; but Mukesh wasn't interested,2026-05-04 13:45:50.574234
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,2,6,Mukesh Kumar,Abhishek Sharma,FOUR,cracking shot; back of a length and angling across the left-hander - Abhishek stays leg-sided; makes room and then slaps the cut over backward point for a boundary. 11 off the over,2026-05-04 13:45:50.574474
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,3,1,Lungi Ngidi,Travis Head,1 run,on a good length and pushed across the left-hander; driven through cover for a single,2026-05-04 13:45:50.574754
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,3,2,Lungi Ngidi,Abhishek Sharma,FOUR,the slower ball goes wrong; turns out to be a juicy full-toss and it's heaved through mid-wicket; beats the man in the ring and runs away to the ropes,2026-05-04 13:45:50.575006
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,3,3,Lungi Ngidi,Abhishek Sharma,no run,low full-toss on off; was another slower ball that dipped onto the right-hander - inside halved towards mid-on,2026-05-04 13:45:50.575257
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,3,4,Lungi Ngidi,Abhishek Sharma,FOUR,thumped; another slower ball from Ngidi; but this is too full and lets Abhishek go over the top with the lofted drive; one bounce and over the ropes,2026-05-04 13:45:50.575572
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,3,5,Lungi Ngidi,Abhishek Sharma,no run,slower loopy full-toss outside off - Abhishek reaches out and picks out cover with the drive,2026-05-04 13:45:50.575799
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,3,6,Lungi Ngidi,Abhishek Sharma,1 run,another slower ball outside off - driven into the gap wide of cover for a single,2026-05-04 13:45:50.575915
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,4,1,Nitish Rana,Abhishek Sharma,SIX,cracking shot; tossed up invitingly around off; Abhishek backs away; opens the face of the bat and then goes inside out over cover for a maximum. The timing was sweet and the ball sailed over,2026-05-04 13:45:50.576032
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,4,2,Nitish Rana,Abhishek Sharma,SIX,clubbed; pushed through quicker; but the length is short and it allows Abhishek to rock back on the pull; hammers it high over long-on,2026-05-04 13:45:50.576153
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,4,3,Nitish Rana,Abhishek Sharma,1 run,Nitish drags the length back as Abhishek came down the pitch; driven down to long-off for a single,2026-05-04 13:45:50.576266
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,4,4,Nitish Rana,Travis Head,no run,tossed up on the leg-stump line; Head comes down the pitch and clips it to square leg,2026-05-04 13:45:50.576380
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,4,5,Nitish Rana,Travis Head,wide,nicely bowled; sensed Head's charge - slowed down the pace and drifted it wider of off; past the tramlines though and it's called as a wide,2026-05-04 13:45:50.576496
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,4,5,Nitish Rana,Travis Head,no run,flatter and on off - Head stays back on the drive; to the right of cover where Miller makes a diving stop,2026-05-04 13:45:50.576606
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,4,6,Nitish Rana,Travis Head,SIX,20 off the over; a big one for SRH - Head shimmies down the pitch; gets right to the pitch of the ball and then lets his hands take over; shovels it high over long-on for a maximum,2026-05-04 13:45:50.576730
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,5,1,Lungi Ngidi,Abhishek Sharma,1 run,slower ball outside off - Abhishek comes down the pitch and punches it wide of mid-off,2026-05-04 13:45:50.576900
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,5,2,Lungi Ngidi,Travis Head,1 run,another slower ball outside off - Head swipes hard and drags a thick inside edge; to the left of mid-wicket for a single,2026-05-04 13:45:50.577061
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,5,3,Lungi Ngidi,Abhishek Sharma,no run,on a good length and just outside off - Abhishek went hard on the drive and mistimed it to mid-on,2026-05-04 13:45:50.577166
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,5,4,Lungi Ngidi,Abhishek Sharma,1 run,fuller length delivery outside off - Abhishek comes down the pitch; makes room and drives it square on the off-side for a single,2026-05-04 13:45:50.577283
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,5,5,Lungi Ngidi,Travis Head,1 run,a loopy full-toss - dips onto the left-hander and Head mistimes the drive over cover's head,2026-05-04 13:45:50.577399
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,5,6,Lungi Ngidi,Abhishek Sharma,wide,another slower ball; but this is well past the tramlines and has been wided,2026-05-04 13:45:50.577514
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,5,6,Lungi Ngidi,Abhishek Sharma,SIX,lovely; Abhishek comes down the pitch; takes it on the half-volley and then lifts it nonchalantly over the bowler's head; sails into the sightscreen for a maximum,2026-05-04 13:45:50.577784
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,6,1,Axar Patel,Travis Head,1 run,flatter and at the stumps; whipped wide of mid-on for a single,2026-05-04 13:45:50.577950
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,6,2,Axar Patel,Abhishek Sharma,1 run,pushed through outside off - punched down to long-off for a single,2026-05-04 13:45:50.578061
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,6,3,Axar Patel,Travis Head,2 runs,fraction short and wide of off; Head backs away and cuts it in front of square on the off-side; comes back for the second,2026-05-04 13:45:50.578166
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,6,4,Axar Patel,Travis Head,1 run,slower and at the pads; Head comes down the pitch and clips it past mid-wicket,2026-05-04 13:45:50.578270
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,6,5,Axar Patel,Abhishek Sharma,1 run,tossed up on the leg-stump line; worked through mid-wicket for a single,2026-05-04 13:45:50.578387
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,6,6,Axar Patel,Travis Head,1 run,pushed through on the leg-stump line; punched down to long-on for a single,2026-05-04 13:45:50.578573
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,7,1,Kuldeep Yadav,Travis Head,1 run,fraction short and just outside off - cut away square on the off-side for a single,2026-05-04 13:45:50.578764
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,7,2,Kuldeep Yadav,Abhishek Sharma,no run,tossed up and spinning away from outside off; Abhishek shuffles across and lets it go,2026-05-04 13:45:50.578871
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,7,3,Kuldeep Yadav,Abhishek Sharma,FOUR,smashed; tossed up well outside off - it's right in Abhishek's arc and he lifts it back over the bowler's head; one bounce and over the ropes,2026-05-04 13:45:50.578979
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,7,4,Kuldeep Yadav,Abhishek Sharma,1 run,dragged short b y Kuldeep; Abhishek prods across and drills it down to long-on for a single,2026-05-04 13:45:50.579083
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,7,5,Kuldeep Yadav,Travis Head,no run,Kuldeep tosses one around off; Head cleared his left leg on the slog; went too hard and the inside edge lobbed up off his pad,2026-05-04 13:45:50.579191
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,7,6,Kuldeep Yadav,Travis Head,2 runs,loopy delivery around off; Head leans across and then swipes it back over the bowler's head; Stubbs runs to his left and keeps them down to a couple,2026-05-04 13:45:50.579299
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,8,1,Axar Patel,Abhishek Sharma,2 runs,very full and down leg; clipped in front of square on the on-side - Abhishek Sharma runs back for the second and then puts in the dive. The throw was good; but KL fumbled and that could be a let-off for the SRH opener. Raises his half-century. Replays show that Abhishek was short had Rahul gathered the ball,2026-05-04 13:45:50.579412
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,8,2,Axar Patel,Abhishek Sharma,SIX,tad too short and just outside off - Abhishek swivels across and then flat-bats the lofted drive over the bowler's head; sails onto the sightscreen for a maximum,2026-05-04 13:45:50.579517
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,8,3,Axar Patel,Abhishek Sharma,1 run,flighted delivery on off; pushed down to long-on for a single,2026-05-04 13:45:50.579619
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,8,4,Axar Patel,Travis Head,SIX,hammered; Axar slows down the pace; but it's too full and right in Head's slot - he leans across and then plays the slog-sweep; high over long-on for a maximum,2026-05-04 13:45:50.579763
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,8,5,Axar Patel,Travis Head,out Caught by Sameer Rizvi!! A dragdown and Head has holed out to deep mid-wicket - was pushed through quicker and on off,Head rocked back on the pull; but he doesn't get the elevation on the shot. Hard and flat; and right down Rizvi's throat at deep mid-wicket. End of a fine partnership and the players have taken the strategic break as well. Travis Head c Sameer Rizvi b Axar Patel 37(26) [4s-2 6s-2],2026-05-04 13:45:50.579877
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,8,6,Axar Patel,Ishan Kishan,1 run,tossed up around off; Kishan shuffles across and pushes it down to long-on,2026-05-04 13:45:50.579980
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,9,1,Nitish Rana,Ishan Kishan,1 run,tossed up just outside off; driven down to long-off for a single,2026-05-04 13:45:50.580097
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,9,2,Nitish Rana,Abhishek Sharma,1 run,pushed through on off; punched off the back-foot to long-off,2026-05-04 13:45:50.580256
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,9,3,Nitish Rana,Ishan Kishan,1 run,Nitish drags the length back as Kishan came down the pitch; driven past the bowler for a single,2026-05-04 13:45:50.580411
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,9,4,Nitish Rana,Abhishek Sharma,1 run,slower and wider of off - chopped in front of square on the off-side,2026-05-04 13:45:50.580520
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,9,5,Nitish Rana,Ishan Kishan,wide,flatter and wider of off; well past the tramlines and has been wided,2026-05-04 13:45:50.580627
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,9,5,Nitish Rana,Ishan Kishan,1 run,slower and wider of off; slapped down to long-off for a single,2026-05-04 13:45:50.580766
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,9,6,Nitish Rana,Abhishek Sharma,no run,the off-break; but was short and wide of off; wou;d've been a wide had Abhishek let it go; he chases and picks out backward point with the cut,2026-05-04 13:45:50.580991
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,10,1,Kuldeep Yadav,Ishan Kishan,SIX,lovely; floaty delivery from Kuldeep - Kishan comes down the pitch; gets close to the ball and then drills it high over long-on for a maximum,2026-05-04 13:45:50.581110
31_SHvsDC,May 04,13:29:25,Rajiv Gandhi International Stadium,10,2,Kuldeep Yadav,Ishan Kishan,FOUR,back-to-back boundaries for Kishan - Kuldeep drifts one down leg; Kishan gets down low; rolled his wrists and then beat backward square leg with the sweep,2026-05-04 13:45:50.581218
