match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,1,Mohammed Shami,Yashasvi Jaiswal,wide,starts with a wide. Gets the ball to swing in from leg-stump. Jaiswal misses the flick and the keeper moves to his right to collect,2026-05-04 13:46:40.558271
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,1,Mohammed Shami,Yashasvi Jaiswal,no run,loud shout for LBW! Shami and Pant give it a thought and decide against the review. Probably was a little high. Shami gets it to swing in on middle stump. Jaiswal looked to defend; but his bat got stuck behind his pad and is hit on the front pad. The new ball took off and the replays show the ball was going over the top,2026-05-04 13:46:40.558519
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,2,Mohammed Shami,Yashasvi Jaiswal,no run,good length delivery swinging away outside off; Jaiswal lets it go,2026-05-04 13:46:40.558756
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,3,Mohammed Shami,Yashasvi Jaiswal,wide,another full and wide delivery outside off; Jaiswal shoulders arms and the line is well outside the tramline,2026-05-04 13:46:40.558960
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,3,Mohammed Shami,Yashasvi Jaiswal,no run,gets it to nip back onto the pads. Jaiswal misses the tuck and is hit high on the thigh pad. The ball rolls to the off-side,2026-05-04 13:46:40.559160
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,4,Mohammed Shami,Yashasvi Jaiswal,FOUR,poor delivery and Shami pays the price. Was bowled well down the leg-side. Jaiswal had to get bat on ball to get it away. He gets plenty of it and the ball raced away down to fine leg fence. Fielder puts in the dive; but can't cut it,2026-05-04 13:46:40.559361
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,5,Mohammed Shami,Yashasvi Jaiswal,no run,Shami comes round the wicket and looks to angle it in. Jaiswal covers his stumps and shoulders arms,2026-05-04 13:46:40.559552
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,6,Mohammed Shami,Yashasvi Jaiswal,1 run,width on offer outside off; Jaiswal mistimes the cut wide of backward point. Just a single,2026-05-04 13:46:40.559757
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,1,Prince Yadav,Yashasvi Jaiswal,5 runs,this is poor from LSG. Mohsin Khan picks the ball up at square leg and fires a wild throw at the striker's end. The back up wasn't ready and the ball slips under the fielder for four overthrows. This was on the pads; Jaiswal tucks it to square leg and gets extra runs,2026-05-04 13:46:40.559949
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,2,Prince Yadav,Vaibhav Sooryavanshi,FOUR,full on the pads; Sooryavanshi flicks it to through mid-wicket. Keeps it along the ground and gets off the mark with a boundary,2026-05-04 13:46:40.560163
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,3,Prince Yadav,Vaibhav Sooryavanshi,FOUR,back-to-back boundaries for Sooryavanshi. This time Prince gives him the width outside off; Vaibhav slashes it through cover-point and picks four more,2026-05-04 13:46:40.560387
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,4,Prince Yadav,Vaibhav Sooryavanshi,no run,angled into the pads; Vaibhav flicks it down to short fine leg,2026-05-04 13:46:40.560624
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,5,Prince Yadav,Vaibhav Sooryavanshi,no run,banged in short at the badge. Vaibhav ducks under,2026-05-04 13:46:40.560908
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,6,Prince Yadav,Vaibhav Sooryavanshi,no run,another short delivery from Prince. Vaibhav sways away from the line in time. He was looking to pull initially; but the ball was raising steeply. He does well to pull out of his shot,2026-05-04 13:46:40.561149
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,1,Mohammed Shami,Yashasvi Jaiswal,no run,play and a miss. Full and well wide of off. Jaiswal looks to slash it on the off-side. The ball beats the outside edge through to the keeper,2026-05-04 13:46:40.561379
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,2,Mohammed Shami,Yashasvi Jaiswal,FOUR,another similar length and line delivery from Shami. Jaiswal throws the kitchen sink at it. Pumps it over cover-point for four more,2026-05-04 13:46:40.561611
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,3,Mohammed Shami,Yashasvi Jaiswal,FOUR,Jaiswal has hit this right where the field change happened. He opens the bat face and steers it behind square to a short and wide delivery outside off. The fielder in the deep can only watch it race away,2026-05-04 13:46:40.561815
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,4,Mohammed Shami,Yashasvi Jaiswal,FOUR,hattrick of fours for Jaiswal. This is slightly fuller on off; Jaiswal chips it just over mid-off fielder's leap. Few bounces and over the fence,2026-05-04 13:46:40.561928
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,5,Mohammed Shami,Yashasvi Jaiswal,out Caught by Rishabh Pant!! Mohammed Shami has the last laugh. Pant takes a stunner. This is a big wicket for LSG as Jaiswal was looking dangerous. Shami comes in from over the wicket and bends his back to get the ball at a good height with the bouncer. Jaiswal looks to hook,the extra bounce takes the glove and flies over the keeper. Pant was airborne and plucks it off his right hand. Timed his jump perfectly did the LSG captain. Yashasvi Jaiswal c Rishabh Pant b Mohammed Shami 22(12) [4s-4],2026-05-04 13:46:40.562041
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,6,Mohammed Shami,Dhruv Jurel,out Caught by Rishabh Pant!! What an eventful over this was. Hit for hattrick of fours and two unplayable deliveries from Shami to finish. Hits the channel outside off and gets it to nip away a touch. Jurel prods forward and gets a thick outside edge to the right of Pant,who takes a regulation catch. Not much Jurel could have done on that. Dhruv Jurel c Rishabh Pant b Mohammed Shami 0(1),2026-05-04 13:46:40.562152
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,1,Mohsin Khan,Vaibhav Sooryavanshi,no run,good length delivery outside off; Sooryavanshi dabs it down to short third man,2026-05-04 13:46:40.562257
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,2,Mohsin Khan,Vaibhav Sooryavanshi,no run,back of a length delivery on middle; defended back to Mohsin Khan,2026-05-04 13:46:40.562358
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,3,Mohsin Khan,Vaibhav Sooryavanshi,no run,Vaibhav goes on the back foot and tucks it to the on-side,2026-05-04 13:46:40.562462
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,4,Mohsin Khan,Vaibhav Sooryavanshi,no run,fullish in length on middle; driven down to mid-on,2026-05-04 13:46:40.562566
32_LSGvsRR,May 04,13:29:25,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,5,Mohsin Khan,Vaibhav Sooryavanshi,no run,beaten on the outside edge. Sooryavanshi slashes hard and gets beaten on the outside edge,2026-05-04 13:46:40.562715
