match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,0,1,Jasprit Bumrah,Sanju Samson,no run,back of a length delivery; hint of inward movement; Samson jams it onto the pads,2026-05-04 13:47:30.569305
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,0,2,Jasprit Bumrah,Sanju Samson,1 run,Samson and CSK are away thanks to a wayward throw. Fullish delivery; Samson leans forward and drives it straight to cover-point. Rutherford lobs it towards de Kock and the ball goes over him; overthrow conceded. Bumrah asks Rutherford to calm down,2026-05-04 13:47:30.569491
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,0,3,Jasprit Bumrah,Ruturaj Gaikwad,no run,full pitcher around off; Gaikwad walks down and pushes it to cover,2026-05-04 13:47:30.569612
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,0,4,Jasprit Bumrah,Ruturaj Gaikwad,leg byes,1 run; ouch! 137ks well-directed short ball; keeps climbing and Gaikwad decides to take it on; the ball goes over his top-edge and pings him on the helmet. It lobs towards fine leg and the duo cross over,2026-05-04 13:47:30.569915
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,0,5,Jasprit Bumrah,Sanju Samson,no run,137.9ks back of a length delivery; no room on offer; Samson defends down the pitch,2026-05-04 13:47:30.570101
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,0,6,Jasprit Bumrah,Sanju Samson,no ball,FOUR; lovely shot! Not much wrong with the delivery. Bumrah went a bit full searching for swing. The line is outside off; Samson leans forward and creams the drive past cover-point. Nothing Rutherford could do there. Hang on! Bumrah has overstepped. The siren goes off. Free-hit coming up..,2026-05-04 13:47:30.570278
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,0,6,Jasprit Bumrah,Sanju Samson,no run,the extra delivery does not cost anything. Bumrah nails the yorker and Samson can't do much about it; he's late in bringing his bat down and is pinned on the back pad,2026-05-04 13:47:30.570430
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,1,1,Hardik Pandya,Ruturaj Gaikwad,2 runs,131.2ks good length ball outside off; bit of away swing and Gaikwad plays it with the movement; opens the bat face and drives square of the wicket. There's a deep backward point in place and Krish keeps it to a brace,2026-05-04 13:47:30.570579
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,1,2,Hardik Pandya,Ruturaj Gaikwad,no run,shortens the length and keeps it close to off; Gaikwad defends it back to Hardik,2026-05-04 13:47:30.570834
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,1,3,Hardik Pandya,Ruturaj Gaikwad,no ball,FOUR; 129ks fraction short and does not bounce much; Gaikwad adjusts quickly and pulls it in front of square; beats mid-wicket and the ball races away. Now Hardik has overstepped. Second no-ball in two overs. Mumbai Indians need to be disciplined. Free-hit coming up..,2026-05-04 13:47:30.570977
33_MIvsCSK,May 04,13:29:25,Wankhede Stadium,1,3,Hardik Pandya,Ruturaj Gaikwad,wide,tries to keep it away from Gaikwad's range and sprays it outside off; not within the marker and called a wide. The free-hit stays..,2026-05-04 13:47:30.571145
