match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,0,1,Bhuvneshwar Kumar,Sai Sudharsan,1 run,short of a good length and just outside off - a hint of away swing and it's steered with an open face; behind square on the off-side for a single,2026-05-04 13:48:20.641595
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,0,2,Bhuvneshwar Kumar,Shubman Gill,no run,on a good length and just outside off - Gill stays on the back-foot as he drove it to cover-point,2026-05-04 13:48:20.641942
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,0,3,Bhuvneshwar Kumar,Shubman Gill,1 run,fraction fuller and just outside off - Gill leans across and drives it to the left of mid-on for a single,2026-05-04 13:48:20.642210
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,0,4,Bhuvneshwar Kumar,Sai Sudharsan,FOUR,edged and four; on a good length and shaping away from off; draws Sudharsan into the drive and finds the drive; finds the edge and it bounces wide of Hazlewood at short third,2026-05-04 13:48:20.642416
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,0,5,Bhuvneshwar Kumar,Sai Sudharsan,no run,on a good length and around the off-stump channel; Sai Sudharsan leans across defensively,2026-05-04 13:48:20.642633
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,0,6,Bhuvneshwar Kumar,Sai Sudharsan,1 run,tad fuller and just outside off - Sai Sudharsan plays with soft hands and drops it in front of cover; off for a quick single,2026-05-04 13:48:20.643011
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,1,1,Josh Hazlewood,Sai Sudharsan,no run,appeal for LBW; but it did look high; nipped back froma length and caught Sai Sudharsan in the crease; he played all around and is struck high on the thigh-pad. Pitched outside leg as well,2026-05-04 13:48:20.643245
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,1,2,Josh Hazlewood,Sai Sudharsan,no run,short of a good length and pushed across the left-hander - Sai Sudharsan throws his hands on the cut and misses,2026-05-04 13:48:20.643470
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,1,3,Josh Hazlewood,Sai Sudharsan,2 runs,banged in short and at the stumps - Sai Sudharsan swivels across and miscues the pull; behind square on the on-side for a couple of runs,2026-05-04 13:48:20.643886
34_RCBvsGT,May 04,13:29:25,M.Chinnaswamy Stadium,1,4,Josh Hazlewood,Sai Sudharsan,wide,fuller length delivery and slipping down leg; Sai Sudharsan was shaping to flick and missed; called as a wide,2026-05-04 13:48:20.644225
