match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,0,1,Arshdeep Singh,Pathum Nissanka,no run,short of a length outside off; shaping into the batter slightly; Pathum Nissanka goes for a cut and misses,2026-05-04 13:49:14.335322
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,0,2,Arshdeep Singh,Pathum Nissanka,1 run,drifting on the pads; Pathum Nissanka clips it through the on-side and opens his account with a single,2026-05-04 13:49:14.335551
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,0,3,Arshdeep Singh,Rahul,1 run,yorker length ball around off; KL Rahul digs it out into the off-side,2026-05-04 13:49:14.335774
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,0,4,Arshdeep Singh,Pathum Nissanka,FOUR,first boundary of the match! Tad short on leg; Pathum Nissanka flicks it away to the fine leg fence with nonchalance,2026-05-04 13:49:14.335983
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,0,5,Arshdeep Singh,Pathum Nissanka,1 run,fraction short outside off; Pathum Nissanka plays this late; steering it to third man for one,2026-05-04 13:49:14.336176
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,0,6,Arshdeep Singh,Rahul,1 run,good length delivery outside off; KL Rahul steers it towards backward point for one,2026-05-04 13:49:14.336365
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,1,1,Xavier Bartlett,Rahul,FOUR,Xavier Bartlett concedes a boundary off the first ball. On a length outside off; KL Rahul plays it off the front foot; putting it away to the deep backward point fence,2026-05-04 13:49:14.336567
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,1,2,Xavier Bartlett,Rahul,FOUR,back-to-back boundaries! Length delivery around off; shaping away from the batter; KL Rahul whips it over wide long-on and that's another boundary added to the total. An attacking approach by Rahul so far,2026-05-04 13:49:14.336788
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,1,3,Xavier Bartlett,Rahul,1 run,tad slow around off; holds its line as KL Rahul knocks it into the off-side for one,2026-05-04 13:49:14.336979
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,1,4,Xavier Bartlett,Pathum Nissanka,1 run,hint of away movement; it's a length delivery around off; Pathum Nissanka drives it to mid-off for a single,2026-05-04 13:49:14.337168
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,1,5,Xavier Bartlett,Rahul,1 run,quick single taken. On a length around middle and leg; clipped towards mid-on with soft hands as KL Rahul scampers across to the other end,2026-05-04 13:49:14.337354
35_DCvsPK,May 04,13:29:25,Arun Jaitley Stadium,1,6,Xavier Bartlett,Pathum Nissanka,FOUR,good shot! Picks the length nicely; rocks back in the crease and pulls this away to deep backward square leg fence. On the bounce and over the boundary. Xavier Bartlett goes for 15 runs in the over,2026-05-04 13:49:14.337549
