match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,0,1,Praful Hinge,Yashasvi Jaiswal,1 run,short of length angled across; ample width and Jaiswal slashes it to deep backward point; straight to Reddy,2026-05-04 16:34:47.755840
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,0,2,Praful Hinge,Vaibhav Sooryavanshi,no run,swing and miss. Good length ball slanted across; Sooryavanshi looks to loft through the line and is beaten on the outside-edge. The ball kept going away with the angle,2026-05-04 16:34:47.756404
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,0,3,Praful Hinge,Vaibhav Sooryavanshi,SIX,that's into the final tier. Sooryavanshi is off the mark in style. Short of length delivery; at the body; not much wrong with the ball; but such is Sooryavanshi's aura; he gets into an excellent position and nails the pull over deep square leg. That ball was close to going out of the ground,2026-05-04 16:34:47.756937
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,0,4,Praful Hinge,Vaibhav Sooryavanshi,SIX,back to back sixes. This was not off the middle. But enough to clear the rope. Again short of length; around leg and Sooryavanshi helps it along towards long leg. Plenty of height and the ball lands jusy beyond the rope,2026-05-04 16:34:47.757430
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,0,5,Praful Hinge,Vaibhav Sooryavanshi,SIX,hat-trick of sixes. Sooryavanshi seems to be in revenge mode. Good length ball angled across; Sooryavanshi holds a firm base; stays leg-side and lofts it through the line. The ball sails over the long-off fence..,2026-05-04 16:34:47.758044
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,0,6,Praful Hinge,Vaibhav Sooryavanshi,SIX,6; 6; 6; 6! Hinge got him for a duck the previous time and today he has smached him for four consecutive sixes in the first over. Another good length ball; Sooryavanshi lofts through the line but once again not off the middle; but such is his power that the ball clears the long-on rope,2026-05-04 16:34:47.758430
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,1,1,Pat Cummins,Yashasvi Jaiswal,FOUR,now Jaiswal joins in. He welcomes Cummins to the IPL with a boundary. Fullish delivery; slanted across the left-hander; Jaiswal leans across and creams the drive through cover. It is a packed off-side field and still he managed to pierce the packed circle,2026-05-04 16:34:47.758779
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,1,2,Pat Cummins,Yashasvi Jaiswal,no run,fuller and closer to off; Jaiswal pushes it meekly towards cover,2026-05-04 16:34:47.759108
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,1,3,Pat Cummins,Yashasvi Jaiswal,no run,in the air and safe. Back of a length delivery; not quite short to play the pull but Jaiswal goes for it; gets it high on the bat and luckily for him the ball lands short of the incoming mid-on fielder,2026-05-04 16:34:47.759706
36_RRvsSH,May 04,16:33:57,Sawai Mansingh Stadium,1,4,Pat Cummins,Yashasvi Jaiswal,no run,back of a length around off; Jaiswal gets behind the line and defends it to the off-side,2026-05-04 16:34:47.760331
