match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,0,1,Mohammed Siraj,Sanju Samson,no run,beaten! 132.8kph; beautiful shape for Siraj. On a length and significant movement off the deck. Samson stays leg-side and has a poke at it. Belatedly pulls his bat in after the ball whistles past the outside edge,2026-05-04 16:35:35.921348
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,0,2,Mohammed Siraj,Sanju Samson,no run,137.5kph; short of a good length; leg-lined; nudged into the leg-side,2026-05-04 16:35:35.922001
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,0,3,Mohammed Siraj,Sanju Samson,no run,133.2kph; beaten for the second time in three balls. Late outswing and further away movement off the deck as well. Samson defends from the crease and it goes past the edge. Not too far away from the off-stump as well,2026-05-04 16:35:35.922499
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,0,4,Mohammed Siraj,Sanju Samson,no run,and again! 136kph; a touch fuller; Samson pushes at it from the crease and luckily for him; the outswinger doesn't trim the outside edge. Siraj has a big smile,2026-05-04 16:35:35.922993
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,0,5,Mohammed Siraj,Sanju Samson,no run,Siraj pulls his length back by a fraction; attacks the stumps as well; Samson defends down the pitch,2026-05-04 16:35:35.923446
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,0,6,Mohammed Siraj,Sanju Samson,1 run,138.9kph; short of length outside off; Samson opens the bat-face and steers it to deep backward point to get off the mark,2026-05-04 16:35:35.924080
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,1,1,Kagiso Rabada,Sanju Samson,no run,another play and miss! Short of length wide of off; Samson stays leg-side and mini-hops to slash hard. Extra bounce and the ball bounces over the blade,2026-05-04 16:35:35.924676
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,1,2,Kagiso Rabada,Sanju Samson,FOUR,makes contact and it almost goes all the way! Ample width on offer; Samson throws his arms and flays it over point. One bounce and into the fence. First boundary of the match. 5000 IPL runs for Samson,2026-05-04 16:35:35.925263
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,1,3,Kagiso Rabada,Sanju Samson,no run,fuller than a length; Samson doesn't get fully forward and inside-edges the drive to the right of the bowler,2026-05-04 16:35:35.925871
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,1,4,Kagiso Rabada,Sanju Samson,2 runs,145kph; short of length; Samson swings across the line and inside-edges to fine leg. Siraj dives to his right in the deep and makes a tumbling stop. Gill applauds,2026-05-04 16:35:35.926501
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,1,5,Kagiso Rabada,Sanju Samson,FOUR,top shot from Samson! 143.1kph; shortened length from Rabada; the line is wide of off; Samson stands tall and slams it over mid-off for another one-bounce four. Excellent hands!,2026-05-04 16:35:35.927467
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,1,6,Kagiso Rabada,Sanju Samson,no run,147.4kph; moves back and defends this length ball on the off-side,2026-05-04 16:35:35.928364
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,2,1,Mohammed Siraj,Ruturaj Gaikwad,FOUR,that's a gorgeous stroke from the CSK captain. Gentle outswinger from Siraj; Gaikwad accounts for the movement and drives it on the rise through the covers. Finds the gap and the ball dribbles away to the fence. Beautifully timed,2026-05-04 16:35:35.929033
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,2,2,Mohammed Siraj,Ruturaj Gaikwad,FOUR,136.1kph; back-to-back fours for Ruturaj Gaikwad. Siraj over-corrects and sprays this full delivery onto the pads. Flicked away to fine leg,2026-05-04 16:35:35.929768
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,2,3,Mohammed Siraj,Ruturaj Gaikwad,no run,137.2kph; on a length and around off; driven to mid-off,2026-05-04 16:35:35.930790
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,2,4,Mohammed Siraj,Ruturaj Gaikwad,no run,135kph; slip removed and Siraj bowls a short of length ball. Gaikwad punches to cover,2026-05-04 16:35:35.931622
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,2,5,Mohammed Siraj,Ruturaj Gaikwad,no run,lbw appeal from Siraj but that's missing leg! In-slanter that further nips in as well. Ruturaj Gaikwad flicks and misses to get hit on the pad,2026-05-04 16:35:35.932669
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,2,6,Mohammed Siraj,Ruturaj Gaikwad,2 runs,134.2kph; width on offer; cut away deep point's right for a couple more,2026-05-04 16:35:35.933623
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,3,1,Kagiso Rabada,Sanju Samson,no run,146.5kph; sharp bounce! Lands on a length and gets it to bounce significantly. Samson swings wildly across the line and the ball bounces over his blade,2026-05-04 16:35:35.934790
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,3,2,Kagiso Rabada,Sanju Samson,no run,147.4kph; fuller length; no feet movement from Samson who drives and inside-edges to midwicket,2026-05-04 16:35:35.935995
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,3,3,Kagiso Rabada,Sanju Samson,out Caught by Jos Buttler!! Edged and gone! 148.2kph,shortened length outside off; Samson sees the width and stays leg-side to slash it through the off-side. All he manages is an outside edge. Easy grab for the keeper. Rabada strikes early and it's Samson who's been in superb form. Sanju Samson c Jos Buttler b Kagiso Rabada 11(15) [4s-2],2026-05-04 16:35:35.937072
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,3,4,Kagiso Rabada,Urvil Patel,no run,fuller than a good length; driven to cover,2026-05-04 16:35:35.940816
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,3,5,Kagiso Rabada,Urvil Patel,FOUR,wow! That's an audacious stroke to get going. Urvil Patel waltzes down the track; moves leg-side in the process; converts it into a half-volley and drills it wide of mid-off. Bullets away to the fence,2026-05-04 16:35:35.941915
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,3,6,Kagiso Rabada,Urvil Patel,out Caught by Jason Holder!! Kagiso Rabada gets his revenge immediately. After conceding the boundary,the South African shortens his length and bowls it at 149.2kph. Urvil shimmies down the pitch to pull and is absolutely in no control of the shot. He was cramped for room and the ball was super quick as well. The ball goes up in the air off the top-edge and Holder moves to his left from mid-on to take the catch. Two wickets in the over for Kagiso Rabada. Urvil Patel c Jason Holder b Kagiso Rabada 4(3) [4s-1],2026-05-04 16:35:35.942776
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,4,1,Mohammed Siraj,Ruturaj Gaikwad,no run,lbw appeal; Gaikwad looks to work this length ball into the leg-side and misses to get hit on the pad. Missing leg with the angle,2026-05-04 16:35:35.944679
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,4,2,Mohammed Siraj,Ruturaj Gaikwad,no run,length ball; pushed to cover,2026-05-04 16:35:35.950486
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,4,3,Mohammed Siraj,Ruturaj Gaikwad,1 run,138.9kph; in-slanting length ball on leg; Gaikwad nudges it to midwicket,2026-05-04 16:35:35.951856
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,4,4,Mohammed Siraj,Sarfaraz Khan,out Caught by Jos Buttler!! Golden duck for Sarfaraz Khan coming in as the Impact Player. Cross-seamer and it's banged in short by Siraj. Sarfaraz wants to go after it with a pull shot first ball. It's shoulder high and the ball balloons up in the air off the top-edge. Jos Buttler calls for it,settles under it and takes a calm catch. CSK are in a spot of bother having lost three wickets within a span of 8 deliveries. Sarfaraz Khan c Jos Buttler b Mohammed Siraj 0(1),2026-05-04 16:35:35.953061
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,4,5,Mohammed Siraj,Dewald Brevis,no run,138.9kph; Siraj greets Brevis with a head-bouncer and the batsman ducks under it,2026-05-04 16:35:35.956044
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,4,6,Mohammed Siraj,Dewald Brevis,no run,138.1kph; fuller length ball; defensively pushed to mid-on,2026-05-04 16:35:35.957375
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,5,1,Kagiso Rabada,Ruturaj Gaikwad,no run,fullish ball; Gaikwad presses forward to drive it to extra cover,2026-05-04 16:35:35.960538
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,5,2,Kagiso Rabada,Ruturaj Gaikwad,no run,148kph; short of length; punched to point,2026-05-04 16:35:35.962864
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,5,3,Kagiso Rabada,Ruturaj Gaikwad,1 run,149.2kph; short of length outside off; Gaikwad opens the bat-face to steer it to third man,2026-05-04 16:35:35.964754
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,5,4,Kagiso Rabada,Dewald Brevis,no run,148.3kph; fullish delivery; driven to cover off the front foot,2026-05-04 16:35:35.965929
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,5,5,Kagiso Rabada,Dewald Brevis,1 run,146.1kph; beautifully driven off the front foot towards point. A slight misfield and Brevis gets off the mark with a single,2026-05-04 16:35:35.966564
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,5,6,Kagiso Rabada,Ruturaj Gaikwad,no run,pacy short ball at 148kph; good lift as well. Gaikwad respects it and drops his wrists before swaying away from it,2026-05-04 16:35:35.967066
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,6,1,Manav Suthar,Dewald Brevis,1 run,87.8kph; tossed up full on middle; Brevis drills it to mid-on off the inner part of the bat,2026-05-04 16:35:35.968512
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,6,2,Manav Suthar,Ruturaj Gaikwad,no run,another flighted delivery; middle-stump line; blocked into the off-side off the front foot,2026-05-04 16:35:35.969183
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,6,3,Manav Suthar,Ruturaj Gaikwad,wide,92kph; quick away-turner; too wide outside off; left alone,2026-05-04 16:35:35.969630
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,6,3,Manav Suthar,Ruturaj Gaikwad,no run,full delivery on the stumps; Gaikwad push-drives to cover,2026-05-04 16:35:35.970616
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,6,4,Manav Suthar,Ruturaj Gaikwad,no run,90.4kph; fraction short; Gaikwad goes deep in the crease to cut; finds backward point,2026-05-04 16:35:35.971186
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,6,5,Manav Suthar,Ruturaj Gaikwad,2 runs,93.5kph; full ball; driven to the left of long-off for a couple of runs,2026-05-04 16:35:35.971674
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,6,6,Manav Suthar,Ruturaj Gaikwad,1 run,another full delivery; eased along the ground to long-off,2026-05-04 16:35:35.972127
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,7,1,Jason Holder,Ruturaj Gaikwad,1 run,starts off with a back of a length delivery outside off; Gaikwad runs it down to third man,2026-05-04 16:35:35.972575
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,7,2,Jason Holder,Dewald Brevis,no run,angling in from back of a length; this one hurried onto him; Brevis gets right behind the line and defends it,2026-05-04 16:35:35.974774
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,7,3,Jason Holder,Dewald Brevis,no run,good length and angling in; no room whatssoever; Brevis stays back and defends it to the leg side,2026-05-04 16:35:35.976150
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,7,4,Jason Holder,Dewald Brevis,leg byes,1 run; GT lose a review; full and angling in; Brevis swings across the line and is struck on the pads; huge appeal was turned down; Holder convinces Gill to go for the review and the ball tracking shows it was missing leg stump,2026-05-04 16:35:35.976870
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,7,5,Jason Holder,Ruturaj Gaikwad,no run,good length delivery outside off; Gaikwad defends it to the off side,2026-05-04 16:35:35.977515
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,7,6,Jason Holder,Ruturaj Gaikwad,1 run,full and outside off; Gaikwad pushes it to cover for a quick single,2026-05-04 16:35:35.979331
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,8,1,Manav Suthar,Ruturaj Gaikwad,1 run,full and outside off; Gaikwad reaches out and flicks it to deep mid-wicket,2026-05-04 16:35:35.981830
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,8,2,Manav Suthar,Dewald Brevis,out Caught by Shubman Gill!! Another one bites the dust. Excellent bowling from Suthar,well flighted on middle; Brevis was looking to go inside out; was beaten the by the flight and skews it way up in the air towards cover; where Gill judges it to perfection; CSK are down and out. Dewald Brevis c Shubman Gill b Manav Suthar 2(9),2026-05-04 16:35:35.982421
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,8,3,Manav Suthar,Shivam Dube,no run,tossed up delivery outside off; Dube was looking to push it towards the off side; but it goes off the inside half back to the bowler,2026-05-04 16:35:35.983061
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,8,4,Manav Suthar,Shivam Dube,1 run,tossed up delivery outside off; Dube gets off the mark with a drive to long-off,2026-05-04 16:35:35.983623
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,8,5,Manav Suthar,Ruturaj Gaikwad,no run,this one turned; outside off and turning away with an extra bounce; Gaikwad is beaten all ends up,2026-05-04 16:35:35.984270
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,8,6,Manav Suthar,Ruturaj Gaikwad,no run,the straighter one; excellent variations from him; pushed this one through quicker; Gaikwad plays down the wrong line and is struck on the pads; loud appeal is turned down; that was missing leg,2026-05-04 16:35:35.984851
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,9,1,Jason Holder,Shivam Dube,FOUR,valiant effort in the deep; but the ball wins; short and wide outside off; Dube gets on top of the bounce nicely and cuts it to deep backward point; the fielder puts in the slide; but couldn't stop it,2026-05-04 16:35:35.985413
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,9,2,Jason Holder,Shivam Dube,no run,back of a length and outside off; Dube taps it to the off side and sets off for the single; sent back,2026-05-04 16:35:35.985986
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,9,3,Jason Holder,Shivam Dube,1 run,on a length and angling across; Dube pushes it to mid-off and sets off for a quick single; Ruturaj was bit late to take off,2026-05-04 16:35:35.986583
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,9,4,Jason Holder,Ruturaj Gaikwad,no run,this one kept a bit low; full and angling in; Gaikwad hangs back in the crease and defends it,2026-05-04 16:35:35.987386
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,9,5,Jason Holder,Ruturaj Gaikwad,no run,cramping him for any room; this one angled in sharply; Gaikwad got into a tangle; but defends it to the leg side,2026-05-04 16:35:35.988303
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,9,6,Jason Holder,Ruturaj Gaikwad,no run,back of a length and this one bounced a bit; Gaikwad gets right behind the line and defends it,2026-05-04 16:35:35.989319
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,10,1,Arshad Khan,Shivam Dube,leg byes,1 run; dream delivery to start with; nipping back in from a length; Dube was cut into half as the ball brushes the pads on its way to the keeper; who couldn't hold onto it. Replays show that there was an inside edge. Dropped by Jos Buttler,2026-05-04 16:35:35.990102
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,10,2,Arshad Khan,Ruturaj Gaikwad,no run,length and angling across; Gaikwad defends it to the off side,2026-05-04 16:35:35.990738
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,10,3,Arshad Khan,Ruturaj Gaikwad,no run,good length and angling across; Gaikwad walks down the track and pushes it to covers,2026-05-04 16:35:35.991347
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,10,4,Arshad Khan,Ruturaj Gaikwad,no run,back of a length and angling across outside off; Gaikwad reaches out for it away from the body and misses it,2026-05-04 16:35:35.991944
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,10,5,Arshad Khan,Ruturaj Gaikwad,no run,banged in short on middle and leg; Gaikwad works it towards short midwicket and looks for a single; sent back,2026-05-04 16:35:35.992484
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,10,6,Arshad Khan,Ruturaj Gaikwad,1 run,this time he gets the single; back of a length and slanting across; Gaikwad works it to deep mid-wicket,2026-05-04 16:35:35.993213
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,11,1,Jason Holder,Ruturaj Gaikwad,no run,sharp bouncer; Gaikwad is surprised by the delivery ducks under it,2026-05-04 16:35:35.993976
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,11,2,Jason Holder,Ruturaj Gaikwad,no run,back of a length and angling in; bit of extra bounce; Gaikwad stands tall and pushes it back to the bowler,2026-05-04 16:35:35.995231
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,11,3,Jason Holder,Ruturaj Gaikwad,no run,bit of width on offer; back of a length and outside off; Gaikwad reaches out to it and cuts it straight to the fielder at point,2026-05-04 16:35:35.997437
37_GTvsCSK,May 04,16:33:57,Narendra Modi Stadium,11,4,Jason Holder,Ruturaj Gaikwad,wide,banged in short on the stumps; far too high over the batsman,2026-05-04 16:35:35.998368
