match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,1,Mohammed Shami,Ajinkya Rahane,no run,starts with a full length delivery; hint of swing as Ajinkya Rahane squeezes it towards mid-on,2026-05-04 16:36:31.648868
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,2,Mohammed Shami,Ajinkya Rahane,no run,on a length around off; shaping away slightly; Ajinkya Rahane plays a solid forward defence,2026-05-04 16:36:31.649362
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,3,Mohammed Shami,Ajinkya Rahane,no run,shaping away from the batter outside off; it's a length delivery that Ajinkya Rahane steers towards backward point. Stopped with a dive to his left by the fielder,2026-05-04 16:36:31.649782
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,4,Mohammed Shami,Ajinkya Rahane,wide,gets some inswing on this length delivery; but it's a wide ball down the leg-side. Ajinkya Rahane fails to connect his leg glance,2026-05-04 16:36:31.650214
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,4,Mohammed Shami,Ajinkya Rahane,no run,that's a successful review by LSG. This was a length delivery down the leg-side; quite similar to the last ball; there was a little swing as well; and Rahane got beaten on his glance. No bat involved; but it's brushing Rahane's thigh pad on its way to the keeper. That's not a wide; umpire's decision has to be reversed,2026-05-04 16:36:31.650520
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,5,Mohammed Shami,Ajinkya Rahane,no run,back of a length outside off; Ajinkya Rahane steers it towards backward point where the fielder stops it with a dive to his left. Ajinkya Rahane yet to open his account,2026-05-04 16:36:31.650846
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,6,Mohammed Shami,Ajinkya Rahane,1 run,Ajinkya Rahane is finally off the mark. Has done well not to get out for a duck this time around. Back of a length delivery outside off; Ajinkya Rahane steers it through backward point and manages to beat the fielder's dive to his left. After getting out for two consecutive ducks; he opens his account in this match,2026-05-04 16:36:31.651161
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,1,Mohsin Khan,Ajinkya Rahane,no run,good length delivery around off; holds its line as Ajinkya Rahane steers it towards point,2026-05-04 16:36:31.651480
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,2,Mohsin Khan,Ajinkya Rahane,no run,pitched up by the bowler around middle and leg; Ajinkya Rahane drives it back to the bowler,2026-05-04 16:36:31.651813
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,3,Mohsin Khan,Ajinkya Rahane,leg byes,1 run; a player review for an lbw. It was a length delivery around middle and leg; Rahane looks to hack this across the line; but gets hit on the pads. The impact was in line; but it's pitching outside leg; confirms HawkEye. LSG have lost a review. That looked a frustrated shot by the KKR captain. Has been too cautious at the start of his innings. Played a rash shot and almost got out,2026-05-04 16:36:31.652147
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,4,Mohsin Khan,Tim Seifert,no run,pitched up by the bowler outside off; pushed towards mid-off by Tim Seifert,2026-05-04 16:36:31.652475
38_LSGvsKKR,May 04,16:33:57,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,5,Mohsin Khan,Tim Seifert,no run,back of a length outside off; shaping away from the batter; Tim Seifert looks to punch this on the rise; gets beaten,2026-05-04 16:36:31.652799
