match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,0,1,Bhuvneshwar Kumar,Sahil Parakh,no run,good start; on a length and around the off stump; hint of away swing; Parakh pushes at it and the ball goes off the outside edge to short third man,2026-05-04 16:37:09.218189
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,0,2,Bhuvneshwar Kumar,Sahil Parakh,out Bowled!! Castled,a duck on debut for Parakh; unplayable delivery from Bhuvi; an inswinging yorker on middle; Parakh had no answer to it as he plays all over it; the ball swings in late to uproot the middle stump; dream start for RCB. Sahil Parakh b Bhuvneshwar Kumar 0(2),2026-05-04 16:37:09.221266
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,0,3,Bhuvneshwar Kumar,Nitish Rana,1 run,full and swinging around the off stump; Rana drives it to wide mid-off; a slight fumble; but they settle for a single,2026-05-04 16:37:09.222536
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,0,4,Bhuvneshwar Kumar,Rahul,no run,back of a length and swinging in; Rahul gets right behind the line and defends it,2026-05-04 16:37:09.224469
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,0,5,Bhuvneshwar Kumar,Rahul,1 run,more swing on offer; on a length and shaping into the pads; Rahul flicks it away to backward square leg; he's off the mark,2026-05-04 16:37:09.225881
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,0,6,Bhuvneshwar Kumar,Nitish Rana,no run,excellent over from Bhuvi; good length outside off and shaping away from round the wicket; Rana leaves it alone,2026-05-04 16:37:09.226509
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,1,1,Josh Hazlewood,Rahul,out Caught by Jitesh Sharma!! Straight up and the keeper settles under it nicely,DC under trouble; back of a length outside off; this one hurried onto him; Rahul goes for the pull; not in a position to play the shot; top-edges it high in the air; Hazlewood strikes first ball and RCB are all over DC at the moment. Rahul c Jitesh Sharma b Josh Hazlewood 1(3),2026-05-04 16:37:09.227657
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,1,2,Josh Hazlewood,Sameer Rizvi,out Caught by Jitesh Sharma!! Another one,Hazlewood is on a hat-trick; the Test match line; good length and in the channel around the off stump; it moves away a bit and Rizvi had to play at it; goes for an expansive drive away from the body and nicks it back to the keeper. Sameer Rizvi c Jitesh Sharma b Josh Hazlewood 0(1),2026-05-04 16:37:09.228313
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,1,3,Josh Hazlewood,Tristan Stubbs,FOUR,no hat-trick for Hazlewood; shaping into the pads; Stubbs allows the ball to come onto him; gets into the position nicely and works it off his pads past the fielder to deep mid-wicket; the ball raced away on the practice pitch to the boundary,2026-05-04 16:37:09.229726
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,1,4,Josh Hazlewood,Tristan Stubbs,1 run,pitched up and in the slot; Stubbs gets a good stride forward and drives it to extra cover; good stop by the fielder,2026-05-04 16:37:09.231716
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,1,5,Josh Hazlewood,Nitish Rana,no run,back of a length and angling across; Rana stays back to defend; but the ball goes off the bottom edge towards the keeper,2026-05-04 16:37:09.233616
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,1,6,Josh Hazlewood,Nitish Rana,no run,great finish to the over; another play and a miss; good length delivery around the channel outside off and seaming away; teasing line; Rana had to play at it and the ball just whizzes past the outside edge,2026-05-04 16:37:09.238104
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,2,1,Bhuvneshwar Kumar,Tristan Stubbs,out Caught by Devdutt Padikkal!! DC are imploding at the moment,lovely little out swinger just outside off; Stubbs could have left it alone; but decides to poke at it away from the body and edges it straight to Dev at first slip; Bhuvi gets his second. Tristan Stubbs c Devdutt Padikkal b Bhuvneshwar Kumar 5(3) [4s-1],2026-05-04 16:37:09.239880
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,2,2,Bhuvneshwar Kumar,Axar Patel,no run,great line around the off stump and shaping away; Patel leaves it alone,2026-05-04 16:37:09.240959
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,2,3,Bhuvneshwar Kumar,Axar Patel,no run,yorker length delivery just outside off; Patel plays all over it and misses it completely; the keeper was confident that he had nicked it and goes for the review and there was a clear gap between bat and ball,2026-05-04 16:37:09.241681
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,2,4,Bhuvneshwar Kumar,Axar Patel,out Caught by Jitesh Sharma!! What's happening here? Bhuvi is bowling a dream spell,good length delivery outside off and swinging away; perfect seam position; Patel looks to defend and the ball goes off the bottom edge back to the Jitesh; who just can't control his excitement as he had burned a review last ball. Axar Patel c Jitesh Sharma b Bhuvneshwar Kumar 0(3),2026-05-04 16:37:09.243165
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,2,5,Bhuvneshwar Kumar,Abishek Porel,no run,nicely timed; but a good stop at point; hint of width from Bhuvi; Porel slays it straight to point,2026-05-04 16:37:09.244059
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,2,6,Bhuvneshwar Kumar,Abishek Porel,wide,terrific take from Jitesh behind the wicket; full and swinging down the leg side; Jitesh dives to his right and stops it,2026-05-04 16:37:09.244703
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,2,6,Bhuvneshwar Kumar,Abishek Porel,no run,full and swinging in on middle; Porel just manages to dig it out towards mid on,2026-05-04 16:37:09.245390
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,3,1,Josh Hazlewood,Nitish Rana,no run,back of a length delivery outside off and shaping away; Rana leaves it alone,2026-05-04 16:37:09.246212
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,3,2,Josh Hazlewood,Nitish Rana,no run,excellent stop from Krunal at point; he's saved a certain boundary; pitched up and just outside off; full-blooded drive from Rana and Krunal dives to his left and stops it,2026-05-04 16:37:09.246940
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,3,3,Josh Hazlewood,Nitish Rana,no run,full on middle and shaping in; Rana pushes it back to the bowler,2026-05-04 16:37:09.247484
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,3,4,Josh Hazlewood,Nitish Rana,no run,good length delivery outside off and angling in from round the wicket; Rana lets it go through,2026-05-04 16:37:09.248019
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,3,5,Josh Hazlewood,Nitish Rana,out Caught by Devdutt Padikkal!! RCB are bossing over DC,clever bowling from Hazlewood; banged in short aimed at his body; Rana gets into a tangle; takes his eyes off the ball and the ball loops off the gloves towards gully; where Dev takes an easy catch. Nitish Rana c Devdutt Padikkal b Josh Hazlewood 1(9),2026-05-04 16:37:09.248575
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,3,6,Josh Hazlewood,David Miller,1 run,short outside off stump; Miller taps it to backward point to get off the mark,2026-05-04 16:37:09.249213
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,4,1,Bhuvneshwar Kumar,David Miller,no run,outside edge and this time it hasn't carried to the fielder; once again probing line around the off stump; Miller reaches out for it and edges it; it fell just short of Dev at slip,2026-05-04 16:37:09.249872
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,4,2,Bhuvneshwar Kumar,David Miller,no run,good length delivery angling in from round the wicket; Miller defends it to the off side,2026-05-04 16:37:09.250639
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,4,3,Bhuvneshwar Kumar,David Miller,no run,back of a length delivery on middle; Miller plays it to the onside,2026-05-04 16:37:09.251425
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,4,4,Bhuvneshwar Kumar,David Miller,no run,back of a length and angling across; Miller gets right behind the line and defends it,2026-05-04 16:37:09.252377
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,4,5,Bhuvneshwar Kumar,David Miller,2 runs,full and sliding into the pads from round the wicket; Miller works it in the gap to square leg; they take on the fielder for the second and a direct hit at the non striker's end would have been close,2026-05-04 16:37:09.253245
39_DCvsRCB,May 04,16:33:57,Arun Jaitley Stadium,4,6,Bhuvneshwar Kumar,David Miller,no run,full and tailing in; Miller plays a bit early and the ball goes off the leading edge towards the off side,2026-05-04 16:37:09.256003
