match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,0,1,Jofra Archer,Prabhsimran Singh,no run,138.1kph; in-seaming short of a good length ball on middle-leg; Prabhsimran defends from the crease,2026-05-04 16:37:58.464365
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,0,2,Jofra Archer,Prabhsimran Singh,FOUR,there you go! 140.4kph; short and wide from Jofra; Prabhsimran moves leg-side and throws his arms to flay it over the covers. Prabhsimran and PBKS underway with a boundary,2026-05-04 16:37:58.465414
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,0,3,Jofra Archer,Prabhsimran Singh,leg byes,FOUR; 142.7kph; straying onto the pads; Prabhsimran misses the flick. The ball brushes the thigh and runs away fine to the fine leg fence,2026-05-04 16:37:58.466949
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,0,4,Jofra Archer,Prabhsimran Singh,no run,142.4kph; cramps the batter for room with this in-seaming short of length ball. Beats Prabhsimran's inside edge who backs away and the ball rolls into the off-side the thigh,2026-05-04 16:37:58.467511
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,0,5,Jofra Archer,Prabhsimran Singh,no run,143.3kph; fuller ball angling in; Prabhsimran backs away and clears his front leg to swing across the line. Misses and gets hit on the thigh. The ball rolls perilously close to the stumps,2026-05-04 16:37:58.468043
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,0,6,Jofra Archer,Prabhsimran Singh,no run,146.3kph; pad-lined short of length ball; Prabhsimran nudges it into the leg-side behind square. So; a wicketless opening over from Jofra,2026-05-04 16:37:58.468560
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,1,1,Nandre Burger,Priyansh Arya,2 runs,140.6kph; with a slip in place; Burger starts with a short ball. Priyansh wants to go after it with a pull shot. Hits him high on the bat and hence the timing isn't spot-on. Goes over midwicket and he gets off the mark with a brace,2026-05-04 16:37:58.469102
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,1,2,Nandre Burger,Priyansh Arya,FOUR,140.4kph; better contact and Priyansh collects his first boundary. Not as short as the previous delivery. It's just below the waist and Priyansh slams the pull well in front of square on the leg-side,2026-05-04 16:37:58.469625
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,1,3,Nandre Burger,Priyansh Arya,SIX,classy stroke from Priyansh Arya! 140.8kph; width on offer; Priyansh rises as the ball comes towards him and plays a beautiful stroke. Lovely swing of the willow to dispatch it over deep extra cover. Goes all the way and he poses for the photographs,2026-05-04 16:37:58.470179
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,1,4,Nandre Burger,Priyansh Arya,FOUR,139.2kph; short of length outside off; Priyansh stands tall and nicely elevates it over backward point for a one-bounce four,2026-05-04 16:37:58.470728
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,1,5,Nandre Burger,Priyansh Arya,FOUR,144.5kph; now a streaky four! Fuller in length; shapes away a bit outside off; Priyansh drives hard off the front foot and the outside edge flies fine of the short third man fielder,2026-05-04 16:37:58.471282
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,1,6,Nandre Burger,Priyansh Arya,1 run,145.1kph; bit of width outside off and Priyansh pushes it to the right of backward point. Donovan Ferreira dives but fails to stop it cleanly. 21 runs off the over!,2026-05-04 16:37:58.472008
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,2,1,Jofra Archer,Priyansh Arya,FOUR,where's first slip? 138.8kph; climbs from a short of a good length; hint of away movement off the deck as well. Priyansh has a poke at it and the outside edge goes wide of the diving Dhruv Jurel. Would have gone straight to 1st slip. Archer indicates to Parag that he didn't notice the absence of the slip fielder,2026-05-04 16:37:58.472610
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,2,2,Jofra Archer,Priyansh Arya,no run,142.5kph; with a slip in place now; Archer bowls a short ball. The bounce troubles him but hops and awkwardly defends it adjacent to the pitch on the off-side,2026-05-04 16:37:58.473418
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,2,3,Jofra Archer,Priyansh Arya,no run,inswinger; pad-lined; Priyansh flicks and misses. Dhruv Jurel dives to his right to grab it. He appeals for a catch but Archer wasn't interested. There was a player review; probably from Punjab for a wide. But it definitely brushed the pad. So; PBKS burn a review,2026-05-04 16:37:58.474338
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,2,4,Jofra Archer,Priyansh Arya,FOUR,142.3kph; in the air; a hopping Yashasvi Jaiswal at deep first slip fails to catch it. He can't catch and the ball rolls away to third man for four. Cracking delivery from Jofra. Keeps rising from a back of a length and Priyansh plays a nothing shot. Looks to push it off the back foot with an opened bat-face and the ball flies off the outside edge. Jasiwal; almost at the edge of the 30-yard circle; times his jump well but lets the ball burst through his palms. Archer covers his face with his left palm as the ball runs away to the fence,2026-05-04 16:37:58.478167
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,2,5,Jofra Archer,Priyansh Arya,out Caught by Nandre Burger!! Gone this time! 150.1kph,Jofra goes fuller; Priyansh tries to loft it downtown. The bat turns at the point of impact and the timing goes awry. Burger takes a safe catch at mid-off. Just a stare and no reaction post that from the bowler. End of Priyansh's cameo. Jofra has once again struck in the powerplay. Jofra troubled the left-hander throughout the over and gets his man. Priyansh Arya c Nandre Burger b Jofra Archer 29(11) [4s-5 6s-1],2026-05-04 16:37:58.479354
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,2,6,Jofra Archer,Cooper Connolly,no run,left alone outside off,2026-05-04 16:37:58.480217
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,3,1,Nandre Burger,Prabhsimran Singh,no run,in-slanter; Prabhsimran nudges it into the leg-side,2026-05-04 16:37:58.481365
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,3,2,Nandre Burger,Prabhsimran Singh,2 runs,Prabhsimran clears his front leg to heave across the line and gets enough wood to clear the mid-on fielder,2026-05-04 16:37:58.482723
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,3,3,Nandre Burger,Prabhsimran Singh,no run,Prabhsimran backs away and Burger follows with him an in-seamer. All the opener manages is an inside edge and the ball rolls to short fine leg,2026-05-04 16:37:58.483879
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,3,4,Nandre Burger,Prabhsimran Singh,FOUR,smashed! Pitched up by Burger attacking the stumps; Prabhsimran takes his front leg out of the way and swings hard to drill it to the left of the bowler. That was struck really hard by the right-hander,2026-05-04 16:37:58.484893
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,3,5,Nandre Burger,Prabhsimran Singh,FOUR,122kph; pace off and shortened length. Prabhsimran spots it; waits for it and hammers the pull over midwicket,2026-05-04 16:37:58.485885
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,3,6,Nandre Burger,Prabhsimran Singh,1 run,144kph; goes for the yorker and Prabhsimran watchfully jams it towards mid-off and keeps the strike with a single,2026-05-04 16:37:58.487262
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,4,1,Brijesh Sharma,Prabhsimran Singh,no run,133.9kph; pitched up on off; Prabhsimran doesn't quite get the timing right as he drives hard to mid-off,2026-05-04 16:37:58.488158
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,4,2,Brijesh Sharma,Prabhsimran Singh,1 run,full on leg; pushed towards the mid-on region,2026-05-04 16:37:58.489032
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,4,3,Brijesh Sharma,Cooper Connolly,no run,137kph; full ball from round the wicket; Connolly drives to mid-off,2026-05-04 16:37:58.490542
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,4,4,Brijesh Sharma,Cooper Connolly,no run,slower ball into the deck; Connolly is early into the pull and gets hit on the tummy. May have got an inside-edge as well,2026-05-04 16:37:58.493154
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,4,5,Brijesh Sharma,Cooper Connolly,wide,136kph; full and down leg; Connolly flicks and misses. Dhruv Jurel dives to gather it,2026-05-04 16:37:58.494021
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,4,5,Brijesh Sharma,Cooper Connolly,1 run,133.8kph; skids off the deck from a length and Connolly hurriedly flicks towards short fine leg off the inner edge,2026-05-04 16:37:58.495022
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,4,6,Brijesh Sharma,Prabhsimran Singh,1 run,138.3kph; yorker length; jammed down to long-on,2026-05-04 16:37:58.496027
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,5,1,Nandre Burger,Prabhsimran Singh,SIX,146.1kph; full delivery on the pads and Prabhsimran and flicks it with aplomb over deep backward square leg for a 67m six. There's a fielder in the deep and the ball sails over his head,2026-05-04 16:37:58.497256
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,5,2,Nandre Burger,Prabhsimran Singh,1 run,full again; better line; knocked wide of mid-on for a single,2026-05-04 16:37:58.498266
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,5,3,Nandre Burger,Cooper Connolly,1 run,141.7kph; fullish ball; driven to the right of mid-off,2026-05-04 16:37:58.499129
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,5,4,Nandre Burger,Prabhsimran Singh,no run,144.4kph; full ball; defensively pushed to mid-off,2026-05-04 16:37:58.500015
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,5,5,Nandre Burger,Prabhsimran Singh,1 run,143.3kph; Prabhsimran backs away to a full delivery to drill it down the ground. Doesn't time it well and Jofra makes a diving stop to his right at mid-off,2026-05-04 16:37:58.500971
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,5,6,Nandre Burger,Cooper Connolly,FOUR,boundary to end the over! 144.3kph; pitched up from Burger and Connolly presses forward to play a good-looking aerial drive over mid-off. High elbow and he poses for the photographs. 65 runs in the powerplay; with Burger leaking 45 in 3 overs!,2026-05-04 16:37:58.501784
40_PKvsRR,May 04,16:33:57,Maharaja Yadavindra Singh International Cricket Stadium,6,1,Yash Raj Punja,Prabhsimran Singh,1 run,over the wicket; fullish ball drifting in; clipped to backward square leg,2026-05-04 16:37:58.502463
