match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,0,1,Pat Cummins,Will Jacks,1 run,good start from Cummins. Yorker on middle. Jacks jams it out to backward point. The fielder dives to his left and keeps it down to a single,2026-05-04 16:38:49.152875
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,0,2,Pat Cummins,Ryan Rickelton,no run,good length delivery on middle. Not much swing on offer. Rickelton gets behind the line and defends it to mid-off,2026-05-04 16:38:49.153355
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,0,3,Pat Cummins,Ryan Rickelton,no run,pitches on middle and leg; Rickelton is right behind the line in defence,2026-05-04 16:38:49.153829
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,0,4,Pat Cummins,Ryan Rickelton,no run,beaten! Wasn't far away from the off-stump. Was angled across the left-hander; Rickelton looks to slog it across the line and misses,2026-05-04 16:38:49.154287
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,0,5,Pat Cummins,Ryan Rickelton,1 run,Rickelton tries to force it to the off-side. Gets a thick inside edge an the ball runs down to deep backward square leg. This was angled across the left-hander,2026-05-04 16:38:49.154779
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,0,6,Pat Cummins,Will Jacks,FOUR,length delivery on off. Jacks goes through with the shot. Doesn't get it off the meat; but has enough bat to clear the in-field. The outfield is quick and the ball races away for Mumbai Indian's first boundary,2026-05-04 16:38:49.155344
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,1,1,Praful Hinge,Ryan Rickelton,SIX,Shot! Praful Hinge has been greeted with a massive six. Length delivery on off; Rickelton picks it up early and heaves it over deep mid-wicket. The new ball flies into the stands,2026-05-04 16:38:49.157540
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,1,2,Praful Hinge,Ryan Rickelton,1 run,back of a length delivery on off; Rickelton pushes it wide of mid-on for a quick single,2026-05-04 16:38:49.160514
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,1,3,Praful Hinge,Will Jacks,FOUR,phew! This was hit with some power. There was a fielder in the deep. He hardly had 10 yards to move; but the ball beats him for four. Was short and wide outside off; Jacks slaps it wide of deep point,2026-05-04 16:38:49.161469
41_MIvsSH,May 04,16:33:57,Wankhede Stadium,1,4,Praful Hinge,Will Jacks,FOUR,more runs. Hinge sees Jacks advance down the track and bowls it short outside off. Jacks reaches out for the ball and looks to pull. Takes the top edge and flies over slip cordon,2026-05-04 16:38:49.162266
