match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,0,1,Mohammed Siraj,Jacob Bethell,no run,short of a length around off; shaping away from the batter; Jacob Bethell has a poke at it; gets beaten due to the movement,2026-05-04 16:39:37.789263
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,0,2,Mohammed Siraj,Jacob Bethell,1 run,on the shorter side outside off; Jacob Bethell rides the bounce; steering it away for the first run of the match,2026-05-04 16:39:37.792145
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,0,3,Mohammed Siraj,Virat Kohli,no run,that's a lovely delivery by Mohammed Siraj; outside off and shaping away from the batter; Virat Kohli has a poke and gets beaten,2026-05-04 16:39:37.792862
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,0,4,Mohammed Siraj,Virat Kohli,1 run,almost chopped on. Back of a length delivery around off; shapes in slightly as Virat Kohli plays it with soft hands. The ball almost ricochets onto the stumps. They take a single by the time the keeper moves forward to gather it,2026-05-04 16:39:37.793297
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,0,5,Mohammed Siraj,Jacob Bethell,no run,drifting on the pads; it's a length delivery that Jacob Bethell clips towards mid-wicket,2026-05-04 16:39:37.793707
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,0,6,Mohammed Siraj,Jacob Bethell,FOUR,first boundary of the match! Short and wide outside off; Jacob Bethell throws the kitchen sink at it; slashing it away to the deep backward point boundary. No chance of stopping that as the fielder at third man was pretty fine. A decent over by Mohammed Siraj; barring this boundary ball,2026-05-04 16:39:37.794093
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,1,1,Kagiso Rabada,Virat Kohli,FOUR,short and punished! Virat Kohli into the act now. This was on the shorter side; Virat Kohli pulls it over mid-wicket for a boundary. Kagiso Rabada being greeted with a boundary,2026-05-04 16:39:37.794575
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,1,2,Kagiso Rabada,Virat Kohli,FOUR,back-to-back boundaries! Back of a length delivery around off; Virat Kohli plays it on the rise; lofting it over wide mid-off. Clears the infield comfortably and that's four more,2026-05-04 16:39:37.795112
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,1,3,Kagiso Rabada,Virat Kohli,FOUR,hat-trick of boundaries! Virat Kohli on the charge. Short of a length delivery outside off; Virat Kohli plays it late; carving this away to the deep point fence,2026-05-04 16:39:37.795630
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,1,4,Kagiso Rabada,Virat Kohli,FOUR,4;4;4;4. Now towards the left side of the fielder at square third man. Back of a length delivery outside off; Virat Kohli carves it away to the fence once again. The fielder in the deep couldn't do much about it,2026-05-04 16:39:37.796260
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,1,5,Kagiso Rabada,Virat Kohli,FOUR,make that five in a row. All class. This was pitched up by the bowler outside off and Virat Kohli creamed it through covers for the 5th consecutive boundary. Kagiso Rabada has been among the wickets this season; but Kohli has absolutely torn him apart in his 1st over itself,2026-05-04 16:39:37.796787
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,1,6,Kagiso Rabada,Virat Kohli,1 run,pitched up by the bowler as Virat Kohli drives it right down the pitch; as Kagiso Rabada gets his shoe to it; deflecting it away towards mid-on,2026-05-04 16:39:37.797272
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,2,1,Mohammed Siraj,Virat Kohli,no run,back of a length around middle and leg; keeps a touch low; Virat Kohli looks to nudge it away; gets an inside edge onto the pads. That inside edge has saved him; else it looked an lbw dismissal,2026-05-04 16:39:37.797878
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,2,2,Mohammed Siraj,Virat Kohli,SIX,more runs for Virat Kohli! He advances down the wicket and tonks the length delivery over long-on for the first maximum of the evening. RCB; RCB chants all across the Narendra Modi Stadium,2026-05-04 16:39:37.798440
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,2,3,Mohammed Siraj,Virat Kohli,leg byes,1 run; fired on leg; it's a length delivery; Virat Kohli looks to whip it away; gets hit on the pads though. A leg bye taken,2026-05-04 16:39:37.798997
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,2,4,Mohammed Siraj,Jacob Bethell,out Caught by Rashid Khan!! Mohammed Siraj draws first blood. Runs were coming thick and fast,but Mohammed Siraj takes a wicket. That was a pretty soft dismissal though. Was a length delivery on middle and leg; Jacob Bethell flicks it straight to the man at mid-wicket. Rashid Khan takes a safe catch; and the left-handed opener is going without making an impact. Think Bethell was dismissed by Siraj in the reverse fixture at the Chinnaswamy too. Jacob Bethell c Rashid Khan b Mohammed Siraj 5(5) [4s-1],2026-05-04 16:39:37.799501
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,2,5,Mohammed Siraj,Devdutt Padikkal,no run,short and wide outside off; some extra bounce; Devdutt Padikkal looks to cut it on the rise; gets beaten due to the bounce though. Good amount of carry,2026-05-04 16:39:37.800051
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,2,6,Mohammed Siraj,Devdutt Padikkal,no run,fraction short around off; Devdutt Padikkal plays it on the up; knocking it towards mid-off,2026-05-04 16:39:37.800549
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,3,1,Kagiso Rabada,Virat Kohli,wide,not a great line as Kagiso Rabada sprays it down the leg-side. A gentle glance would have fetched Virat Kohli a boundary; but he fails to make contact,2026-05-04 16:39:37.801199
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,3,1,Kagiso Rabada,Virat Kohli,no run,good length delivery that skids along the deck; Virat Kohli looks to defend; gets an inside edge onto the pads,2026-05-04 16:39:37.801804
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,3,2,Kagiso Rabada,Virat Kohli,out Caught by Rashid Khan!! Kagiso Rabada has the last laugh! After conceding five boundaries in his 1st over,Kagiso Rabada roars back in style. He looks animated as soon as Rashid Khan takes this catch. That's the quality he has. Didn't get bogged down despite VK taking him on. This was a short and quick delivery around middle and leg; Virat Kohli gets hurried up due to the pace and bounce as he advances down the wicket. Loses his shape while playing this across the line and the top edge has been taken by the fielder at mid-wicket. Gives the batsman as a stare on his way back to the pavilion. Virat Kohli c Rashid Khan b Kagiso Rabada 28(13) [4s-5 6s-1],2026-05-04 16:39:37.802423
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,3,3,Kagiso Rabada,Rajat Patidar,no run,defended watchfully by Rajat Patidar,2026-05-04 16:39:37.803093
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,3,4,Kagiso Rabada,Rajat Patidar,FOUR,Rajat Patidar is off the mark in style. This was pitched up by the bowler and Rajat Patidar drives it straight past KG. Played it as straight as an arrow and gets going with a boundary,2026-05-04 16:39:37.803879
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,3,5,Kagiso Rabada,Rajat Patidar,no run,drags back his length slightly; Rajat Patidar defends it from within the crease,2026-05-04 16:39:37.804530
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,3,6,Kagiso Rabada,Rajat Patidar,no run,defends it on the rise; knocking it back to the pacer. A much better over by Rabada as compared to the previous one,2026-05-04 16:39:37.805602
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,4,1,Mohammed Siraj,Devdutt Padikkal,no run,on a length around off; Devdutt Padikkal drives it to the fielder at cover,2026-05-04 16:39:37.806187
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,4,2,Mohammed Siraj,Devdutt Padikkal,SIX,smoked over deep mid-wicket! Fraction short; Devdutt Padikkal picks the length early and hoicks it over the deep mid-wicket fence for a 73m maximum. Mohammed Siraj immediately changes his direction after delivering that; starts walking backing to his run-up mark,2026-05-04 16:39:37.806776
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,4,3,Mohammed Siraj,Devdutt Padikkal,FOUR,slashed away! Short in length outside off; Devdutt Padikkal makes room and throws the kitchen sink at it; gets a top edge that flies down to the third man fence,2026-05-04 16:39:37.807290
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,4,4,Mohammed Siraj,Devdutt Padikkal,no run,fraction short outside off; Devdutt Padikkal steers it towards cover-point,2026-05-04 16:39:37.807904
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,4,5,Mohammed Siraj,Devdutt Padikkal,no run,on the shorter side around middle and leg; Devdutt Padikkal advances down the wicket and clips this towards mid-wicket,2026-05-04 16:39:37.808601
42_GTvsRCB,May 04,16:33:57,Narendra Modi Stadium,4,6,Mohammed Siraj,Devdutt Padikkal,FOUR,50 up for RCB! This was short again; Devdutt Padikkal gets hurried up due to the pace; goes for the pull and manages to clear Rashid Khan at mid-wicket. He chases it all the way to the fence and puts in a dive; but can't stop the boundary,2026-05-04 16:39:37.810438
