match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,0,1,Mitchell Starc,Yashasvi Jaiswal,SIX,Jaiswal welcomes Starc with a massive six over square leg; short and in the slot; Jaiswal was hanging back; picks it and swings it across the line over backward square leg,2026-05-04 16:40:25.652459
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,0,2,Mitchell Starc,Yashasvi Jaiswal,no run,back of a length delivery outside off; Jaiswal taps it to the off side,2026-05-04 16:40:25.653046
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,0,3,Mitchell Starc,Yashasvi Jaiswal,out Caught&Bowled!! Starc has the last laugh,his maiden wicket this season; it was a poor delivery though; a full-toss on middle; Jaiswal was surprised by the delivery and looks to swing it across the line; the ball balloons up off the top half of the bat and Starc settles under it comfortably; they checked whether it was above the waist; but it's a fair delivery and Jaiswal has to walk back. Yashasvi Jaiswal c and b Mitchell Starc 6(3) [6s-1],2026-05-04 16:40:25.653659
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,0,4,Mitchell Starc,Dhruv Jurel,no run,full and swinging in from outside off; Jurel gets forward and pushes it towards mid on,2026-05-04 16:40:25.654164
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,0,5,Mitchell Starc,Dhruv Jurel,no run,excellent delivery; in the channel just outside off and this one moves away a bit; Jurel pokes at it and misses,2026-05-04 16:40:25.654707
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,0,6,Mitchell Starc,Dhruv Jurel,1 run,too full and swinging in; Jurel pushes it to mid-off for a quick single; good first over from Starc,2026-05-04 16:40:25.655234
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,1,1,Kyle Jamieson,Dhruv Jurel,no run,angling in from outside off; Jurel gets forward and defends it towards covers,2026-05-04 16:40:25.655836
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,1,2,Kyle Jamieson,Dhruv Jurel,no run,Jurel is beaten comprehensively; short on middle and shaping away; Jurel walks down the track and is completely beaten by the swing; he's looking clueless,2026-05-04 16:40:25.656393
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,1,3,Kyle Jamieson,Dhruv Jurel,1 run,back of a length and outside off; Jurel taps it to gully; all eyes on Sooryavanshi now,2026-05-04 16:40:25.656985
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,1,4,Kyle Jamieson,Vaibhav Sooryavanshi,FOUR,take that; that the only way he knows to play; pitched up and in the slot; Sooryavanshi stands tall and drills it all along the ground to long-off; no soul moved,2026-05-04 16:40:25.657561
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,1,5,Kyle Jamieson,Vaibhav Sooryavanshi,out Bowled!! DC are pumped,good comeback from Jamieson; low dipping full-toss; Sooryavanshi was hanging back in the crease and looks to dig it out; the ball takes the under-edge and deflects off the back pad onto the stumps. The aggressive openers are back in the hut. Vaibhav Sooryavanshi b Kyle Jamieson 4(2) [4s-1],2026-05-04 16:40:25.657989
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,1,6,Kyle Jamieson,Riyan Parag,no run,good length delivery outside off and shaping away; Parag leaves it alone,2026-05-04 16:40:25.658416
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,2,1,Mitchell Starc,Dhruv Jurel,FOUR,hint of width outside off stump; Jurel latches onto it in a flash; gets into a good position and square drives it past the fielder square of the wicket; that raced away,2026-05-04 16:40:25.658925
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,2,2,Mitchell Starc,Dhruv Jurel,1 run,full outside off and angling across; Jurel slices it to deep backward point,2026-05-04 16:40:25.659687
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,2,3,Mitchell Starc,Riyan Parag,no run,back of a length delivery outside off and angling across; Parag slashes hard at it and misses,2026-05-04 16:40:25.661504
43_RRvsDC,May 04,16:33:57,Sawai Mansingh Stadium,2,4,Mitchell Starc,Riyan Parag,no run,banged in short just outside off; Parag goes for the pull and misses it; it got big on him and he was late into the shot,2026-05-04 16:40:25.662533
