match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,0,1,Mukesh Choudhary,Will Jacks,no run,139.5kph; play and miss! Extra bounce from a short of length outside off; Jacks looks to cut and the ball goes over his blade. Good carry-through to the keeper as well,2026-05-04 16:41:17.989071
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,0,2,Mukesh Choudhary,Will Jacks,no run,137.3kph; full delivery swinging in; ends on the pads; Jacks flicks and misses to get hit on the pad,2026-05-04 16:41:17.989543
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,0,3,Mukesh Choudhary,Will Jacks,1 run,143.3kph; Mukesh Choudhary pulls his length back; Jacks stays leg-side; opens the bat-face and steers it to third man to get off the mark,2026-05-04 16:41:17.990051
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,0,4,Mukesh Choudhary,Ryan Rickelton,no run,full delivery that swings away late outside off; Rickelton watchfully defends it into the off-side,2026-05-04 16:41:17.990511
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,0,5,Mukesh Choudhary,Ryan Rickelton,no run,141.6kph; short of a good length ball; slanting in towards leg; Rickelton knocks it to mid-on,2026-05-04 16:41:17.991016
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,0,6,Mukesh Choudhary,Ryan Rickelton,no run,141.1kph; not that short to be cutting and Rickelton under-edges it towards cover. Tidy opening over from Mukesh - just 1 off it,2026-05-04 16:41:17.991534
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,1,1,Anshul Kamboj,Will Jacks,no run,fullish delivery with a slip in place; Jacks shimmies down; moves leg-side in the process and throws his arms to slap it to extra cover,2026-05-04 16:41:17.992060
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,1,2,Anshul Kamboj,Will Jacks,out Caught by Ramakrishna Ghosh!! In the air and taken! Ramakrishna Ghosh makes an impact in the field with a brilliant catch. 134.1kph,fullish delivery; Jacks steps out of his crease and backs away in the process to swing across the line. The ball moves away a bit off the deck and the ball flies over backward point off the outer part of the bat. Ghosh runs in from deep backward point; dives forward to snaffle it with both hands inches above the turn. Everything was right about that catch. Even after catching; he ensures that the ball doesn't pop out when his elbows hit the ground. CSK get the early breakthrough. Will Jacks c Ramakrishna Ghosh b Anshul Kamboj 1(5),2026-05-04 16:41:17.992613
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,1,3,Anshul Kamboj,Naman Dhir,no run,good length that shapes away a bit; Naman Dhir defends it into the off-side,2026-05-04 16:41:17.993103
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,1,4,Anshul Kamboj,Naman Dhir,FOUR,streaky boundary to get off the mark! Inswinging very full ball; Dhir hurriedly brings his bat down and gets a thick inside edge that runs away to fine leg for four,2026-05-04 16:41:17.993545
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,1,5,Anshul Kamboj,Naman Dhir,no run,beaten! Seams back in from a length; Dhir looks to waft it through the off-side with an angled blade and gets beaten on the inside edge,2026-05-04 16:41:17.994163
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,1,6,Anshul Kamboj,Naman Dhir,no run,beaten again! 135.4kph; good lift from a short of length; this one holds its line outside off. Dhir swings wildly across the line and the ball goes past his outside edge. Testing over from Anshul Kamboj,2026-05-04 16:41:17.994766
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,2,1,Mukesh Choudhary,Ryan Rickelton,no run,139.7kph; another play and miss! Short of length; Rickelton looks to play across the line and misses as the ball sneaks past the inside edge,2026-05-04 16:41:17.995298
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,2,2,Mukesh Choudhary,Ryan Rickelton,SIX,141.3kph; fuller ball; curls away as well. Rickelton stays leg-side even as he steps out; crouches low and reaches for it as he stylishly carves it over sweeper cover. The timing is exquisite,2026-05-04 16:41:17.996112
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,2,3,Mukesh Choudhary,Ryan Rickelton,SIX,140.3kph; Mukesh Choudhary pulls his length back; Rickelton sees it coming. Stands tall and waits for the ball to come to him before dispatching it over deep midwicket with a thumping pull shot,2026-05-04 16:41:17.996727
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,2,4,Mukesh Choudhary,Ryan Rickelton,no run,139.3kph; pushes this length ball towards cover and Rickelton sets off for a single; gets sent back by Naman Dhir who screams 'no',2026-05-04 16:41:17.997343
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,2,5,Mukesh Choudhary,Ryan Rickelton,1 run,141.5kph; width on offer and Rickelton steers it to deep backward point,2026-05-04 16:41:17.997896
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,2,6,Mukesh Choudhary,Naman Dhir,2 runs,138.7kph; back of a length; Dhir pulls hard. Hits him high on the bat and the timing is spot on. Ramakrishna Ghosh moves to his left in the deep to cut it off,2026-05-04 16:41:17.998519
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,3,1,Anshul Kamboj,Ryan Rickelton,1 run,137kph; on a length and wide of off; Rickelton cuts it to deep backward point,2026-05-04 16:41:17.999087
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,3,2,Anshul Kamboj,Naman Dhir,SIX,first six for Naman Dhir! 136kph; short of a good length ball on off-middle; Dhir rises as the ball comes to him; clears his front leg and swings through the line to tonk it over wide long-on for an 89m six,2026-05-04 16:41:17.999737
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,3,3,Anshul Kamboj,Naman Dhir,1 run,138kph; short of length outside off; punched to deep point,2026-05-04 16:41:18.000370
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,3,4,Anshul Kamboj,Ryan Rickelton,no run,136.6kph; beaten! Fuller than a length outside off; may have further moved away after pitching; Rickelton crouches a bit to swing it over midwicket and misses,2026-05-04 16:41:18.001044
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,3,5,Anshul Kamboj,Ryan Rickelton,no run,run-out chance and Rickelton survives! 135.9kph; yorker length; Rickelton looks to squeeze it through the covers. He ends up jamming it into the pitch and Kamboj moves to his right to collect it. The bowler has a shy at the stumps at the keeper's end and misses the target. Rickelton had given up as he was well outside the crease. Luckily for him; there was no direct-hit. Kamboj has his hands on head,2026-05-04 16:41:18.001821
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,3,6,Anshul Kamboj,Ryan Rickelton,1 run,short of length outside off; chopped to deep backward point,2026-05-04 16:41:18.002661
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,4,1,Prashant Veer,Ryan Rickelton,no run,round the wicket; very full; in the blockhole and that's been jammed back at the bowler,2026-05-04 16:41:18.003476
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,4,2,Prashant Veer,Ryan Rickelton,no run,94.3kph; overpitched outside off; Rickelton leans across and drills it straight to mid-off,2026-05-04 16:41:18.004215
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,4,3,Prashant Veer,Ryan Rickelton,SIX,86kph; slower and on a length; Rickelton gets down on one leg to slogsweep it over long leg for a 76m six. It came right off the meat of the bat,2026-05-04 16:41:18.004894
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,4,4,Prashant Veer,Ryan Rickelton,no run,94.7kph; quicker one outside off; Rickelton hurriedly cuts to extra cover,2026-05-04 16:41:18.005550
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,4,5,Prashant Veer,Ryan Rickelton,SIX,95.6kph; Veer goes fuller and this one is closer to off. Rickelton brings out the slogsweep once again and clears the long-on fielder comfortably. Jamie Overton is a mere spectator,2026-05-04 16:41:18.006486
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,4,6,Prashant Veer,Ryan Rickelton,SIX,3 sixes = 18 runs off the over! 102.5kph; even quicker and Veer tries to bowl this one wider. Rickelton expects it and shuffles a bit before kneeling down and dispatching it over long-on. Didn't time it as well as the previous one but cleared long-on easily once again,2026-05-04 16:41:18.007310
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,5,1,Mukesh Choudhary,Naman Dhir,no run,140.5kph; pitched up; Dhir drives to mid-off,2026-05-04 16:41:18.008345
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,5,2,Mukesh Choudhary,Naman Dhir,SIX,138.2kph; leg-lined full delivery and Naman Dhir brings his wrists to whip it away over deep midwicket. Brings up the fifty partnership. That's the 7th six of MI's innings,2026-05-04 16:41:18.009274
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,5,3,Mukesh Choudhary,Naman Dhir,leg byes,1 run; 125.5kph; slower ball and Mukesh pulls his length back as well. Dhir is early to clip and misses. The ball rolls to backward point off the pad and the batters scamper across for a quick run via leg-byes,2026-05-04 16:41:18.010071
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,5,4,Mukesh Choudhary,Ryan Rickelton,2 runs,144.4kph; very full and darted in; flicked to deep backward square leg,2026-05-04 16:41:18.010698
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,5,5,Mukesh Choudhary,Ryan Rickelton,no run,141.8kph; low full toss; driven straight to mid-off,2026-05-04 16:41:18.011274
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,5,6,Mukesh Choudhary,Ryan Rickelton,1 run,full on the stumps; Rickelton wristily drives it to long-on,2026-05-04 16:41:18.011770
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,6,1,Noor Ahmad,Ryan Rickelton,1 run,92.3kph; over the wicket; legbreak well outside off; cut to deep backward point,2026-05-04 16:41:18.012439
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,6,2,Noor Ahmad,Naman Dhir,1 run,95.2kph; in the air and dropped! Dhir goes on the back foot to cut; extra bounce and the edge goes straight to short third man. A dolly and Shivam Dube makes a mess of it,2026-05-04 16:41:18.012968
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,6,3,Noor Ahmad,Ryan Rickelton,no run,94.3kph; fullish ball drifting in; reverse-swept straight to backward point,2026-05-04 16:41:18.013455
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,6,4,Noor Ahmad,Ryan Rickelton,out Caught by Urvil Patel!! Noor strikes! The half-century partnership has been broken. 97.2kph,quick leggie on a length around off. Not much spin and Rickelton gets down low to slogsweep. Hits it flat and straight down deep backward square leg's throat. Ryan Rickelton c Urvil Patel b Noor Ahmad 37(24) [6s-5],2026-05-04 16:41:18.014051
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,6,5,Noor Ahmad,Suryakumar Yadav,FOUR,96.9kph; Suryakumar Yadav gets off the mark with a boundary! Googly on a short of length outside off; Suryakumar spots it. Waits on the back foot and late-cuts it past the slip fielder. Runs away to third man for four,2026-05-04 16:41:18.015075
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,6,6,Noor Ahmad,Suryakumar Yadav,no run,94.6kph; another googly; better length and it's just outside off; Suryakumar watchfully defends from the crease,2026-05-04 16:41:18.016159
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,7,1,Prashant Veer,Naman Dhir,no run,93.2kph; full and darted in; Dhir backs away to drive it to the left of the bowler. Veer sticks his left hand out to stop it,2026-05-04 16:41:18.017387
44_CSKvsMI,May 04,16:33:57,MA Chidambaram Stadium,7,2,Prashant Veer,Naman Dhir,FOUR,shot! 94.5kph; flat; full and on the stumps; Dhir shimmies down; moves leg-side in the process and stylishly drives inside-out over extra cover. A couple of bounces and into the fence,2026-05-04 16:41:18.020315
