match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,0,1,Sunil Narine,Abhishek Sharma,no run,tossed up on off; Abhishek leans well forward on the defensive push,2026-05-04 16:42:07.594891
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,0,2,Sunil Narine,Abhishek Sharma,1 run,flighted delivery on off; punched off the back-foot to long-off for a single,2026-05-04 16:42:07.595510
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,0,3,Sunil Narine,Travis Head,1 run,nicely tossed up outside off - a one-handed drive to long-off for a single,2026-05-04 16:42:07.596014
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,0,4,Sunil Narine,Abhishek Sharma,SIX,clubbed; flighted delivery on off and Abhishek doesn't miss out; it's right in the slot and he clears his front-leg on the hoick; sends it soaring over long-on for a maximum,2026-05-04 16:42:07.596511
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,0,5,Sunil Narine,Abhishek Sharma,no run,much better from Narine; tossed up on off and it's pushed onto the off-side,2026-05-04 16:42:07.596970
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,0,6,Sunil Narine,Abhishek Sharma,1 run,fraction short and drifting onto the body; Abhishek stays back and stabs it in front of mid-off; a quick single is the result,2026-05-04 16:42:07.597324
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,1,1,Vaibhav Arora,Abhishek Sharma,1 run,short of a good length and just outside off - steered square on the off-side for a single,2026-05-04 16:42:07.597683
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,1,2,Vaibhav Arora,Travis Head,FOUR,nicely played; short of a good length and angling across the left-hander - Head stands tall and then plays the cut; places it backward of square on the off-side and beats the fielder in the deep,2026-05-04 16:42:07.598076
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,1,3,Vaibhav Arora,Travis Head,no run,back of a length and angling across the left-hander - Head doesn't get hold of the pull and the fielder at mid-wicket cuts it off with a dive,2026-05-04 16:42:07.598441
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,1,4,Vaibhav Arora,Travis Head,FOUR,on a good length and angling across the left-hander - Head stayed on the back-foot and threw his hands on the lofted drive; carved it high and in front of square on the off-side; couple of bounces and the ball rolls away,2026-05-04 16:42:07.598767
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,1,5,Vaibhav Arora,Travis Head,FOUR,back-to-back boundaries for Head - too short from Arora; Head swivels across and then muscles the pull over mid-on; wasn't perfectly timed and the ball dropped in front of the ropes,2026-05-04 16:42:07.599065
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,1,6,Vaibhav Arora,Travis Head,FOUR,clubbed; too short from Arora; not sure if this was indeed the plan? Head picks the length early; swivels across and then hammers the pull past square leg; 17 off the over,2026-05-04 16:42:07.599354
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,2,1,Sunil Narine,Abhishek Sharma,1 run,flighted delivery on the leg-stump line; nudged wide of square leg for a single,2026-05-04 16:42:07.599629
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,2,2,Sunil Narine,Travis Head,no run,flighted delivery on middle and leg; punched off the back-foot to mid-on,2026-05-04 16:42:07.599997
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,2,3,Sunil Narine,Travis Head,no run,fraction short and just outside off - Head backs away and picks out cover with the cut,2026-05-04 16:42:07.600379
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,2,4,Sunil Narine,Travis Head,SIX,smashed; too full and too straight from Narine; on the pad and Head swipes it over square leg; has plenty on the shot and the ball sails into the crowd,2026-05-04 16:42:07.601004
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,2,5,Sunil Narine,Travis Head,FOUR,even Narine isn't been spared now; fraction too full and in the slot - Head leans forward and then hammers the drive over mid-on; bounces away to the ropes,2026-05-04 16:42:07.601575
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,2,6,Sunil Narine,Travis Head,no run,Narine tosses one on the leg-stump line - Head backs away and cuts it straight to the fielder at cover-point,2026-05-04 16:42:07.602188
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,3,1,Kartik Tyagi,Abhishek Sharma,FOUR,a thick leading edge; but third man is inside the ring and the ball bounces away to the ropes - fuller length delivery and pushed across the left-hander; Abhishek was looking to swing across the line,2026-05-04 16:42:07.602840
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,3,2,Kartik Tyagi,Abhishek Sharma,1 run,back of a length and at the stumps; Abhishek is cramped for room on the pull and miscues it behind square on the on-side,2026-05-04 16:42:07.603372
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,3,3,Kartik Tyagi,Travis Head,wide,the slower short ball outside off - Head backs away and is undone on the cut; but it's too high and has been wided,2026-05-04 16:42:07.603901
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,3,3,Kartik Tyagi,Travis Head,1 run,short of a good length and at the pads; clipped behind square on the on-side for a single,2026-05-04 16:42:07.604376
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,3,4,Kartik Tyagi,Abhishek Sharma,out Caught by Cameron Green!! A top-edge on the pull and it's a simple catch for Green at mid-wicket - Tyagi stuck to the plan of bowling short,it's into the body of the left-hander and Abhishek has no room on the pull; cramped for space; he went through with the shot and the ball caught the top-edge. Lobbed up and Green moved to his left to complete the catch. Abhishek Sharma c Cameron Green b Kartik Tyagi 15(10) [4s-1 6s-1],2026-05-04 16:42:07.605014
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,3,5,Kartik Tyagi,Ishan Kishan,no run,a leading edge and the ball lobs over the bowler's head - back of a length and angling into the left-hander; Kishan was early into the tuck; closed the face of the bat and the ball popped up,2026-05-04 16:42:07.605777
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,3,6,Kartik Tyagi,Ishan Kishan,1 run,short of a good length and at the stumps; nudged behind square on the on-side for a single,2026-05-04 16:42:07.606423
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,4,1,Cameron Green,Ishan Kishan,no run,short of a good length and just outside off - Kishan prods across and defends it to the off-side,2026-05-04 16:42:07.609587
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,4,2,Cameron Green,Ishan Kishan,1 run,short of a good length and well wide of off; steered down to third man for a single,2026-05-04 16:42:07.611356
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,4,3,Cameron Green,Travis Head,FOUR,clattered; short of a good length and well wide of off; Head reaches out and then flat-bats the drive over extra-cover; couple of bounces and over the ropes,2026-05-04 16:42:07.612473
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,4,4,Cameron Green,Travis Head,FOUR,back-to-back boundaries for Head - tad fuller from Green; but there's a hint of width on offer; enough for Head to drive it over wide mid-off; runs away to the ropes,2026-05-04 16:42:07.614168
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,4,5,Cameron Green,Travis Head,FOUR,a one-handed swipe and the inside edge runs away fine; the fielder in the deep is very square and has no chance - on a length and angling into the left-hander; Head swings hard and gets away,2026-05-04 16:42:07.615292
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,4,6,Cameron Green,Travis Head,1 run,banged in short and at the stumps; Head backs away and pulls it past square leg for a single,2026-05-04 16:42:07.615975
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,5,1,Kartik Tyagi,Travis Head,no run,slower short ball around off; was bowled into the pitch - Head backs away and picks out mid-off with the drive,2026-05-04 16:42:07.616527
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,5,2,Kartik Tyagi,Travis Head,1 run,yorker length delivery on off; Head makes room and jams it to the left of mid-off for a single,2026-05-04 16:42:07.617164
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,5,3,Kartik Tyagi,Ishan Kishan,SIX,that's too easy for Kishan - back of a length and at his hips; he gets inside the line and pummels the pull into the stands at deep backward square leg,2026-05-04 16:42:07.618153
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,5,4,Kartik Tyagi,Ishan Kishan,FOUR,nicely played; back of a length and pushed across the left-hander; Kishan arches back slightly; uses Tyagi's pace and then runs it backward of square on the off-side,2026-05-04 16:42:07.619231
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,5,5,Kartik Tyagi,Ishan Kishan,1 run,short of a good length and just outside off; tucked past square leg for a single,2026-05-04 16:42:07.620860
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,5,6,Kartik Tyagi,Travis Head,no run,fuller length delivery at the stumps; Head backs away and went hard on the drive; the bat turned on impact and he skews an inside edge to the on-side,2026-05-04 16:42:07.626017
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,6,1,Varun Chakaravarthy,Ishan Kishan,no run,flighted delivery from round the wicket - Kishan goes back and defends it to the on-side,2026-05-04 16:42:07.626919
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,6,2,Varun Chakaravarthy,Ishan Kishan,1 run,fraction short and at the stumps; Kishan rocks back and pulls it down to long-on,2026-05-04 16:42:07.630100
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,6,3,Varun Chakaravarthy,Travis Head,FOUR,a bad fumble and it costs KKR three extra runs - Anukul Roy the fielder - was tossed up and sliding into the left-hander; swept away over backward square leg - Anukul runs across to his right; lets the ball bounce and it then bursts through his hands,2026-05-04 16:42:07.631706
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,6,4,Varun Chakaravarthy,Travis Head,1 run,flighted delivery on off; punched in front of square on the off-side,2026-05-04 16:42:07.633158
45_SHvsKKR,May 04,16:33:57,Rajiv Gandhi International Stadium,6,5,Varun Chakaravarthy,Ishan Kishan,1 run,tossed up just outside off; dropped into the gap wide of cover-point,2026-05-04 16:42:07.636420
