match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,0,1,Mohammed Siraj,Priyansh Arya,2 runs,what drama first ball! Banged in short into the surface; this one hurried onto him as he shaped for the pull shot; the ball flew off the top-edge towards fine leg; Butler ran back and kept his eyes on the ball; but just couldn't hold onto it as it fell in front of him,2026-05-04 16:43:01.711297
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,0,2,Mohammed Siraj,Priyansh Arya,out Caught by Nishant Sindhu!! Siraj strikes and it's a massive blow for Punjab,excellent catch in the deep by the debutant Sindhu; short again outside off; Arya's eyes lit up as he slashes it in the air towards deep backward point; initially the ball looked like it was dying on Sindhu; but he dives well to his left and takes it just inches from the ground. Priyansh Arya c Nishant Sindhu b Mohammed Siraj 2(2),2026-05-04 16:43:01.712320
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,0,3,Mohammed Siraj,Cooper Connolly,out Caught by Jos Buttler!! Punjab are in a disarray,top bowling from Siraj; excellent seam position; it was back of a length and swings in late; it almost cut him into half as he looked to defend; the ball takes the thinnest inside-edge back to the keeper; brilliant decision from the umpire; but Connolly challenges it; there was a spike on the UltraEdge and Punjab lose a review. Cooper Connolly c Jos Buttler b Mohammed Siraj 0(1),2026-05-04 16:43:01.712838
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,0,4,Mohammed Siraj,Shreyas Iyer,no run,back of a length delivery outside off; Iyer pushes it to the off side,2026-05-04 16:43:01.713306
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,0,5,Mohammed Siraj,Shreyas Iyer,FOUR,he's off the mark with a cracking shot; back of a length and outside off; bit of width on offer; Iyer rides the bounce well and cuts it past the fielder to deep backward point; pure timing and it raced away,2026-05-04 16:43:01.713802
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,0,6,Mohammed Siraj,Shreyas Iyer,no run,back of a length delivery outside off; Iyer knocks it towards point,2026-05-04 16:43:01.714255
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,1,1,Kagiso Rabada,Prabhsimran Singh,FOUR,he's off the mark as well; overpitched and in the slot; Singh doesn't miss out on those; gets to the pitch of the ball and creams it through covers; poor first ball from Rabada,2026-05-04 16:43:01.714735
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,1,2,Kagiso Rabada,Prabhsimran Singh,FOUR,streaky but he will take it; back of a length and outside off; this one bounced a bit; Singh slashes hard at it and the ball flew off the outside edge past the fielder to third man,2026-05-04 16:43:01.715190
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,1,3,Kagiso Rabada,Prabhsimran Singh,2 runs,short again outside off; Singh stands tall and cuts it square of the wicket; they run well for the second,2026-05-04 16:43:01.715635
46_GTvsPK,May 04,16:33:57,Narendra Modi Stadium,1,4,Kagiso Rabada,Prabhsimran Singh,no run,back of a length and targeting the body; Singh hangs back and punches it to cover,2026-05-04 16:43:01.716136
