,Name,Team,Country,Born,Birth Place,Role,Keeper,Batting Style,Bowling Style,Height
0,Ruturaj Gaikwad,Chennai Super Kings,India,"January 31, 1997 (29 years)","Pune, Maharashtra",Batsman,False,Right Handed Bat,Right-arm offbreak,
1,Dewald Brevis,Chennai Super Kings,South Africa,"April 29, 2003 (22 years)",Johannesburg,Batsman,False,Right Handed Bat,Right-arm legbreak,
2,Ayush Mhatre,Chennai Super Kings,India,"July 16, 2007 (18 years)",,Batsman,False,Right Handed Bat,Right-arm offbreak,
3,Matthew Short,Chennai Super Kings,Australia,"November 08, 1995 (30 years)",,Batsman,False,Right Handed Bat,Right-arm offbreak,
4,Sarfaraz Khan,Chennai Super Kings,India,"October 22, 1997 (28 years)",Mumbai,Batsman,False,Right Handed Bat,Right-arm legbreak,
5,Shivam Dube,Chennai Super Kings,India,"June 26, 1993 (32 years)",Mumbai,Batting Allrounder,False,Left Handed Bat,Right-arm medium,
6,Ramakrishna Ghosh,Chennai Super Kings,India,"August 28, 1997 (28 years)",Nashik,Batting Allrounder,False,Right Handed Bat,Right-arm fast-medium,
7,Anshul Kamboj,Chennai Super Kings,India,"December 06, 2000 (25 years)","Karnal, Haryana",Bowling Allrounder,False,Right Handed Bat,Right-arm fast-medium,
8,Jamie Overton,Chennai Super Kings,England,"April 10, 1994 (31 years)","Barnstaple, Devon",Bowling Allrounder,False,Right Handed Bat,Right-arm fast,
9,Zakary Foulkes,Chennai Super Kings,New Zealand,"June 05, 2002 (23 years)","Christchurch, Canterbury",Bowling Allrounder,False,Right Handed Bat,Right-arm medium,
10,MS Dhoni,Chennai Super Kings,India,"July 07, 1981 (44 years)","Ranchi, Bihar (now Jharkhand)",WK-Batsman,True,Right Handed Bat,Right-arm medium,5 ft 11 in (180 cm)
11,Sanju Samson,Chennai Super Kings,India,"November 11, 1994 (31 years)","Pulluvila, Vizhinjam, Trivandrum",WK-Batsman,True,Right Handed Bat,,
12,Urvil Patel,Chennai Super Kings,India,"October 17, 1998 (27 years)","Mehsana, Baroda",WK-Batsman,True,Right Handed Bat,,
13,Kartik Sharma,Chennai Super Kings,India,"April 26, 2006 (19 years)",,WK-Batsman,True,Right Handed Bat,,
14,Shreyas Gopal,Chennai Super Kings,India,"September 04, 1993 (32 years)","Banglaore, Karnataka",Bowler,False,Right Handed Bat,Right-arm legbreak,
15,Mukesh Choudhary,Chennai Super Kings,India,"July 06, 1996 (29 years)","Pardodas, Bhilwara, Rajasthan",Bowler,False,Left Handed Bat,Left-arm fast-medium,
16,Nathan Ellis,Chennai Super Kings,Australia,"September 22, 1994 (31 years)","Greenacre, New South Wales",Bowler,False,Right Handed Bat,Right-arm fast-medium,
17,Gurjapneet Singh,Chennai Super Kings,India,"November 08, 1998 (27 years)",,Bowler,False,Right Handed Bat,Left-arm fast-medium,
18,Noor Ahmad,Chennai Super Kings,Afghanistan,"January 03, 2005 (21 years)",,Bowler,False,Right Handed Bat,Left-arm wrist-spin,
19,Khaleel Ahmed,Chennai Super Kings,India,"December 05, 1997 (28 years)","Tonk, Rajasthan",Bowler,False,Right Handed Bat,Left-arm fast-medium,
